"id","instanceType","name","text","uuid:ID"
"TransitionRule_1","TransitionRule","ELEMENT_START_RULE_1","Study Start","f29b037e-fc30-4884-9c62-a517a6dcb0b2"
"TransitionRule_2","TransitionRule","ELEMENT_END_RULE_1","Day -1 of treatment period 1","cbeda32d-d0c4-4de0-b3f6-07996b97fdc9"
"TransitionRule_3","TransitionRule","ELEMENT_START_RULE_2","Day -1 of treatment period","5f0be7f5-7d3d-4f6d-9e60-7694b939e70f"
"TransitionRule_4","TransitionRule","ELEMENT_END_RULE_2","End of Day 1 of treatment period","560ef292-f74d-4887-a90d-aa0304116adc"
"TransitionRule_7","TransitionRule","ELEMENT_START_RULE_4","End of Day 1 of Treatment period 1","32e85963-8513-47b4-b49e-4a1ed8716e9e"
"TransitionRule_8","TransitionRule","ELEMENT_END_RULE_4","Day -1 of treatment period 2","8e2d56d0-04a3-4701-b548-5eb1eaf9b039"
"TransitionRule_5","TransitionRule","ELEMENT_START_RULE_3","Day -1 of treatment period","40534483-48aa-4f05-b92c-1248573b9564"
"TransitionRule_6","TransitionRule","ELEMENT_END_RULE_3","End of Day 1 of treatment period","364767ff-da13-41b9-8f36-ed8f26e99cce"
"TransitionRule_9","TransitionRule","ELEMENT_START_RULE_5","End of Day 1 of Treatment period 2","aa1c0bc6-6f32-4ca8-9b96-097004144061"
"TransitionRule_10","TransitionRule","ELEMENT_END_RULE_5","Leave Study","55220829-31df-4ef9-b22a-c2a2f78d4138"
