"id","description","instanceType","label","name","text","identifier","uuid:ID"
"EligibilityCriterion_1","","EligibilityCriterion","","INC1","<p>have had a diagnosis of either:</p>
<ul>
  <li>
    <p>[1a] T1DM based on the World Health Organization (WHO) diagnostic criteria, and have been on the following daily insulin therapy for at least 1 year</p>
    <ul>
      <p>[A] multiple daily injection of long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) and rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine), or</p>
      <p>[B] continuous subcutaneous insulin infusion (CSII)</p>    
    </ul>
  </li>
  <p>Or</p>
  <li>
    <p>[1b] T2DM based on the WHO diagnostic criteria, and have received the</p>
    <p>following daily insulin therapy with or without oral anti-hyperglycemic medications (OAMs) for at least 1 year</p>
    <ul>
      <p>[A] insulin: long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) alone, or in combination with rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine) or CSII</p>
      <p>[B] OAM: up to 3 of the following OAMs in accordance with local regulations: metformin, dipeptidyl peptidase-4 inhibitor, sodium glucose cotransporter 2 inhibitor, sulfonylurea (should not be more than half of maximum approved doses), glinides, alpha-glucosidase inhibitor, or thiazolidine</p>
    </ul>
  </li>
</ul>","1","a0a8ce77-c942-4bc1-83b5-e72249992412"
"EligibilityCriterion_2","Male contraception critierion","EligibilityCriterion","","INC2","<p>male patients: agree to use an effective method of contraception for the duration of the study and for 28 days following the last study treatment</p>","2","c2238fe3-2567-403b-be12-3a7dd2b06f1d"
"EligibilityCriterion_3","Female contraception criterion","EligibilityCriterion","","INC3","<ul>
  <li>
    [3a] women of childbearing potential who are abstinent (if this is complete
    abstinence, as their preferred and usual lifestyle) or in a same sex
    relationship (as part of their preferred and usual lifestyle) must agree to
    either remain abstinent or stay in a same sex relationship without sexual
    relationships with males. Periodic abstinence (eg, calendar, ovulation,
    symptothermal, post-ovulation methods), declaration of abstinence just for
    the duration of a trial, and withdrawal are not acceptable methods of
    contraception.
  </li>
  <li>
    [3b] otherwise, women of childbearing potential participating must agree to use
    one highly effective method (less than 1% failure rate) of contraception, or a
    combination of 2 effective methods of contraception for the entirety of the
    study.
    <ul>
      <li>[A] women of childbearing potential participating must test negative for
        pregnancy prior to initiation of treatment as indicated by a negative serum
        pregnancy test at the screening visit followed by a negative urine
        pregnancy test within 24 hours prior to exposure.</li>
      <li>[B] either one highly effective method of contraception or a combination
        of 2 effective methods of contraception will be used. The patient may
        choose to use a double barrier method of contraception. Barrier protection
        methods without concomitant use of a spermicide are not a reliable or
        acceptable method. Thus, each barrier method must include use of a
        spermicide. It should be noted that the use of male and female condoms
        as a double barrier method is not considered acceptable due to the high
        failure rate when these methods are combined.</li>
    </ul>
  </li>
  <li>
    [3c] women not of childbearing potential may participate, and include those who are:
    <ul>
      <li>
        [A] infertile due to surgical sterilization (hysterectomy, bilateral
        oophorectomy, or tubal ligation), congenital anomaly such as mullerian
        agenesis
      </li>
      <li>
        Or
        [B] postmenopausal, defined as either:
        <ul>
          <li>[i] a woman at least 50 years of age with an intact uterus, not on hormone therapy, who has had either:
          </li>
          <ul>
            <li>[a] cessation of menses for at least 1 year, or</li>
            <li>[b] at least 6 months of spontaneous amenorrhea with a follicle-stimulating hormone >40 mIU/mL; or</li>
          </ul>
          <li>[ii] a woman 55 or older not on hormone therapy, who has had at least 6 months of spontaneous amenorrhea,
            or</li>
          <li>[iii] a woman at least 55 years of age with a diagnosis of menopause prior to starting hormone replacement
            therapy</li>
        </ul>
      </li>
    </ul>
  </li>
</ul>","3","9defe5c0-c385-48bc-b80c-3ba8916759f1"
"EligibilityCriterion_4","Age critierion","EligibilityCriterion","","INC4","<p>are between 18 and 64 years old for T1DM, or between 20 and 70 years old for T2DM at the time of informed consent</p>","4","36e3dde9-8b8c-4b17-9b95-fc5ff605cafb"
"EligibilityCriterion_5","Weight critierion","EligibilityCriterion","","INC5","<p>have a body mass index of 18.5 to 30.0 kg/m 2 for T1DM, or 18.5 to 35.0 kg/m 2 for T2DM at the time of screening</p>","5","b3af29a0-bd3f-45a6-a494-b95ed4ef8f31"
"EligibilityCriterion_6","A1c critierion","EligibilityCriterion","","INC6","<p>have a hemoglobin A1c value ≤10% at the time of screening</p>","6","641e79a4-fc08-4d0a-bae4-0b88b61dd5ce"
"EligibilityCriterion_7","Labs critierion","EligibilityCriterion","","INC7","<p>have clinical laboratory test results within normal reference range (except for glycemic parameters) for the population or investigative site, or results with acceptable deviations that are judged to be not clinically significant by the investigator</p>","7","4ec2dc44-1fea-4e80-af6c-7c43b1c0e7f8"
"EligibilityCriterion_8","Venous critierion","EligibilityCriterion","","INC8","<p>have venous access sufficient to allow for blood sampling and administration of insulin for IV administration as per the protocol</p>","8","5e19c63d-2257-480b-9a7f-6f2bfb9d9c90"
"EligibilityCriterion_9","Availability critierion","EligibilityCriterion","","INC9","<p>are reliable and willing to make themselves available for the duration of the study and are willing to follow study procedures</p>","9","5e53ec69-0b23-4c79-9e90-49f4fe631f73"
"EligibilityCriterion_10","IC critierion","EligibilityCriterion","","INC10","<p>are able and willing to give signed informed consent</p>","10","51555006-8d27-47f9-9abc-1a9af77a95ee"
