"id","description","instanceType","label","name","text","uuid:ID"
"Condition_1","Eligibilty","Condition","Eligibilty","COND1","All eligibility criteria met","dcf6e165-53e3-4869-89b5-981003d5566c"
"Condition_2","Condition 1","Condition","","COND2","Stopped once bedside PG is <60 mg/dL","ed5a7c23-f159-49f8-9ee4-d3f3e6184a53"
"Condition_3","Condition 2","Condition","","COND3","5 minutes after bedside PG reaches <60 mg/dL and insulin infusion is stopped.","0f571758-7fd1-4737-ad59-d3669a4f0356"
"Condition_4","Injection site assessment only required for IMG","Condition","Injection site assessment","COND4","Injection-site assessment for IMG only.","5b3838fd-ee11-41bb-883a-3b95b1aa1f6d"
"Condition_5","Fasted","Condition","","COND5","At periods 1 and 2 pts should have fasted at least 8 hoours before any study procedures","a53d2020-ae23-4fcc-8fde-ac03c07a86f6"
"Condition_6","Childbearig potential","Condition","","COND6","Only females of childbearing potential","9106ce50-09f8-4934-ab29-46ac8d78860d"
"Condition_7","Females","Condition","","COND7","Only Females when needed to confirm postmenopausal status","af84727d-1dae-4227-a4fa-640f528ba82e"
"Condition_8","Patient admission PG level critieria","Condition","Admission","COND8","Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1.","3c692476-2858-47be-b6ad-cf37fedf31b6"
"Condition_9","Patient discharge critieria","Condition","Discharge","COND9","Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator.","4b0e3ede-28d0-449d-9e85-0696658a1d38"
"Condition_10","Scope of patient physical examination","Condition","Physical Examination","COND10","After screening, medical assessment only performed to include medical review and targeted examination, as appropriate.","054900b2-30bc-44a6-bc97-4c3a082908bd"
"Condition_11","Ability of patient to undergo hypoglycemia induction","Condition","Hypoglycemia induction check","COND11","Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia.","eed3e465-5897-4ca9-815a-30ea74be96d8"
"Condition_12","Provision of carbohydrate-rich meal.","Condition","Carbohydrate-rich meal.","COND12","After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed.","387b1392-ffe5-4405-aa1d-26b74f35b4a2"
"Condition_13","Timing of insulin infusion","Condition","Timing of insulin infusion","COND13","Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL.","0fad6613-3369-4015-a63a-adca717660b1"
"Condition_14","Patient fasting for labs tests","Condition","Patient fasting","COND14","Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures.","2dd9463d-e149-437a-bf72-206b82f2b613"
"Condition_15","Type of pregnancy tests","Condition","Pregnancy tests","COND15","Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable.","9cd06542-5134-492f-a52f-7cdadfc7a84a"
"Condition_16","FSH testing","Condition","FSH testing","COND16","When needed to confirm postmenopausal status.","0e74aa50-c2b1-42d0-abaf-52f76fa95acb"
"Condition_17","Ethanol testing","Condition","Ethanol testing","COND17","Additional tests can be done at the discretion of the investigator.","3a8db5c9-de0a-4e7b-a3d4-9aa36c1d87aa"
"Condition_18","Genetic sampling","Condition","Genetic sampling","COND18","Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1.","c783a797-dfff-4d58-b921-d93889502c1e"
"Condition_19","Drug reactions","Condition","Drug reactions","COND19","In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up.","fd000dbe-33e3-4240-80ae-10f975d7033b"
"Condition_20","Nasal site inspection","Condition","Nasal site inspection","COND20","Nasal inspection both for IMG and LY900018.","2bfcb746-86a0-4db4-b846-f586a4ae0f36"
"Condition_21","Triplicate 12-Lead ECG","Condition","Triplicate 12-Lead ECG","COND21","Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment.","70d82281-c603-41df-a9d1-9578cea8834a"
"Condition_22","PK (Glucagon)","Condition","PK (Glucagon)","COND22","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","368f9791-2081-4319-80aa-adcfedc8a99f"
"Condition_23","Plasma Glucose","Condition","Plasma Glucose","COND23","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","4883b719-2997-45ff-9c78-bf48cdb39d2e"
"Condition_24","Nasal and Non-Nasal Score","Condition","Nasal and Non-Nasal Score","COND24","Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods.","1d5afde3-910d-4618-8c62-79448894cb44"
"Condition_25","Edinburgh Scale","Condition","Edinburgh Scale","COND25","Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment.","e35093ee-04c4-4fb7-9b15-79dca939f465"
