"id","datatype","isEnabled","instanceType","isRequired","label","name","uuid:ID"
"BiomedicalConceptProperty_1","integer","True","BiomedicalConceptProperty","True","Clinical Test Result","Clinical Test Result","f92f39b2-50e9-4340-91f0-66ef51191d49"
"BiomedicalConceptProperty_2","string","True","BiomedicalConceptProperty","True","Count per Minute","Count per Minute","2b4a17a5-d8b1-4cf1-816d-54e7958296ce"
"BiomedicalConceptProperty_3","string","True","BiomedicalConceptProperty","True","Anatomic Site","Anatomic Site","6851a2fe-fc2f-425e-9f82-280210773444"
"BiomedicalConceptProperty_4","string","True","BiomedicalConceptProperty","True","Laterality","Laterality","0cf7e941-0ce3-468c-a7dd-ae26959fc78e"
"BiomedicalConceptProperty_5","string","True","BiomedicalConceptProperty","True","Test Method","Test Method","608373bb-4648-4533-9d40-70eeec94e4b1"
"BiomedicalConceptProperty_6","string","True","BiomedicalConceptProperty","True","Body Position","Body Position","534e7da1-e623-43a9-9f4c-3c40448668f3"
"BiomedicalConceptProperty_7","decimal","True","BiomedicalConceptProperty","True","Clinical Test Result","Clinical Test Result","c1bd2535-aee1-49f8-9485-8f392f10d339"
"BiomedicalConceptProperty_8","string","True","BiomedicalConceptProperty","True","Unit of Temperature","Unit of Temperature","4631d07f-4a94-4601-847f-02a0668f1f88"
"BiomedicalConceptProperty_9","string","True","BiomedicalConceptProperty","True","Anatomic Site","Anatomic Site","f162a852-4368-4b38-bc38-bbe1a4b04dc9"
"BiomedicalConceptProperty_10","decimal","True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","85aa7728-c6e7-4791-a7b7-af0b8e4231f6"
"BiomedicalConceptProperty_11","boolean","True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","64c115ff-6799-4c36-8dfa-9d249c373a99"
"BiomedicalConceptProperty_12","string","True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","3aeb7aec-5ae7-446e-9deb-511a39e25cda"
"BiomedicalConceptProperty_13","decimal","True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","cf36ba24-b338-44b1-8e11-bf2cbb63acbd"
"BiomedicalConceptProperty_14","boolean","True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","ff7694b4-fa44-4a16-91b4-3a21e50d7a4b"
"BiomedicalConceptProperty_15","string","True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","0e4daabd-4c5f-4019-920b-0fbd576d6c2c"
