"name","description","uuid:ID","label","id","instanceType"
"SCREEN1","-","d6ee2487-4af7-46bd-a0da-b1772c036979","Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance"
"SCREEN2","-","1cfd5acd-d11b-4963-aa20-bf9ecab8b9fe","Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance"
"DOSE","-","be2989d5-d2c0-4f67-abd0-2f00512777ad","Dose","ScheduledActivityInstance_11","ScheduledActivityInstance"
"WK2","-","6cbf2781-7ee9-402a-b551-5c478330de44","Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance"
"WK4","-","ab02bf32-6c01-4fe8-b947-969e73c1b2e5","Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance"
"WK6","-","471b4fa4-7aba-4459-a4b8-7e8f015cc4b2","Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance"
"WK8","-","3876fb18-6fec-4fd0-a37e-c8388fa48b21","Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance"
"WK8N","-","817a690d-5c0b-464e-9652-7c50ba7f6214","Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance"
"WK12","-","c870207c-c268-4b31-aab2-4f43da8224ce","Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance"
"WK12N","-","25337c1e-7f14-480e-b418-dc008163b285","Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance"
"WK16","-","e8528775-2264-4e19-a10b-77da754fb1df","Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance"
"WK16N","-","da00b9db-696c-454e-9b6c-a6389a25613f","Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance"
"WK20","-","7e6fd6d3-ea0b-4722-9cc7-9fcb0d49e448","Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance"
"WK20N","-","9c16c5ba-f554-4cee-b549-65c5ac652cf9","Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance"
"WK24","-","b9240b66-2569-4c35-ba86-272ee0d0bb96","Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance"
"WK26","-","7165180a-643d-41b3-9a7a-b2e8fe9c7040","Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance"
"AE","-","5d3148a4-baa2-4900-958b-af247a191f98","Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance"
"ET","-","8affc2f0-23c4-4feb-be18-1dfa264f2e81","Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance"
"VS_5MIN","","b82d5d37-f30d-427f-ba88-281c2f994d26","5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance"
"VS_SUPINE","","1f3d5fd0-cace-49f4-a47c-692843f21c68","Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance"
"VS_1MIN","","0dc7e22d-8a8f-4293-8dfb-e743b8c082f6","1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance"
"VS_STAND1","","da2173b7-3caa-4a59-bde0-f1f2360feaeb","Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance"
"VS_2MIN","","d84bc898-1b92-4b56-8ff4-e2fbcd0ed5aa","2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance"
"VS_STAND3","","0f4024dc-75e1-40f1-a21c-d0d0e91f2c81","Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance"
