"name","description","uuid:ID","label","id","instanceType"
"E1","Screening encounter","d324b3d6-378d-4cd0-b985-d135b63ce726","Screening 1","Encounter_1","Encounter"
"E2","Screening encounter - Ambulatory ECG Placement","9f593e5f-55ec-4054-ae84-a27a07cabe43","Screening 2","Encounter_2","Encounter"
"E3","Baseline encounter - Ambulatory ECG Removal","3707eed8-baa9-4c2c-a9a8-cce684ef8345","Baseline","Encounter_3","Encounter"
"E4","Day 14","a99acf47-f46a-436f-a320-73b3febf1783","Week 2","Encounter_4","Encounter"
"E5","Day 28","ba4ebed0-68b9-4dce-bc8e-8828b1d5ec0e","Week 4","Encounter_5","Encounter"
"E7","Day 42","a0c99b6e-b00c-4430-9403-cadbef9b22ad","Week 6","Encounter_6","Encounter"
"E8","Day 56","d37972a0-7db6-4c7b-920f-a85bbafa9f76","Week 8","Encounter_7","Encounter"
"E9","Day 84","2d2e6875-3548-4f0b-ab54-3ab51dbdb205","Week 12","Encounter_8","Encounter"
"E10","Day 112","516cd767-85ef-4f8b-ae03-e186d789f73a","Week 16","Encounter_9","Encounter"
"E11","Day 140","bfa56f7a-3562-4b92-9481-d379f070289d","Week 20","Encounter_10","Encounter"
"E12","Day 168","bf462733-a0f0-43a8-9cc1-3c843eb33500","Week 24","Encounter_11","Encounter"
"E13","Day 182","d78548ec-57c1-4055-ae73-8efda9070a12","Week 26","Encounter_12","Encounter"
