"name","text","description","uuid:ID","purpose","label","id","instanceType"
"END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","2d711bea-6160-47af-8ab6-4b61517fc28f","","","Endpoint_1","Endpoint"
"END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","9d10e7ef-ac08-4de9-9abb-079418e68076","","","Endpoint_2","Endpoint"
"END3","Adverse events","","5ff13584-278c-4288-b410-3823ca8a1ba5","","","Endpoint_3","Endpoint"
"END4","Vital signs (weight, standing and supine blood pressure, heart rate)","","a207fc2b-d94b-401c-8724-2a02ad755c34","","","Endpoint_4","Endpoint"
"END5","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","ab0943ad-d005-4e45-a556-dac52fa558c6","","","Endpoint_5","Endpoint"
"END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","5462fdb7-d81b-4f6b-8625-d883e4faa0db","","","Endpoint_6","Endpoint"
"END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","5a4e8f5e-2cd4-49c9-81c6-9500d05b7cb8","","","Endpoint_7","Endpoint"
"END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","04bdf717-67d4-42d1-b5db-e4edd06d6568","","","Endpoint_8","Endpoint"
"END9","*** To be determined from protocol ***","","08dbce70-28e6-46cf-af0b-0faa4fdde778","","","Endpoint_9","Endpoint"
"END10","*** To be determined from protocol ***","","81cb9ee2-5341-43a3-8965-607b7499dca0","","","Endpoint_10","Endpoint"
"END11","*** To be determined from protocol ***","","68e2339e-bc5c-40eb-b853-2f431d55d733","","","Endpoint_11","Endpoint"
