"name","valueLabel","description","uuid:ID","label","id","instanceType","windowUpper","value","windowLower","windowLabel"
"TIM1","2 weeks","Screening timing","1d3d87e1-a6f0-4cc5-9a69-d06c528831b8","Screening","Timing_1","Timing","","P2W","",""
"TIM2","2 days","Pre dose timing","1266cfc2-29b9-44ea-9143-a8215d341677","Pre dose","Timing_2","Timing","PT0H","P2D","PT4H","-4..0 hours"
"TIM3","1 Day","Dosing anchor","33188072-856a-4c9c-aee0-4ddea3917ee6","Dosing","Timing_3","Timing","","P1D","",""
"TIM4","2 Weeks","Week 2 timing","25582772-69ec-4458-b3f1-9995c4e29929","Week 2","Timing_4","Timing","P3D","P2W","P3D","-3..3 days"
"TIM5","4 Weeks","Week 4 timing","01ecd185-a6a7-4684-8287-2b8e67000035","Week 4","Timing_5","Timing","P3D","P4W","P3D","-3..3 days"
"TIM6","6 Weeks","Week 6 timing","66026b85-3783-4e95-a7ad-eefaee294db9","Week 6","Timing_6","Timing","P3D","P6W","P3D","-3..3 days"
"TIM7","8 Weeks","Week 8 timing","fce1c034-8703-4803-a9ec-74ad795637b9","Week 8","Timing_7","Timing","P3D","P8W","P3D","-3..3 days"
"TIM9","12 Weeks","Week 12 timing","a2598518-342e-458d-92c1-85230c2ec467","Week 12","Timing_9","Timing","P4D","P12W","P4D","-4..4 days"
"TIM11","16 Weeks","Week 16 timing","db84d3e3-04a7-499c-a003-b671da49dcc8","Week 16","Timing_11","Timing","P4D","P16W","P4D","-4..4 days"
"TIM13","20 Weeks","Week 20 timing","1eb5133e-e094-4daf-b00e-15cd68a0bb5f","Week 20","Timing_13","Timing","P4D","P20W","P4D","-4..4 days"
"TIM15","24 Weeks","Week 24 timing","25ea1807-60a7-4918-9b43-7295e1ede2a6","Week 24","Timing_15","Timing","P4D","P24W","P4D","-4..4 days"
"TIM16","26 Weeks","Week 26 timing","9bd79647-9d8f-42d3-aa74-b4bc37e56394","Week 26","Timing_16","Timing","P3D","P26W","P3D","-3..3 days"
"TIM8","2 Weeks","Week 8 at home timing","25a7cc86-81a1-43b9-b5db-d1f9d7b9ac1a","Week 8 Home","Timing_8","Timing","","P2W","",""
"TIM10","2 Weeks","Week 12 at home timing","8e5fa632-eb32-4ada-bd85-77a7f2516d0b","Week 12 Home","Timing_10","Timing","","P2W","",""
"TIM12","2 Weeks","Week 16 at home timing","21e2c672-1663-46f0-be5e-55da7bd9dc68","Week 16 Home","Timing_12","Timing","","P2W","",""
"TIM14","2 Weeks","Week 20 at home timing","e29187a7-b856-43bd-b06f-25adafb55189","Week 20 Home","Timing_14","Timing","","P2W","",""
"TIM17","1 Day","Adverse Event","3b96f576-faa7-4081-8339-18b05152963e","Adverse Event","Timing_17","Timing","","P1D","",""
"TIM18","1 Day","Early Termination","1a202679-a528-4892-ae2d-ff4e93fbbd7f","Early Termination","Timing_18","Timing","","P1D","",""
"TIM19","0 mins","Supine","4b224722-0a39-418e-b01d-f7c838bb472c","Supine","Timing_19","Timing","","PT0M","",""
"TIM20","5 mins","VS while supine","ad495f6c-82b0-40ee-894d-b8f6270e79ef","VS while supine","Timing_20","Timing","","PT5M","",""
"TIM21","0 min","Standing","f46fdcda-5859-47d2-9948-3a388ec917d7","Standing","Timing_21","Timing","","PT0M","",""
"TIM22","1 min","VS while standing","8245e139-a973-436a-aa86-c315169e9835","VS while standing","Timing_22","Timing","","PT1M","",""
"TIM23","0 min","Standing","f30266b6-a598-4d19-bf1b-6f4c98d5ff36","Standing","Timing_23","Timing","","PT0M","",""
"TIM24","2 min","VS while standing","cc0e1456-78a2-4fcd-83d0-237ad74bbf0c","VS while standing","Timing_24","Timing","","PT2M","",""
