"name","uuid:ID","synonyms","label","id","instanceType","reference"
"Sex","a76e17bc-cace-4de0-971e-90f479b93ace","","Sex","BiomedicalConcept_20","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","59457526-163a-4997-ab83-d4d46e7d97aa","['Racial Group']","Race","BiomedicalConcept_21","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","9b8721c3-bedb-4543-9968-37d47624d770","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_22","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","f6388c9c-28fd-439c-a9b3-128e6b7f4e2b","['Weight', 'Body Weight']","Weight","BiomedicalConcept_23","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","ec8c8def-52a5-412c-91ec-f32cd08b771a","['Height', 'Body Height']","Height","BiomedicalConcept_24","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","38ef3ff9-0198-4856-b7d3-20752a4b0a07","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","c2b08808-5a29-403b-965a-27c0cca00eee","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_26","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","dde53896-8746-4978-bdbb-ae532c022d61","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","948902c4-4658-4bb9-b285-cf604263cf3e","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","50f72d92-ee5c-4aa8-a12b-53d675604b39","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_29","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","047e90b4-fc07-436c-b445-fad0c25b35b8","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_30","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","f7997392-189f-4073-b78e-53dbc063002b","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_31","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","9be70756-e40c-4e4d-98f0-3b827d752e26","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","6a9cb5ae-17a7-439b-b98e-63e5239684df","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept_1","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","21fd5204-37cd-439a-9563-84e58b3551d4","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","d6c6a8e4-2d1a-4f6c-b299-c0e0bfae36b0","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","3d46ba3a-2f68-4fc8-8429-2747e92d104d","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_4","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","572a55af-e1ec-4d51-8d69-55693d3e921f","['Weight', 'Body Weight']","Weight","BiomedicalConcept_5","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","11d7b0b0-0053-4be7-a26e-1202b6b87c7e","['Height', 'Body Height']","Height","BiomedicalConcept_6","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","9510e5f4-5ee0-47ad-ad03-18eba3e8fc4b","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","44a1c13e-26de-4a97-91b4-2f6f132f787a","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_8","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","6a2ad77f-7a4e-4f40-a625-363ed703044b","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","71354b46-50c5-4125-916e-256115b766e0","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","6eed4099-cd15-4c08-9aa6-6ff5e93ef2e5","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_11","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","eacd2483-d7b3-497e-8967-af7fb4fe8a99","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_12","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","6dcca0d3-6aff-4e4d-a0d0-fa6773ae65aa","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_13","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","150e0df8-be08-4df0-be79-c2d49d469128","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_14","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
