"name","description","uuid:ID","label","id","instanceType"
"Informed consent","","88200f6d-deb6-4692-a190-a4320cf5bf30","Informed consent","Activity_1","Activity"
"Inclusion/exclusion criteria","","3ad0e5a3-9d95-408a-bd98-08b6b30acbb9","Inclusion and exclusion criteria","Activity_2","Activity"
"Patient number assigned","","5b3c2daf-9315-4f4e-9ce5-44a7ac61ee41","Patient number assigned","Activity_3","Activity"
"Demographics","","aeefbcab-22f3-4b53-8dc9-6c5a3f491eb9","Demographics","Activity_4","Activity"
"Hachinski","","7ea483e5-98ca-4e1b-989d-26a29881a162","Hachinski Ischemic Scale","Activity_5","Activity"
"MMSE","","833d07af-bb22-4a3d-b9cf-fc08e029b0f1","MMSE","Activity_6","Activity"
"Physical examination","","1abf0847-b3c1-4e43-b8c7-26d75c314f5d","Physical examination","Activity_7","Activity"
"Medical history","","a41b8055-34e0-4579-a558-18cc523fabfc","Medical history","Activity_8","Activity"
"Habits","","c3bceb4f-3d2d-4fa3-b305-e7195aba403b","Habits","Activity_9","Activity"
"Chest X-ray","","c9045a9e-ab57-4c2b-b63d-7895bf683755","Chest X-ray","Activity_10","Activity"
"Apo E genotyping","","2a274333-c5db-4270-8526-077e02e274b6","Apo E genotyping","Activity_11","Activity"
"Patient randomised","","e590b4dc-bea4-4554-84c5-83b5b4559d3c","Patient randomised","Activity_12","Activity"
"Vital signs / Temperature","","280e19a7-e6e4-429f-83bf-655a5313937b","Vital Signs and Temperature","Activity_13","Activity"
"Ambulatory ECG placed","","6c57179c-4000-418a-b530-61d08289f121","Ambulatory ECG placed","Activity_14","Activity"
"Ambulatory ECG removed","","cbb942f1-da1f-4707-b858-c416233f2af4","Ambulatory ECG removed","Activity_15","Activity"
"ECG","","4992b403-2c7d-4a6a-a4d6-dc27cdbc7b68","ECG","Activity_16","Activity"
"Placebo TTS test","","76893f05-1220-4415-b598-2f27442bbb5c","Placebo TTS test","Activity_17","Activity"
"CT scan","","676aaa87-aaa7-4bc4-9606-8c72afed6e15","CT scan","Activity_18","Activity"
"Concomitant medications","","44d36ec1-ddd4-458c-908e-d20b0fca7461","Concomitant medications","Activity_19","Activity"
"Hematology","","94438aea-31dd-4c1f-bb84-086d15d8d5bc","Hematology","Activity_20","Activity"
"Chemistry","","79624d4a-6acd-4790-b1b8-edf04225f9d1","Chemistry","Activity_21","Activity"
"Uninalysis","","6bc8d414-3ec6-4ed1-8427-3bbfa34d5d05","Uninalysis","Activity_22","Activity"
"Plasma Specimen (Xanomeline)","","b6087f02-ce9f-476f-a6ee-bd16113ca69d","Plasma Specimen (Xanomeline)","Activity_23","Activity"
"Hemoglobin A1C","","8f014f5a-eb3c-43e7-b868-911e4327d1df","Hemoglobin A1C","Activity_24","Activity"
"Study drug","","8388c84f-0a36-446d-a66d-d081bf32ffc6","Study drug record , Medications dispensed, Medications returned","Activity_25","Activity"
"TTS Acceptability Survey","","810d0a5e-b9e5-463f-a05b-d7f7efd92667","TTS Acceptability Survey","Activity_26","Activity"
"ADAS-Cog","","ca78bed3-d495-4481-b1a0-7e2ce14cf244","ADAS-Cog","Activity_27","Activity"
"CIBIC+","","f36f34ee-0c43-45c5-9c2c-1bb6635da443","CIBIC+","Activity_28","Activity"
"DAD","","434e4d43-04ed-4e91-82cc-9606acc10467","DAD","Activity_29","Activity"
"NPI-X","","f887d525-68b1-4218-a588-9afef4f343e1","NPI-X","Activity_30","Activity"
"Adverse events","","6c024666-14d8-420a-93fb-4a5e05c34439","Adverse events","Activity_31","Activity"
"Check adverse events","","8e5448e6-d958-491b-a621-6679d5a3c64c","Check adverse events","Activity_32","Activity"
"Supine","","e7109456-6f3a-4dab-97d2-179e950faa9e","Subject supine","Activity_33","Activity"
"Vital Signs Supine","","99848152-9b1e-45d0-a9e4-ed3f8b9813a4","Vital signs while supine","Activity_34","Activity"
"Stand","","b130759d-1260-491a-9f39-db0206363a6b","Subject Standing","Activity_35","Activity"
"Vital Signs Standing","","701453f3-1905-4377-8eb6-751faf0ac521","Vital signs while standing","Activity_36","Activity"
