"name","text","uuid:ID","id","instanceType"
"ENCOUNTER_START_RULE_1","Subject identifier","c668c527-90f6-4a30-a202-e5caf9ee7b6d","TransitionRule_1","TransitionRule"
"ENCOUNTER_START_RULE_1","completion of screening activities","1904f8e4-2dca-4895-befc-cb9cb60c4094","TransitionRule_2","TransitionRule"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","9a153816-c4f3-47fc-88d3-c61d11cd29d6","TransitionRule_3","TransitionRule"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","e6bb2b42-f245-488c-a704-d800592f4400","TransitionRule_4","TransitionRule"
"ENCOUNTER_START_RULE_3","Radomized","d78491e4-2fb0-466f-a5a9-df0ca55cd1da","TransitionRule_5","TransitionRule"
"ENCOUNTER_START_RULE_12","End of treatment","909e3f08-2513-42a5-a053-e5f021180bd3","TransitionRule_6","TransitionRule"
"ELEMENT_START_RULE_1","Informed consent","a5c05fab-3db3-4721-b72a-3bed9393f802","TransitionRule_7","TransitionRule"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","d5933c4c-ce99-4aaf-8afd-306adf8f2f51","TransitionRule_8","TransitionRule"
"ELEMENT_START_RULE_2","Administration of first dose","b098a1b7-1ee4-499b-8855-2d25cd291075","TransitionRule_9","TransitionRule"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","5c8b51e9-6c1e-43ba-a5b6-0c85d7b7b59f","TransitionRule_14","TransitionRule"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","b2a33b77-95cb-4bf0-93f0-9afa6c072fd9","TransitionRule_15","TransitionRule"
"ELEMENT_START_RULE_3","Administration of first dose","7473f035-9a47-43a2-9100-e40dbc4474a1","TransitionRule_10","TransitionRule"
"ELEMENT_START_RULE_4","Randomized","5bc28df7-f5e7-4ed2-b9de-0600da3ad7c0","TransitionRule_11","TransitionRule"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","0d652f84-0502-424b-bf26-7777b9573e03","TransitionRule_12","TransitionRule"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","9468fca7-bd22-4958-853e-0926b57a6bc8","TransitionRule_13","TransitionRule"
