"uuid:ID","id","codeSystem","codeSystemVersion","instanceType","code","decode"
"4b2a0153-7adb-46ca-9cf3-c95d75fe71e2","Code_1","http://www.cdisc.org","2023-12-15","Code","C98388","Interventional Study"
"b4bbb2bf-0b3c-4336-a0df-cdb29c2a46c7","Code_2","http://www.cdisc.org","2023-12-15","Code","C15601","Phase II Trial"
"716ebc03-bc4c-4ec7-9f47-e076c54ce44c","Code_9","http://www.cdisc.org","2023-12-15","Code","C132352","Sponsor Approval Date"
"7c410773-dc64-4fb0-847a-8f17d332af21","Code_10","http://www.cdisc.org","2023-12-15","Code","C68846","Global"
"bc2509e6-0a2a-41e6-9e67-4ea56a74df29","Code_72","http://www.cdisc.org","2023-12-15","Code","C99904x3","IRB/IEC Feedback"
"9f4c065d-1d69-46f8-9849-3b9bb0346f9f","Code_73","http://www.cdisc.org","2023-12-15","Code","C17649","Other"
"b9f6ce42-877f-4f89-be97-7f8a08dae0ec","Code_75","http://www.cdisc.org","2023-12-15","Code","C41129","Region"
"bef3bb6f-2f9c-4e22-8015-769fa03b4a79","Code_74","ISO 3166 1 alpha3","2020-08","Code","150","Europe"
"d10a0a0a-4275-4880-8313-d6e6cea3b0a7","Code_4","SPONSOR","12","Code","PHARMA","Eli Lilly"
"e4c3ba91-bf57-4932-9913-3b7d5ba30a2b","Code_76","http://www.cdisc.org","2023-12-15","Code","C70793","Clinical Study Sponsor"
"1d6d2818-8521-45df-80bb-330438712848","Code_77","ISO 3166 1 alpha3","2020-08","Code","USA","United States of America"
"29b65654-2c5e-4154-a027-e89a471a5bc5","Code_78","http://www.cdisc.org","2023-12-15","Code","C93453","Study Registry"
"8d07bf65-b044-4221-8f81-ee4de2356ccc","Code_79","ISO 3166 1 alpha3","2020-08","Code","USA","United States of America"
"bc86433d-ed21-423e-b6cc-530fc583f3ca","Code_137","http://www.cdisc.org","2023-12-15","Code","C49656","Treatment Study"
"0915746f-047d-420e-8676-e93aff300519","Code_138","http://www.cdisc.org","2023-12-15","Code","C49666","Efficacy Study"
"e7c5186a-5a26-4795-9267-af54fd7eca11","Code_139","http://www.cdisc.org","2023-12-15","Code","C49667","Safety Study"
"9411a279-54d5-43b6-8902-53b91e6e9a75","Code_140","http://www.cdisc.org","2023-12-15","Code","C49663","Pharmacokinetic Study"
"3230512a-2f8b-440c-a6c4-42e402553709","Code_134","SPONSOR","12","Code","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease"
"75a71eb1-5012-41fb-a88f-ce72e63a96d0","Code_135","SNOMED","January 31, 2018","Code","26929004","Alzheimer's disease"
"e4600dbb-2022-4934-94bd-3ca9f3603136","Code_143","http://www.cdisc.org","2023-12-15","Code","C99907x1","EXTENSION"
"8a076c49-7448-44b5-ad72-613615d0430c","Code_144","http://www.cdisc.org","2023-12-15","Code","C98704","ADAPTIVE"
"5328d323-a13e-45f7-84df-df5db71f4f65","Code_141","http://www.cdisc.org","2023-12-15","Code","C82639","Parallel Study"
"205609eb-4a2f-4f6e-a029-210295941d53","Code_83","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"4080e94e-e872-4016-976b-b815669a221d","Code_84","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"c8808e82-68d0-43b7-aa7a-92d575e6ec31","Code_85","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"e982102a-6b6f-4ae6-9a5a-9e8681e03c60","Code_86","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"e428c37a-62f5-46b4-836d-5264147dca30","Code_87","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"23e456a1-5754-4ec2-b80c-030c5ffd2087","Code_88","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"23b4d94a-c688-43d2-bd8f-5b1e635aebc9","Code_89","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"8f7f32c3-d8cc-429e-8749-9cdf062fdf35","Code_90","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"5af0bee2-e812-4964-be6c-78134dcc708f","Code_91","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"5b505487-13b7-4971-9453-1fa970d72893","Code_92","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"fa0607cd-db86-4461-a4f1-f07fcb336521","Code_93","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"bed48e3e-53b9-4f37-bb0b-9299b2c0a413","Code_94","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"d203daaf-7bf5-4162-a3f4-c2671115f6a9","Code_95","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"f6bb6153-1de2-452b-ab49-e449c249e926","Code_96","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"341cf060-f14e-42e0-9118-bc917ec6a88f","Code_97","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"88048e37-d519-4323-a81e-f8d598ccb9bd","Code_98","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"aaab92ba-895c-474c-a448-f345bdc4926c","Code_99","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"63b5c4ac-a3b8-427c-9cf4-da220f3bc429","Code_100","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"938b4595-861d-41ed-9847-35f97fdb2c7c","Code_101","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"1d95abad-1c05-4cbb-aba6-9f620e3d785a","Code_102","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"a6359d35-452c-4597-bd94-37c8b7c16859","Code_103","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"99bb4914-f049-4534-b26f-855c5844ca9f","Code_104","http://www.cdisc.org","2023-12-15","Code","C171537","Telephone Call"
"8d42881e-3cfa-408b-9a9b-928bb936f9cb","Code_105","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"26599796-e10e-4e29-a4ca-58eb40845ca7","Code_106","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"1332df8d-e19f-4e7d-8925-c4af2ab0bd21","Code_107","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"9fe57616-d470-4f77-89f1-77a9cb767e6d","Code_108","http://www.cdisc.org","2023-12-15","Code","C171537","Telephone Call"
"4dac33cd-dab9-4a85-b535-b6f54005f6fd","Code_109","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"3a07a7b9-6b19-467d-a131-afa3fbf3f166","Code_110","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"72399d2b-5e7c-442c-91b3-75d41854f079","Code_111","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"e4d57e69-804e-43c3-8dbd-92e568060433","Code_112","http://www.cdisc.org","2023-12-15","Code","C171537","Telephone Call"
"fe7276ab-6bf8-4960-92cb-a5b21d061281","Code_113","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
"ae11861b-24cf-4805-a133-a3361710cabc","Code_114","http://www.cdisc.org","2023-12-15","Code","C51282","Clinic"
"6664e8e3-9466-449c-8087-a514b15e4e3d","Code_115","http://www.cdisc.org","2023-12-15","Code","C175574","In Person"
"4315f08a-000b-49a1-82b2-b2b00ce5d32c","Code_116","http://www.cdisc.org","2023-12-15","Code","C171537","Telephone Call"
"1a64e9b2-c8f1-44d3-acbb-2cf414ede9a9","Code_117","http://www.cdisc.org","2023-12-15","Code","C25716","Visit"
