"decode","uuid:ID","instanceType","codeSystem","codeSystemVersion","id","code"
"Interventional Study","e051f180-96c1-4154-b573-f4d36e645bee","Code","http://www.cdisc.org","2023-12-15","Code_1","C98388"
"Phase II Trial","fb425242-8a87-4bdb-b7ac-7820a93bfabf","Code","http://www.cdisc.org","2023-12-15","Code_2","C15601"
"Sponsor Approval Date","cea32594-7999-47e6-8c0d-e7ae1173917e","Code","http://www.cdisc.org","2023-12-15","Code_9","C132352"
"Global","91292df3-eb48-4668-b4ef-429e0e497f9e","Code","http://www.cdisc.org","2023-12-15","Code_10","C68846"
"IRB/IEC Feedback","de48ac0c-1c93-4d90-8dd8-a3ca716af2a7","Code","http://www.cdisc.org","2023-12-15","Code_72","C99904x3"
"Other","a50cd01d-8593-491a-97c8-ed11526add1b","Code","http://www.cdisc.org","2023-12-15","Code_73","C17649"
"Region","11849ed3-65ae-4c9e-b0a6-fa720833bdfe","Code","http://www.cdisc.org","2023-12-15","Code_75","C41129"
"Europe","7b7e8d42-3183-436e-a046-fb1c0a046329","Code","ISO 3166 1 alpha3","2020-08","Code_74","150"
"Eli Lilly","e952fa87-31b8-44b1-8485-c69e4b19a0dd","Code","SPONSOR","12","Code_4","PHARMA"
"Clinical Study Sponsor","dc417578-3fea-4ac5-8b6b-b62a1d1cc36f","Code","http://www.cdisc.org","2023-12-15","Code_76","C70793"
"United States of America","c76902e3-7cb5-4b20-aaf1-6f8825eb829d","Code","ISO 3166 1 alpha3","2020-08","Code_77","USA"
"Study Registry","0fb6413f-0e07-4bc4-a865-33e4e7132bae","Code","http://www.cdisc.org","2023-12-15","Code_78","C93453"
"United States of America","ffc2767e-e603-44e4-b50e-0b47e260bcfb","Code","ISO 3166 1 alpha3","2020-08","Code_79","USA"
"Treatment Study","15c0b418-e2ae-45ad-a6c2-b838ae51ac15","Code","http://www.cdisc.org","2023-12-15","Code_137","C49656"
"Efficacy Study","5c355037-8800-4ae7-8e9e-60b66aff9324","Code","http://www.cdisc.org","2023-12-15","Code_138","C49666"
"Safety Study","7308edf8-22f0-45c6-bb7d-2259bbb98c98","Code","http://www.cdisc.org","2023-12-15","Code_139","C49667"
"Pharmacokinetic Study","f62887b1-5016-45ef-94c8-f2266471a834","Code","http://www.cdisc.org","2023-12-15","Code_140","C49663"
"Mild to Moderate Alzheimer's Disease","937b3dcd-8df7-40bf-aca9-6ff007f13c63","Code","SPONSOR","12","Code_134","MILD_MOD_ALZ"
"Alzheimer's disease","5e6a59ee-52b0-4fe6-9659-ba64b4bd27c6","Code","SNOMED","January 31, 2018","Code_135","26929004"
"EXTENSION","6e3bc852-a600-4968-886a-3d91f934d52e","Code","http://www.cdisc.org","2023-12-15","Code_143","C99907x1"
"ADAPTIVE","1f84ca31-0c10-4c6b-b84c-9516aa564366","Code","http://www.cdisc.org","2023-12-15","Code_144","C98704"
