"label","purpose","uuid:ID","instanceType","description","text","id","name"
"","","c4cdbebd-d515-4d5f-bdc4-bbb2dc6d9c6f","Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","END1"
"","","c95bc16a-4eb6-4e20-8f4c-71a74893b929","Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","END2"
"","","0e4c603e-ac63-4797-ae41-04fdb3fe57a9","Endpoint","","Adverse events","Endpoint_3","END3"
"","","f005e128-0e94-44ee-92d9-37c80df3a8eb","Endpoint","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","END4"
"","","7b6e030b-388c-4e1e-a648-c8eb3a1fd991","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","Endpoint_5","END5"
"","","f093474f-69ab-4b39-9bad-80cef3515417","Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","END6"
"","","70b136a0-b061-4864-b9bb-0d2d69af6be1","Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","END7"
"","","c1f71ab4-eade-41ce-92dc-45554989ce03","Endpoint","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","END8"
"","","65e331c8-4845-4e91-9e7d-2a500e371b13","Endpoint","","*** To be determined from protocol ***","Endpoint_9","END9"
"","","9a55035b-d60b-4f27-b9bf-47a43d2a8d09","Endpoint","","*** To be determined from protocol ***","Endpoint_10","END10"
"","","e9fae4cc-cc4e-4e97-85a4-7a14068de949","Endpoint","","*** To be determined from protocol ***","Endpoint_11","END11"
