"windowLabel","value","windowLower","label","uuid:ID","valueLabel","description","instanceType","id","windowUpper","name"
"","P2W","","Screening","b82074fe-e542-4579-8512-9e47a4ac2726","2 weeks","Screening timing","Timing","Timing_1","","TIM1"
"-4..0 hours","P2D","PT4H","Pre dose","ee3a6eec-305e-45c0-941f-e13c8247073f","2 days","Pre dose timing","Timing","Timing_2","PT0H","TIM2"
"","P1D","","Dosing","e23b6ca4-1aa9-4686-959b-b76195b68613","1 Day","Dosing anchor","Timing","Timing_3","","TIM3"
"-3..3 days","P2W","P3D","Week 2","8087a9c6-8a3b-47aa-bd67-3732f4a93b9a","2 Weeks","Week 2 timing","Timing","Timing_4","P3D","TIM4"
"-3..3 days","P4W","P3D","Week 4","8b311da8-b04b-4e43-9bce-f22a02163af9","4 Weeks","Week 4 timing","Timing","Timing_5","P3D","TIM5"
"-3..3 days","P6W","P3D","Week 6","ffc0a605-b6fe-447b-b8cf-e3acc02d6eb1","6 Weeks","Week 6 timing","Timing","Timing_6","P3D","TIM6"
"-3..3 days","P8W","P3D","Week 8","0e8a50a7-557a-4bdd-91e4-197cc21f4f74","8 Weeks","Week 8 timing","Timing","Timing_7","P3D","TIM7"
"-4..4 days","P12W","P4D","Week 12","d5b8e5e9-523b-4d68-8ae9-b8011923196d","12 Weeks","Week 12 timing","Timing","Timing_9","P4D","TIM9"
"-4..4 days","P16W","P4D","Week 16","0d1da331-b715-403f-832a-af30dbe21f0d","16 Weeks","Week 16 timing","Timing","Timing_11","P4D","TIM11"
"-4..4 days","P20W","P4D","Week 20","6bfae7cd-2b74-4d08-85f2-73fe25a84c0c","20 Weeks","Week 20 timing","Timing","Timing_13","P4D","TIM13"
"-4..4 days","P24W","P4D","Week 24","8aa9339f-6b26-4816-9526-47be60c425e6","24 Weeks","Week 24 timing","Timing","Timing_15","P4D","TIM15"
"-3..3 days","P26W","P3D","Week 26","41218211-4e27-4f09-9aca-9fde7f418302","26 Weeks","Week 26 timing","Timing","Timing_16","P3D","TIM16"
"","P2W","","Week 8 Home","77226612-b18a-466d-b46c-900989bee152","2 Weeks","Week 8 at home timing","Timing","Timing_8","","TIM8"
"","P2W","","Week 12 Home","314e843c-fc75-41dd-8cf3-a374d0170249","2 Weeks","Week 12 at home timing","Timing","Timing_10","","TIM10"
"","P2W","","Week 16 Home","ba552096-b4cd-4c34-8b63-63cd8bd3a37d","2 Weeks","Week 16 at home timing","Timing","Timing_12","","TIM12"
"","P2W","","Week 20 Home","48a1e668-89bf-40d8-947d-1bf3028c892f","2 Weeks","Week 20 at home timing","Timing","Timing_14","","TIM14"
"","P1D","","Adverse Event","3d9de34d-6bbe-4209-8259-2e533f2976de","1 Day","Adverse Event","Timing","Timing_17","","TIM17"
"","P1D","","Early Termination","0729a4ed-899a-40c1-b398-11e90de041f7","1 Day","Early Termination","Timing","Timing_18","","TIM18"
"","PT0M","","Supine","ffa36c20-a520-4dc0-8977-11f5a07a5b75","0 mins","Supine","Timing","Timing_19","","TIM19"
"","PT5M","","VS while supine","6cb97aec-903d-4ce7-aa95-345085777a27","5 mins","VS while supine","Timing","Timing_20","","TIM20"
"","PT0M","","Standing","bcea13bf-a53e-480d-8128-87d16cfbdbb3","0 min","Standing","Timing","Timing_21","","TIM21"
"","PT1M","","VS while standing","51e02e52-c50e-486c-8dfd-7fea7fd261cd","1 min","VS while standing","Timing","Timing_22","","TIM22"
"","PT0M","","Standing","98ea7ce4-7aa0-4d05-b399-602adf1b71b7","0 min","Standing","Timing","Timing_23","","TIM23"
"","PT2M","","VS while standing","f76504d7-1a9f-46c0-9461-1bed8d398d4b","2 min","VS while standing","Timing","Timing_24","","TIM24"
