"label","uuid:ID","reference","instanceType","id","synonyms","name"
"Sex","30b99124-0a2a-4dd3-979d-04aa1cdd1623","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","BiomedicalConcept_20","","Sex"
"Race","cd7cbee9-0f4b-4757-976e-a4b0dd259b3a","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","BiomedicalConcept_21","['Racial Group']","Race"
"Temperature","f8d2b188-d962-4306-aae6-1923b7119f71","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_22","['Temperature', 'Body Temperature']","Temperature"
"Weight","a34e8534-ab92-4bd0-bb45-a35edfae5ccf","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_23","['Weight', 'Body Weight']","Weight"
"Height","76170c2e-417b-4d15-94d6-7048fefd6cfd","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_24","['Height', 'Body Height']","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","61009633-e026-43ad-a550-47297597c69d","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_25","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","66414c36-310a-4db2-a4f8-67e9ff32c0b2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_26","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","8bad8859-a907-4651-97d7-83446ec457f3","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_27","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","f12e6fa9-77bf-4fe1-8693-cafb0bdf1c97","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_28","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","5fbe6709-baa8-4332-ac0a-057acfd5c9f6","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_29","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","fbfd3734-02e8-4771-8e82-d318fab6f61e","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_30","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"Sodium Concentration in Urine","58785496-c654-4c45-9a56-e3418d86de3b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_31","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","eafee3be-6c19-4b2a-965c-f916fbd2850e","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","BiomedicalConcept_32","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","48494b4d-e0da-44ec-a34f-0a234e5172d0","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"Systolic Blood Pressure","9c1cef47-425b-4cdb-8563-78a757d0627c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"Diastolic Blood Pressure","58d3dc64-727b-4901-a304-318b4a6aed70","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"Temperature","9152819b-36db-4f80-adc0-2cb062bf5aa1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_4","['Temperature', 'Body Temperature']","Temperature"
"Weight","d1276e55-a532-4aa0-b00f-6a848880b85c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_5","['Weight', 'Body Weight']","Weight"
"Height","131b1b5e-74e2-49bc-9951-edb843cf3527","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_6","['Height', 'Body Height']","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","a50ec273-b47a-4ea6-a1e2-4221ee3cea38","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","191f554f-1c77-4691-a11c-b16b64a813b3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","f3e28b99-8d3e-40a1-b786-6e6d3c746b6e","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","ccbe4cd8-16a1-425b-b050-e34a58b85bd9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","e0511b9e-1ad3-4d90-b972-d63a6e1f4290","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","eaafffeb-ae32-44e8-a858-70ec7ceafd4f","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"Sodium Concentration in Urine","9d13b8c1-faad-4e37-bf70-3f9aba5583a6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"Systolic Blood Pressure","41c124e4-53c7-4b12-88ca-5e5f593684b7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"Diastolic Blood Pressure","056d5d55-9c58-45cd-80af-f438156abbb7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"Heart Rate","3c60378e-d1f0-4c57-99a7-e4c2230300bb","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_16","['Heart Rate']","Heart Rate"
"Systolic Blood Pressure","5bf5e626-dfb3-44e8-99a4-64409ee5b471","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"Diastolic Blood Pressure","16d720f7-7702-456a-a00a-bd4221447a47","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"Heart Rate","44f5e9a1-aa7b-49fd-a75d-16d7668c5b5a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_19","['Heart Rate']","Heart Rate"
