"label","uuid:ID","description","instanceType","id","name"
"Screen One","1c91137f-95a3-46df-a8e2-51bd4f24d243","-","ScheduledActivityInstance","ScheduledActivityInstance_9","SCREEN1"
"Screen Two","f6e8de1d-9ae3-4293-95fc-2570ca63146b","-","ScheduledActivityInstance","ScheduledActivityInstance_10","SCREEN2"
"Dose","1d725163-3ace-4cfb-b1c8-3e8e67d763df","-","ScheduledActivityInstance","ScheduledActivityInstance_11","DOSE"
"Week 2","4dfc53c9-cff6-4b8a-8fa6-46c21c87ce10","-","ScheduledActivityInstance","ScheduledActivityInstance_12","WK2"
"Week 4","c273a0e1-0176-4b79-beee-ad6e4eb5d324","-","ScheduledActivityInstance","ScheduledActivityInstance_13","WK4"
"Week 6","7a384201-53b2-4fb0-ad1f-3639038a7d78","-","ScheduledActivityInstance","ScheduledActivityInstance_14","WK6"
"Week 8","7eb05c41-c2ec-442a-9d38-89c6c8151caf","-","ScheduledActivityInstance","ScheduledActivityInstance_15","WK8"
"Week NPI","e2bfcde8-068b-407a-94a1-1f2e84ea1267","-","ScheduledActivityInstance","ScheduledActivityInstance_16","WK8N"
"Week 12","fefa79e6-9a42-477d-9a0d-533aa81b5000","-","ScheduledActivityInstance","ScheduledActivityInstance_17","WK12"
"Week 12 NPI","a1f98f2f-0c8f-4e92-97ab-3cf1591fb642","-","ScheduledActivityInstance","ScheduledActivityInstance_18","WK12N"
"Week 16","b44322af-414b-4343-9deb-29024a04986d","-","ScheduledActivityInstance","ScheduledActivityInstance_19","WK16"
"Week 16 NPI","ef444b67-c57b-43f3-88e7-a8f3971bf71e","-","ScheduledActivityInstance","ScheduledActivityInstance_20","WK16N"
"Week 20","3ce8c8fd-0dec-446d-9f5c-5f9c84ef5dce","-","ScheduledActivityInstance","ScheduledActivityInstance_21","WK20"
"Week 20 NPI","14b9e5a5-9f00-486e-9076-2df5a12c80bb","-","ScheduledActivityInstance","ScheduledActivityInstance_22","WK20N"
"Week 24","c9e42f96-2893-4383-98cc-1b5a876fb3f2","-","ScheduledActivityInstance","ScheduledActivityInstance_23","WK24"
"Week 26","e3492e10-03ec-405c-8b94-9c2e0fd16351","-","ScheduledActivityInstance","ScheduledActivityInstance_24","WK26"
"Adevers Event","f30d6936-0787-49bb-bcb9-2488162e66a6","-","ScheduledActivityInstance","ScheduledActivityInstance_1","AE"
"Early Termination","68ae7383-7bea-40db-9c6f-f308f2fb8aa9","-","ScheduledActivityInstance","ScheduledActivityInstance_2","ET"
"5 minute supine","b9287d9b-d980-4e2e-8609-5029b7f46b47","","ScheduledActivityInstance","ScheduledActivityInstance_3","VS_5MIN"
"Vital signs supine","22b5136f-4863-47b1-a726-7de7fe5ff50e","","ScheduledActivityInstance","ScheduledActivityInstance_4","VS_SUPINE"
"1 minute standing","efe3301e-b5a7-4d37-9847-90b7d96deae5","","ScheduledActivityInstance","ScheduledActivityInstance_5","VS_1MIN"
"Vital signs after 1 min standing","8d5c4e94-31d7-4bc4-86ea-a6011a5bfce4","","ScheduledActivityInstance","ScheduledActivityInstance_6","VS_STAND1"
"2 minute standing","8f247228-0618-47c0-abc1-e56269e00ef6","","ScheduledActivityInstance","ScheduledActivityInstance_7","VS_2MIN"
"Vital signs after 3 min standing","82fe1c96-a8dd-4602-bf16-65f6aa4fad4a","","ScheduledActivityInstance","ScheduledActivityInstance_8","VS_STAND3"
