"name","uuid:ID","instanceType","text","id"
"ENCOUNTER_START_RULE_1","3faf4f4a-4615-4492-b77f-74d587bd0cd8","TransitionRule","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","e09737de-589a-409a-b9c7-f4bf5eec2f72","TransitionRule","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","24d35c6c-d678-4c61-974d-42ece5d43fab","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","e68b5fb6-0fcd-4627-bf78-c063d894fa25","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","61f6671f-6338-4792-832a-6d78e48dd629","TransitionRule","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","a38d8ec3-6c0f-4911-b4a2-5088b27d85f0","TransitionRule","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","bab2775e-c13b-49fd-ba2d-80aa28fdd467","TransitionRule","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","cc0d33a4-fd5a-4650-b9c5-384b8e12f034","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","c7f7a571-ea97-43bb-9064-02c97a96b8c9","TransitionRule","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","becb90bf-91cc-4ef6-9aaa-1315d7e55fbf","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","8a0bc583-407a-4a44-87db-1cbab43c694f","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","b2be0313-ad8c-4f05-b29e-753fa7659759","TransitionRule","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","ef5ba452-7c33-4b9b-8d0e-cb5e792f1d01","TransitionRule","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","4a2a4c51-d913-4518-80d5-aef96c51133f","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","9cf1fd36-1dec-4b92-a822-661dba15a85a","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
