"name","description","label","value","instanceType","uuid:ID","windowLower","windowUpper","window","id"
"TIM1","Screening timing","Screening","P2W","Timing","b2b5ec06-5c85-4898-ad60-e4c0a26a1309","","","","Timing_1"
"TIM2","Pre dose timing","Pre dose","P2D","Timing","5470bbf7-5cd8-4daf-bd01-ec7440780474","PT4H","PT0H","-4..0 hours","Timing_2"
"TIM3","Dosing anchor","Dosing","P1D","Timing","6ef451fd-1503-43db-ba1b-4ef50b0f06a9","","","","Timing_3"
"TIM4","Week 2 timing","Week 2","P2W","Timing","1b9c21ec-5af9-494e-80bc-296ab49dc7e0","P3D","P3D","-3..3 days","Timing_4"
"TIM5","Week 4 timing","Week 4","P4W","Timing","7bfc1df8-4dd1-484a-9ded-9256a03fb8b4","P3D","P3D","-3..3 days","Timing_5"
"TIM6","Week 6 timing","Week 6","P6W","Timing","b9d8439a-d65b-41a0-8238-4ac7b7bc7eee","P3D","P3D","-3..3 days","Timing_6"
"TIM7","Week 8 timing","Week 8","P8W","Timing","1ce2981a-a947-4ea6-a9e4-0ddaed850a63","P3D","P3D","-3..3 days","Timing_7"
"TIM9","Week 12 timing","Week 12","P12W","Timing","80493fd8-fe59-4c8b-8beb-23bb167cedf2","P4D","P4D","-4..4 days","Timing_9"
"TIM11","Week 16 timing","Week 16","P16W","Timing","d11d0bb1-22a8-414b-8474-0f23d9d4b3fd","P4D","P4D","-4..4 days","Timing_11"
"TIM13","Week 20 timing","Week 20","P20W","Timing","83a6378f-6efc-4147-9dc5-7405e1db919e","P4D","P4D","-4..4 days","Timing_13"
"TIM15","Week 24 timing","Week 24","P24W","Timing","6425f8cd-291f-4145-856f-445c8a1b3c8b","P4D","P4D","-4..4 days","Timing_15"
"TIM16","Week 26 timing","Week 26","P26W","Timing","b2138aa6-14d0-4142-b95f-74799d9ba6ed","P3D","P3D","-3..3 days","Timing_16"
"TIM8","Week 8 at home timing","Week 8 Home","P2W","Timing","699f8522-e445-42b6-9ea5-a8d4fd092389","","","","Timing_8"
"TIM10","Week 12 at home timing","Week 12 Home","P2W","Timing","10554dfb-595b-4daa-a929-451f1a9cfbb1","","","","Timing_10"
"TIM12","Week 16 at home timing","Week 16 Home","P2W","Timing","a0263cd0-485d-42b7-b134-eb0956b6311f","","","","Timing_12"
"TIM14","Week 20 at home timing","Week 20 Home","P2W","Timing","14442350-3ec6-44ad-b842-0d6e9b8307de","","","","Timing_14"
"TIM17","Adverse Event","Adverse Event","P1D","Timing","81b59cf7-eb87-40c2-aaf8-fb43fd15f1c7","","","","Timing_17"
"TIM18","Early Termination","Early Termination","P1D","Timing","5c05bdbc-6812-4ff7-8ead-d3d91682965b","","","","Timing_18"
"TIM19","Supine","Supine","PT0M","Timing","6866d657-6bbf-469e-a1b4-41143cffd0c5","","","","Timing_19"
"TIM20","VS while supine","VS while supine","PT5M","Timing","c58603e8-d343-4090-9471-aa8be0cd0a12","","","","Timing_20"
"TIM21","Standing","Standing","PT0M","Timing","ef71af5d-39b7-4765-ab09-e1c3c570d3ea","","","","Timing_21"
"TIM22","VS while standing","VS while standing","PT1M","Timing","09c9cf6e-e2b5-4e86-8505-e9857b2d76c6","","","","Timing_22"
"TIM23","Standing","Standing","PT0M","Timing","e076f55a-4ac0-4356-b2a2-8a9263638ee1","","","","Timing_23"
"TIM24","VS while standing","VS while standing","PT2M","Timing","2a33d4af-3ccc-4dce-a7a0-3a73ee2c1466","","","","Timing_24"
