"name","description","label","instanceType","uuid:ID","text","purpose","id"
"END1","","","Endpoint","1f8c0c49-7acf-4ba1-953d-3419f11072de","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1"
"END2","","","Endpoint","84249125-1df0-4456-afee-0126a9290b75","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2"
"END3","","","Endpoint","8c5328ce-924f-4869-ba4d-a46f786eccf7","Adverse events","","Endpoint_3"
"END4","","","Endpoint","572bdce6-9e84-4326-9228-9e577d96a0b3","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4"
"END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint","7d94e603-1636-4d10-a0cf-ef96645281bb","Laboratory evaluations (Change from Baseline)","","Endpoint_5"
"END6","","","Endpoint","1288c749-b073-4144-91d0-cc97d212c1c1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6"
"END7","","","Endpoint","26c69bd7-ee97-495c-8f84-2393720955cf","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7"
"END8","","","Endpoint","1ea3ed9c-eb1f-477d-b0d0-1c1cd7ce3faa","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8"
"END9","","","Endpoint","053d3bda-323b-499b-b9c9-cf46adfbe304","*** To be determined from protocol ***","","Endpoint_9"
"END10","","","Endpoint","db0e895d-2f91-4d72-8b8a-c54498fd7fb1","*** To be determined from protocol ***","","Endpoint_10"
"END11","","","Endpoint","784769ff-96ca-4adc-958b-b7da462debbb","*** To be determined from protocol ***","","Endpoint_11"
