"name","description","instanceType","label","uuid:ID","id"
"Informed consent","","Activity","Informed consent","e51905bf-3c53-459d-b690-2733dbf83082","Activity_1"
"Inclusion/exclusion criteria","","Activity","Inclusion and exclusion criteria","0a00a19c-e929-4b66-bdd4-965944b5001c","Activity_2"
"Patient number assigned","","Activity","Patient number assigned","28a78f6a-cd0b-4b5e-981b-8f45ccf8643e","Activity_3"
"Demographics","","Activity","Demographics","17f0fac0-f176-4fc2-bf11-de8c438c87ba","Activity_4"
"Hachinski","","Activity","Hachinski Ischemic Scale","4dd12b3c-af67-4c99-a416-136ab85cd8b7","Activity_5"
"MMSE","","Activity","MMSE","113b9249-7c38-4ac0-9c59-7e44b0fb1265","Activity_6"
"Physical examination","","Activity","Physical examination","35e1a3a3-4bc1-4817-b165-3c4f567e9414","Activity_7"
"Medical history","","Activity","Medical history","bdd89a63-34cd-4d88-84e5-cedd78e1fba3","Activity_8"
"Habits","","Activity","Habits","c6dbc45e-fcb3-49ab-812b-56b7a543e9f3","Activity_9"
"Chest X-ray","","Activity","Chest X-ray","2b95b610-ea6a-4058-a2d1-51804bbb4e72","Activity_10"
"Apo E genotyping","","Activity","Apo E genotyping","c138baf1-a486-4dd8-8736-afd0799a04f4","Activity_11"
"Patient randomised","","Activity","Patient randomised","f66485ef-a8f7-4cdc-9590-5eed8c52087e","Activity_12"
"Vital signs / Temperature","","Activity","Vital Signs and Temperature","9d087363-95e5-43d9-8026-6a4aebe204a5","Activity_13"
"Ambulatory ECG placed","","Activity","Ambulatory ECG placed","f7d28711-ca28-4e5e-9f62-aa897bcb8efb","Activity_14"
"Ambulatory ECG removed","","Activity","Ambulatory ECG removed","d77595d0-f691-4925-aece-83ed767071a1","Activity_15"
"ECG","","Activity","ECG","40a75065-3721-4617-8378-dd8ff2500631","Activity_16"
"Placebo TTS test","","Activity","Placebo TTS test","f6764c48-c9f6-4a04-8d65-116aace3b35a","Activity_17"
"CT scan","","Activity","CT scan","f8d25622-0d79-44e6-a93f-9196ee7696db","Activity_18"
"Concomitant medications","","Activity","Concomitant medications","9c06463a-04d7-41f9-89eb-e1749e70dd9b","Activity_19"
"Hematology","","Activity","Hematology","27128016-4c3d-4822-9e57-01be0fa90236","Activity_20"
"Chemistry","","Activity","Chemistry","9820dcc6-0fb9-4b64-a5ee-46c6cddd65e5","Activity_21"
"Uninalysis","","Activity","Uninalysis","04ed35dc-8cce-4678-b340-b9029591b824","Activity_22"
"Plasma Specimen (Xanomeline)","","Activity","Plasma Specimen (Xanomeline)","b4f256b8-330f-4282-a620-30c2ea4efd6a","Activity_23"
"Hemoglobin A1C","","Activity","Hemoglobin A1C","7cf5dbb7-d531-4b65-9b7a-fe44d7b80c38","Activity_24"
"Study drug","","Activity","Study drug record , Medications dispensed, Medications returned","5bca207e-caf1-4bb9-9eb5-cec97a7d75a3","Activity_25"
"TTS Acceptability Survey","","Activity","TTS Acceptability Survey","c39d5a05-cf90-43df-b8bb-94f7bc8352ce","Activity_26"
"ADAS-Cog","","Activity","ADAS-Cog","9b2a6b19-2077-4393-96d5-de3dfc83bfc1","Activity_27"
"CIBIC+","","Activity","CIBIC+","458c7661-6e34-4d2a-b85f-0cc5babdaf61","Activity_28"
"DAD","","Activity","DAD","acced977-71dc-407e-b50a-0046ab778a4e","Activity_29"
"NPI-X","","Activity","NPI-X","db486729-05cf-4e7d-9dd2-6f30d671efbc","Activity_30"
"Adverse events","","Activity","Adverse events","5c42e269-8e62-4ea7-a887-aff59efeb984","Activity_31"
"Check adverse events","","Activity","Check adverse events","ed928e6f-3afe-48fb-a75e-e4a7f33064ce","Activity_32"
"Supine","","Activity","Subject supine","d37b4c20-b46b-4b28-92a0-2c5ae2627c56","Activity_33"
"Vital Signs Supine","","Activity","Vital signs while supine","15f8e431-da04-47e1-a5bd-d63b4ef60c04","Activity_34"
"Stand","","Activity","Subject Standing","4b49ee23-eb64-47cd-9a17-4b17e576d938","Activity_35"
"Vital Signs Standing","","Activity","Vital signs while standing","5c92c81f-e4ee-417f-9c56-8e9932a2a2e3","Activity_36"
