"reference","name","uuid:ID","instanceType","label","synonyms","id"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","eb4f4d5c-47cf-4e65-a4dc-1879cf2d9c0d","BiomedicalConcept","Sex","","BiomedicalConcept_20"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","4409f9a2-310d-46e4-8009-a064eb2b1f73","BiomedicalConcept","Race","['Racial Group']","BiomedicalConcept_21"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","98141753-9fd1-4ceb-974f-32a216459064","BiomedicalConcept","Body Temperature","['Temperature']","BiomedicalConcept_22"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","3b267492-fb4c-48d2-ac71-8ebf4cd86b32","BiomedicalConcept","Body Weight","['Weight']","BiomedicalConcept_23"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","d6f0185e-2e29-437a-848f-562ece1efa65","BiomedicalConcept","Body Height","['Height']","BiomedicalConcept_24"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","6ad828c4-2584-4308-80a4-ee077a94e051","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_25"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","a2587bbe-50ff-46e1-bbe0-b519ff6470f9","BiomedicalConcept","Albumin Measurement","['Albumin']","BiomedicalConcept_26"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","a549cf51-0dc0-45d9-8969-b353afbdb709","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_27"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","d873819d-9d92-40e1-b604-75adb3c62c51","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_28"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","daa9ee15-32ea-4a7c-b273-35689162b010","BiomedicalConcept","Creatinine Measurement","['Creatinine']","BiomedicalConcept_29"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","675529a9-6db0-401c-b623-20083eda1cfd","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_30"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","e42056fa-5c6f-46e7-b1a0-b40e5eeb0045","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_31"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","Adverse Event","ad3384ed-9599-40ed-8b3d-281e68c597a8","BiomedicalConcept","Adverse Event","","BiomedicalConcept_1"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","Systolic Blood Pressure","b0f08781-d04e-4076-bd36-8c64682ce971","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","Diastolic Blood Pressure","020321c4-a214-4326-a366-0e46dd948e70","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","c05e59fa-4265-4efa-81b9-ce35d61ecb7f","BiomedicalConcept","Body Temperature","['Temperature']","BiomedicalConcept_4"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","b0b72f06-c324-4972-a1c7-a00d336370a6","BiomedicalConcept","Body Weight","['Weight']","BiomedicalConcept_5"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","377354a1-1b77-4d4f-a929-c95ce249bccd","BiomedicalConcept","Body Height","['Height']","BiomedicalConcept_6"
