"code","codeSystemVersion","codeSystem","instanceType","uuid:ID","decode","id"
"C98388","2023-09-29","http://www.cdisc.org","Code","9c7401cd-ac0c-4db6-b814-747d04a71a9e","Interventional Study","Code_1"
"C15601","2023-09-29","http://www.cdisc.org","Code","aace062e-acb3-4869-aea7-915e9adea662","Phase II Trial","Code_2"
"C132352","2023-09-29","http://www.cdisc.org","Code","869fc086-37c3-41b3-9e2a-642c64811ce3","Sponsor Approval Date","Code_9"
"C68846","2023-09-29","http://www.cdisc.org","Code","2b30872c-b977-4183-9d81-c25f71127a8d","Global","Code_10"
"C99904x3","2023-09-29","http://www.cdisc.org","Code","1850bfcf-b540-4500-b8a6-1fe2eea97a76","IRB/IEC Feedback","Code_72"
"C17649","2023-09-29","http://www.cdisc.org","Code","1e310c4a-b591-46bb-9235-c7f1b6534245","Other","Code_73"
"C41129","2023-09-29","http://www.cdisc.org","Code","e6524432-0974-4062-b299-7a75c212bd77","Region","Code_75"
"150","2020-08","ISO 3166 1 alpha3","Code","9be8b818-5cc9-4f3e-8639-eb0b43a4b874","Europe","Code_74"
"PHARMA","12","SPONSOR","Code","54068dc3-fc64-4178-96af-63f7662975fc","Eli Lilly","Code_4"
"C70793","2023-09-29","http://www.cdisc.org","Code","345d11ac-b705-4d2f-9f5d-218051d300d1","Clinical Study Sponsor","Code_76"
"USA","2020-08","ISO 3166 1 alpha3","Code","eb8be53e-f9aa-467f-8f90-ff72caabe91b","United States of America","Code_77"
"C93453","2023-09-29","http://www.cdisc.org","Code","b3ffc560-c256-4612-ad8c-47c6609f5650","Study Registry","Code_78"
"USA","2020-08","ISO 3166 1 alpha3","Code","f1e1f52f-70dc-461e-a94c-2da775ed6b58","United States of America","Code_79"
"C49656","2023-09-29","http://www.cdisc.org","Code","46bdf307-0b0b-4e74-8479-20b0669b36c9","Treatment Study","Code_137"
"C49666","2023-09-29","http://www.cdisc.org","Code","77efd2dd-0dfd-4e01-b9ea-5e4a1eea3c37","Efficacy Study","Code_138"
"C49667","2023-09-29","http://www.cdisc.org","Code","3dfa36d0-312e-4244-a73b-7063beefc267","Safety Study","Code_139"
"C49663","2023-09-29","http://www.cdisc.org","Code","b325b321-a9b6-4124-bf5d-8500960ed160","Pharmacokinetic Study","Code_140"
"MILD_MOD_ALZ","12","SPONSOR","Code","a5ac9ccb-9684-4c96-b2cb-992d5b530dc5","Mild to Moderate Alzheimer's Disease","Code_134"
"26929004","January 31, 2018","SNOMED","Code","62d4e8ee-a172-41e0-baa0-aa6fd2458f52","Alzheimer's disease","Code_135"
"C99907x1","2023-09-29","http://www.cdisc.org","Code","d9d160a2-28d9-431f-aa98-8b45f50a846d","EXTENSION","Code_143"
"C98704","2023-09-29","http://www.cdisc.org","Code","08911a56-e34c-43dc-95a6-b710b9a0bccd","ADAPTIVE","Code_144"
"C82639","2023-09-29","http://www.cdisc.org","Code","65d041f2-8bf2-456b-aacd-b4a49571a15d","Parallel Study","Code_141"
"C25716","2023-09-29","http://www.cdisc.org","Code","24ee2a73-da5a-40b7-a4e9-8f9a9f89173f","Visit","Code_83"
"C51282","2023-09-29","http://www.cdisc.org","Code","ff2030a1-d489-4cdf-b63c-dc9f457a9481","Clinic","Code_84"
"C175574","2023-09-29","http://www.cdisc.org","Code","ac9d86a1-39ae-4d8c-a6c3-80f8c7c4fee3","In Person","Code_85"
"C25716","2023-09-29","http://www.cdisc.org","Code","4751176d-2fe8-4021-9323-dbc1afabb851","Visit","Code_86"
"C51282","2023-09-29","http://www.cdisc.org","Code","dfd80386-f81b-400c-a9cb-14ecae65ee4a","Clinic","Code_87"
"C175574","2023-09-29","http://www.cdisc.org","Code","a6075006-4c46-4ee0-9449-8e2e82c0cd05","In Person","Code_88"
"C25716","2023-09-29","http://www.cdisc.org","Code","94302857-76c8-4a98-b03a-c51ae105c282","Visit","Code_89"
"C51282","2023-09-29","http://www.cdisc.org","Code","856d08a7-31f8-4cf2-9d0f-9f3290f496e3","Clinic","Code_90"
"C175574","2023-09-29","http://www.cdisc.org","Code","8f6bdf73-379f-4151-ae61-ddf51b268002","In Person","Code_91"
"C25716","2023-09-29","http://www.cdisc.org","Code","464a3efe-de2d-4310-8e4f-e3172bad4a1e","Visit","Code_92"
"C51282","2023-09-29","http://www.cdisc.org","Code","62ad216c-93f0-454c-a54c-cfeeb8e88c2f","Clinic","Code_93"
"C175574","2023-09-29","http://www.cdisc.org","Code","482a3844-692f-45ed-a50b-da9e0a0c8e9a","In Person","Code_94"
"C25716","2023-09-29","http://www.cdisc.org","Code","11ad8c5a-afa4-41f0-b7c7-12b987584755","Visit","Code_95"
"C51282","2023-09-29","http://www.cdisc.org","Code","5ee1bdbb-bf78-4bf6-93e4-31ddaf0d9e88","Clinic","Code_96"
"C175574","2023-09-29","http://www.cdisc.org","Code","844c20d8-1219-42d2-a8d3-d928b7009b8c","In Person","Code_97"
"C25716","2023-09-29","http://www.cdisc.org","Code","012deab5-1a43-40d2-8804-580e2273680e","Visit","Code_98"
"C51282","2023-09-29","http://www.cdisc.org","Code","3e2f2bcd-1ce1-45c9-8f80-89736700cac5","Clinic","Code_99"
"C175574","2023-09-29","http://www.cdisc.org","Code","12954242-b93d-4545-9d76-9794a947e925","In Person","Code_100"
"C25716","2023-09-29","http://www.cdisc.org","Code","bd352081-7f6c-4081-9662-c3d022bd09cd","Visit","Code_101"
"C51282","2023-09-29","http://www.cdisc.org","Code","c5dff8ba-31d3-4eeb-802e-9777cb8c5411","Clinic","Code_102"
"C175574","2023-09-29","http://www.cdisc.org","Code","40727fc4-5739-407f-bce1-2849676e8cbd","In Person","Code_103"
"C171537","2023-09-29","http://www.cdisc.org","Code","10639041-fc06-4223-8de3-95915d14c277","Telephone Call","Code_104"
"C25716","2023-09-29","http://www.cdisc.org","Code","443679ed-6ce7-4508-b7b0-8483403cb2ae","Visit","Code_105"
