"name","description","instanceType","label","uuid:ID","id"
"E1","Screening encounter","Encounter","Screening 1","01653625-ade0-4282-ab5d-9747d6b54939","Encounter_1"
"E2","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2","154dd2f4-549d-44b9-a18f-ba1b62481360","Encounter_2"
"E3","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline","3b4890f1-f111-4282-8d11-28a78ea94864","Encounter_3"
"E4","Day 14","Encounter","Week 2","9d259793-db67-414b-9f1f-cbbd5dcf1485","Encounter_4"
"E5","Day 28","Encounter","Week 4","d0b3ae9a-1bcf-457a-876b-17ce617456ff","Encounter_5"
"E7","Day 42","Encounter","Week 6","0abf05bf-230e-4af6-8f48-8d6aebf98b70","Encounter_6"
"E8","Day 56","Encounter","Week 8","112d473a-a5de-483c-ad9a-12173abcdac1","Encounter_7"
"E9","Day 84","Encounter","Week 12","f48c27bf-918c-4b76-bc46-a67ae7356976","Encounter_8"
"E10","Day 112","Encounter","Week 16","7d5315aa-b161-491a-9b6b-3d55eb3c53f6","Encounter_9"
"E11","Day 140","Encounter","Week 20","eb5c3e64-cf42-4753-b043-c664ebeb1bb5","Encounter_10"
"E12","Day 168","Encounter","Week 24","0f416294-c02a-4016-8003-6a2b85808eab","Encounter_11"
"E13","Day 182","Encounter","Week 26","04558ce6-8225-45a3-82fb-3bfc0160c40c","Encounter_12"
