"label","reference","uuid:ID","name","synonyms","instanceType","id"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","7ea614cf-7f87-40c2-ab3a-584c51608089","Body Temperature","['Temperature']","BiomedicalConcept","BiomedicalConcept_20"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","d95d76d8-4579-4c98-9f5b-64d2f2eef72b","Body Weight","['Weight']","BiomedicalConcept","BiomedicalConcept_21"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","7b057dc7-25ac-4608-892d-3910546ac0d7","Body Height","['Height']","BiomedicalConcept","BiomedicalConcept_22"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","820ed8e8-9df2-45f6-9421-609c7f660ec1","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","BiomedicalConcept_23"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","6c0907f8-bba9-412c-ba8d-c3a4def11387","Albumin Measurement","['Albumin']","BiomedicalConcept","BiomedicalConcept_24"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","5203c966-0f0d-4e1f-ade9-7875519c1447","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","BiomedicalConcept_25"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","4c8e57d6-7251-422d-8d4c-ffb27181f09e","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","BiomedicalConcept_26"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","035c35a7-a799-4d1f-be39-eb2c722a44da","Creatinine Measurement","['Creatinine']","BiomedicalConcept","BiomedicalConcept_27"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","dadf2e9c-ec5a-43c1-acad-6a2d8dd4e37e","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","BiomedicalConcept_28"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","bd4e0103-0165-4a4b-b91e-5f2b77175c39","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","BiomedicalConcept_29"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","82d1e7a9-3058-4cd9-a302-19d3e98b366b","Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept","BiomedicalConcept_1"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","ca0bec9a-b573-4781-bf07-dcc9ab0251dc","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","BiomedicalConcept_2"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","f2922800-b4c3-4263-8d52-fac0a04e4468","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","BiomedicalConcept_3"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","958cd567-95ba-4407-a4b6-347bd2b66f26","Body Temperature","['Temperature']","BiomedicalConcept","BiomedicalConcept_4"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","cf635229-dc6b-4700-b5d8-34a194a0414c","Body Weight","['Weight']","BiomedicalConcept","BiomedicalConcept_5"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","0d0bb2b5-f3c3-47c9-864b-7cc05ae4d3c5","Body Height","['Height']","BiomedicalConcept","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","fc7a4aad-425c-4d0c-b0ee-bcdcfeef16ef","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","BiomedicalConcept_7"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","94ad9746-3636-4285-bfee-e94a2fc9dc51","Albumin Measurement","['Albumin']","BiomedicalConcept","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","b9ca7af3-f997-4d43-9b8e-759b9174794f","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","cee369cd-16b9-4f0f-8b91-a3195e94d9f1","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","BiomedicalConcept_10"
