"label","isRequired","name","uuid:ID","datatype","instanceType","isEnabled","id"
"Vital Signs Result","True","Vital Signs Result","f8b5b4a1-62d9-4384-af6d-fa10a5e32a5c","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_98"
"Unit of Temperature","True","Unit of Temperature","6bda1162-bfce-4f0d-b827-8fba841493f4","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_99"
"Vital Signs Location","True","Vital Signs Location","22672a76-9e76-4171-be1f-5ea2789d3193","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_100"
"Vital Signs Result","True","Vital Signs Result","cc57f3f4-65b1-461b-8e06-b1ed839082d8","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_101"
"Unit of Weight","True","Unit of Weight","87d04a6c-7c52-4c6d-beb3-f629db8a36fe","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_102"
"Vital Signs Result","True","Vital Signs Result","40b3b297-94e4-42c8-8496-3344e4710363","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_103"
"Unit of Height","True","Unit of Height","dbacc7b6-7b76-4a4b-bd50-4965db86bf6e","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_104"
"Laboratory Test Result","True","Laboratory Test Result","d6f45cfe-5901-4384-bfd5-803cf8af8bf4","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_105"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","3fa26558-4a62-4670-b992-91aeb5e5467b","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_106"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","79c78825-551a-4822-90c2-c02728e808fe","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_107"
"Biospecimen Type","True","Biospecimen Type","fd2a06a8-4f7f-48e3-859e-8f36901e35c0","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_108"
"Laboratory Test Result","True","Laboratory Test Result","6f1ebc3f-f4b1-487b-a531-ae547a5bf58e","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_109"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","5c842806-0551-42fe-a002-c66364291858","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_110"
"Unit of Concentration","True","Unit of Concentration","69b65ad1-bef9-49cf-adea-a7815fca67c0","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_111"
"Biospecimen Type","True","Biospecimen Type","467a8f2e-babb-4d07-aeee-d80ab26aa63b","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_112"
"Laboratory Test Result","True","Laboratory Test Result","335ea0f9-2a80-4fa2-a2b5-8ae5e3c8a2dc","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_113"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","069015c3-85c8-48e2-8bb7-0153fa9f335f","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_114"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","d6851b49-41bf-4ac1-9d01-6bc55c7ce54b","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_115"
"Biospecimen Type","True","Biospecimen Type","80d1deb6-f409-43a0-a47d-48b8931b8ee2","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_116"
"Laboratory Test Result","True","Laboratory Test Result","d1fb3d10-17e8-4a02-84a8-a211bb916a36","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_117"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","c0578470-76f3-41af-a75f-bcfcfbf09204","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_118"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","6443d929-8b82-4813-87cc-8c7d3bf25ef7","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_119"
"Biospecimen Type","True","Biospecimen Type","226ee532-8428-4f3a-86aa-72babb0881aa","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_120"
"Laboratory Test Result","True","Laboratory Test Result","64b59293-3f3f-4ed5-b054-b789b88b3d11","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_121"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","bdc3775e-0c1c-4f43-83ea-74cf3ff01434","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_122"
"Unit of Concentration","True","Unit of Concentration","837f9ff9-d943-46a6-bfc9-863d00e1cd94","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_123"
"Biospecimen Type","True","Biospecimen Type","5d08f008-f478-4d42-a2e6-21bf8d93c196","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_124"
