"uuid:ID","name","instanceType","text","id"
"52d7a298-55da-4cdc-9265-9f3f0edf0c4d","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier","TransitionRule_1"
"979749f4-1dcc-4f05-aa21-4f80f806b6ff","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities","TransitionRule_2"
"bfe678a0-0afe-4c2f-ae78-8825c0779038","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"11d35efa-3d42-467c-a66f-ecd30b3e59ec","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"d016f7b2-77e3-4f81-b440-c62f5c7bac04","ENCOUNTER_START_RULE_3","TransitionRule","Radomized","TransitionRule_5"
"a74429e8-3f76-4be9-ab25-53a70b492a3a","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment","TransitionRule_6"
"4650fd5c-58ee-4384-92c8-fc73cc306a75","ELEMENT_START_RULE_1","TransitionRule","Informed consent","TransitionRule_7"
"1a3a79a6-bacd-4707-b0bb-e635fe8bc423","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"7baccef4-f5b6-49c9-9ec4-8bb97b7f4026","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose","TransitionRule_9"
"2f85d039-01e3-4802-b627-6fa24bd3ea0e","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"d7507b18-fce4-4017-88c4-3ebc457c2e46","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"7690b808-eedd-44ba-be4a-54f11412c85e","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose","TransitionRule_10"
"be79ae79-d874-4601-b371-4594d5059d9d","ELEMENT_START_RULE_4","TransitionRule","Randomized","TransitionRule_11"
"7f93f4fd-9ffd-4a83-9e3b-7029980dd3aa","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"476d3c4c-73b8-489c-9059-5005564305d1","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
