"code","decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","id"
"C98388","Interventional Study","2ede671b-90ae-465a-bcda-9ce1b48563b7","http://www.cdisc.org","Code","2023-09-29","Code_1"
"C15601","Phase II Trial","487c4ca9-0d87-48fe-8068-073bf6f2f89f","http://www.cdisc.org","Code","2023-09-29","Code_2"
"C132352","Sponsor Approval Date","a834977d-218b-4a62-bec3-be33ab24d4b2","http://www.cdisc.org","Code","2023-09-29","Code_9"
"C68846","Global","b49ced84-1127-4cf9-9be8-e53719f24e7b","http://www.cdisc.org","Code","2023-09-29","Code_10"
"C99904x3","IRB/IEC Feedback","51d827c9-3a78-4d54-943f-b7f251654f19","http://www.cdisc.org","Code","2023-09-29","Code_72"
"C17649","Other","522e40c4-efca-4b9e-ac84-83ddfc5c1ceb","http://www.cdisc.org","Code","2023-09-29","Code_73"
"C41129","Region","f76b2a94-1559-43b8-b0e0-222da32c8f4a","http://www.cdisc.org","Code","2023-09-29","Code_75"
"150","Europe","6bf401de-ac78-439b-a1f0-ddc3f22a80c1","ISO 3166 1 alpha3","Code","2020-08","Code_74"
"PHARMA","Eli Lilly","fcfcfb59-b08d-4c0d-a526-13d87a213fb5","SPONSOR","Code","12","Code_4"
"C70793","Clinical Study Sponsor","4c8ee691-4a17-4e04-a34f-81da161b39c6","http://www.cdisc.org","Code","2023-09-29","Code_76"
"DNK","Denmark","b209a3b2-e76a-41d9-8bd0-dd26af382147","ISO 3166 1 alpha3","Code","2020-08","Code_77"
"C93453","Study Registry","b02fb253-7666-4c94-9fcd-fe78f2d7c8d9","http://www.cdisc.org","Code","2023-09-29","Code_78"
"C49656","Treatment Study","75661906-c0e2-418f-aa3a-6fd9df3a804e","http://www.cdisc.org","Code","2023-09-29","Code_136"
"C49666","Efficacy Study","b3e1f1ba-ddf6-490a-aa90-35836b902fd2","http://www.cdisc.org","Code","2023-09-29","Code_137"
"C49667","Safety Study","76f42d5f-0b18-482d-87f3-af2a98bbe406","http://www.cdisc.org","Code","2023-09-29","Code_138"
"C49663","Pharmacokinetic Study","aa8a9250-2d53-435c-88eb-66b5eabb4a55","http://www.cdisc.org","Code","2023-09-29","Code_139"
"MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","4fa38ada-cda3-473a-8be7-39df09be41fc","SPONSOR","Code","12","Code_133"
"26929004","Alzheimer's disease","7af0dc7e-116a-4d6e-8cfb-2d0694b8f613","SNOMED","Code","January 31, 2018","Code_134"
"C99907x1","EXTENSION","add6ac6d-af0f-423f-8899-652c502d0767","http://www.cdisc.org","Code","2023-09-29","Code_142"
"C98704","ADAPTIVE","128a8d11-ccff-4e2c-81aa-29bc666a66b8","http://www.cdisc.org","Code","2023-09-29","Code_143"
"C82639","Parallel Study","be621f88-301a-4de2-8f2e-307e4baff8e7","http://www.cdisc.org","Code","2023-09-29","Code_140"
"C25716","Visit","88f9cb02-0ea9-4043-9ae4-be589e464797","http://www.cdisc.org","Code","2023-09-29","Code_82"
"C51282","Clinic","70270e51-f6d1-4062-9eb7-fddbfa7cc2cb","http://www.cdisc.org","Code","2023-09-29","Code_83"
"C175574","In Person","6ee78752-65a8-4987-8f84-8876a3fa2792","http://www.cdisc.org","Code","2023-09-29","Code_84"
"C25716","Visit","e565cfd4-476a-4ace-ade4-d3cd34cfe0ab","http://www.cdisc.org","Code","2023-09-29","Code_85"
"C51282","Clinic","e694ec5f-7945-4d37-a1c2-df44388a8630","http://www.cdisc.org","Code","2023-09-29","Code_86"
"C175574","In Person","22c50da6-2782-4b03-a307-60fba2a31b6b","http://www.cdisc.org","Code","2023-09-29","Code_87"
"C25716","Visit","fe68a228-85b4-40f3-92e4-dffe9b3c7ef5","http://www.cdisc.org","Code","2023-09-29","Code_88"
"C51282","Clinic","ebef5e2b-aa7e-4df4-8ca3-028bd8989ad6","http://www.cdisc.org","Code","2023-09-29","Code_89"
"C175574","In Person","9e73853c-c598-4811-be81-5e71ffe30879","http://www.cdisc.org","Code","2023-09-29","Code_90"
"C25716","Visit","a658984b-9afd-4f69-9c5a-37dab4b9ebe9","http://www.cdisc.org","Code","2023-09-29","Code_91"
"C51282","Clinic","86e47c87-5de3-4085-b966-ec16db68e956","http://www.cdisc.org","Code","2023-09-29","Code_92"
"C175574","In Person","f206da7e-b64d-4856-a21a-a5af97ea7b1f","http://www.cdisc.org","Code","2023-09-29","Code_93"
"C25716","Visit","e77a48db-3532-40da-ad39-bdd398c0433b","http://www.cdisc.org","Code","2023-09-29","Code_94"
"C51282","Clinic","37cd80c3-0f8d-4282-8d17-f41935c94e8e","http://www.cdisc.org","Code","2023-09-29","Code_95"
"C175574","In Person","0ac92435-779a-4d70-a787-dd92756a728b","http://www.cdisc.org","Code","2023-09-29","Code_96"
"C25716","Visit","555be287-e145-4213-926c-910264fd2775","http://www.cdisc.org","Code","2023-09-29","Code_97"
"C51282","Clinic","5c3d48ee-3b35-49c8-bf13-ed6c41c47620","http://www.cdisc.org","Code","2023-09-29","Code_98"
"C175574","In Person","5a6086b2-a284-484e-a97d-cc636255d07a","http://www.cdisc.org","Code","2023-09-29","Code_99"
"C25716","Visit","99e4dfe2-4ac5-4ce3-bf31-f01124f299a4","http://www.cdisc.org","Code","2023-09-29","Code_100"
"C51282","Clinic","573c0269-1164-4c62-a639-87688f64f5ee","http://www.cdisc.org","Code","2023-09-29","Code_101"
"C175574","In Person","39753ace-be36-4627-87b2-c42facbcd59e","http://www.cdisc.org","Code","2023-09-29","Code_102"
"C171537","Telephone Call","329bf6f1-fc16-42ad-ab8e-96d6952cf414","http://www.cdisc.org","Code","2023-09-29","Code_103"
"C25716","Visit","b70f4f2d-ae8f-4e6e-8438-7392cc15ff5e","http://www.cdisc.org","Code","2023-09-29","Code_104"
"C51282","Clinic","3c65a74d-ea11-404f-b0d3-1fe335cc22a4","http://www.cdisc.org","Code","2023-09-29","Code_105"
"C175574","In Person","86a2f7bd-d5ad-458d-af7c-5f4a5310b4a5","http://www.cdisc.org","Code","2023-09-29","Code_106"
"C171537","Telephone Call","26970e4e-f873-4934-89c5-9a5929db17ba","http://www.cdisc.org","Code","2023-09-29","Code_107"
"C25716","Visit","8414b9c5-ac95-4cd7-84c3-ab39acdc0240","http://www.cdisc.org","Code","2023-09-29","Code_108"
"C51282","Clinic","39147880-c899-4a51-b387-3b37dc6914c5","http://www.cdisc.org","Code","2023-09-29","Code_109"
"C175574","In Person","e38a2660-9d37-4351-b0ed-7f323e717125","http://www.cdisc.org","Code","2023-09-29","Code_110"
"C171537","Telephone Call","762243a2-450c-41af-b9d1-200bd8ba18d3","http://www.cdisc.org","Code","2023-09-29","Code_111"
"C25716","Visit","b761ce3a-ba83-4669-8cf0-e49f8bd68502","http://www.cdisc.org","Code","2023-09-29","Code_112"
"C51282","Clinic","2c96c5d5-2702-4296-8db6-4002f8189511","http://www.cdisc.org","Code","2023-09-29","Code_113"
"C175574","In Person","ed1e4f28-acdc-447a-a43d-284a443e6e24","http://www.cdisc.org","Code","2023-09-29","Code_114"
"C171537","Telephone Call","06f91f4b-9367-4af6-b4c2-8a54189d1b9e","http://www.cdisc.org","Code","2023-09-29","Code_115"
"C25716","Visit","6e4d09ae-0236-4a85-9135-0a0e22eaa664","http://www.cdisc.org","Code","2023-09-29","Code_116"
"C51282","Clinic","3a3a39f1-35b3-40e6-befa-6b9b8c103059","http://www.cdisc.org","Code","2023-09-29","Code_117"
"C175574","In Person","2655887d-5444-4643-aa11-9d935bf498cc","http://www.cdisc.org","Code","2023-09-29","Code_118"
"C25716","Visit","cacd5955-9c11-4bb0-a06b-492658d48fb7","http://www.cdisc.org","Code","2023-09-29","Code_119"
"C51282","Clinic","2c3e2e1a-892e-4f93-883f-ac9d2ddccba5","http://www.cdisc.org","Code","2023-09-29","Code_120"
"C175574","In Person","c9175067-fd99-4f97-b86e-d577f40cd8cc","http://www.cdisc.org","Code","2023-09-29","Code_121"
"383371000119108","CT of head without contrast","ff5d436f-c61e-40ee-a879-46ebc7b732cc","SNOMED","Code","January 31, 2018","Code_79"
"123","Subject Supine","221f955a-5bba-454c-9974-719f80b5c1fa","SPONSOR","Code","12","Code_80"
"124","Subject Standing","62d7cd9d-5f6c-4651-a361-04462102ad5e","SPONSOR","Code","12","Code_81"
"C173522","Vital Signs Result","8e8f8b9f-0eeb-4ee8-9c21-15abefa6e95d","NCI Thesaurus","Code","","Code_278"
"C42537","Kelvin","365826ed-c568-41f3-ab67-db7b3f29e2ee","http://www.cdisc.org","Code","2023-09-29","Code_279"
"C44276","Unit of Temperature","a55d8136-6f97-4e0e-8957-657ebc3c3a40","NCI Thesaurus","Code","","Code_280"
"C83088","Vital Signs Location","445b9124-aadb-4926-a7d5-85d0ef6f2db8","NCI Thesaurus","Code","","Code_281"
"C174446","Body Temperature","cedeaca0-0795-4dbb-b3b1-81bd5d86609a","NCI Thesaurus","Code","","Code_277"
"C173522","Vital Signs Result","d9975379-ff7c-47d6-b788-452a5c1bda7c","NCI Thesaurus","Code","","Code_283"
"C28252","Kilogram","c3a619bf-17ce-4f99-9a5d-11ea75857156","http://www.cdisc.org","Code","2023-09-29","Code_284"
"C48155","Gram","af2b6582-4a14-43a3-bba9-447b7476725a","http://www.cdisc.org","Code","2023-09-29","Code_285"
"C48531","Pound","0d44736c-ccaa-4723-937e-ea23f0d51cdf","http://www.cdisc.org","Code","2023-09-29","Code_286"
"C48208","Unit of Weight","2c026448-24be-4377-95a4-7a07c568ef4c","NCI Thesaurus","Code","","Code_287"
"C81328","Body Weight","6e16e511-3f66-4091-b37d-e958d431169b","NCI Thesaurus","Code","","Code_282"
"C173522","Vital Signs Result","221d24f3-0de0-413c-8ed8-5c07fe3c9cfd","NCI Thesaurus","Code","","Code_289"
"C49668","Centimeter","7128849c-f565-4890-9ac6-953e56651401","http://www.cdisc.org","Code","2023-09-29","Code_290"
"C48500","Inch","c907677e-f287-4eb5-81cb-486b03f92e36","http://www.cdisc.org","Code","2023-09-29","Code_291"
"C28251","Millimeter","7d15ce80-f60c-49fe-911b-96bcd69a137e","http://www.cdisc.org","Code","2023-09-29","Code_292"
"C41139","Meter","0d169fba-7481-43e6-9348-5b4b6f9513b2","http://www.cdisc.org","Code","2023-09-29","Code_293"
"C168688","Unit of Height","f1032ec2-4244-4ff3-bce6-f2052bf4c0dd","NCI Thesaurus","Code","","Code_294"
"C164634","Body Height","e0d303a9-38f1-4b48-8996-6b480a85442f","NCI Thesaurus","Code","","Code_288"
"C36292","Laboratory Test Result","f6878a07-6b4c-4e75-b3ae-be4f8042a360","NCI Thesaurus","Code","","Code_296"
"C83309","Laboratory Test Fasting Status","938a781c-c246-461b-9e3e-d89d42a50c08","NCI Thesaurus","Code","","Code_297"
"C67365","Unit of Catalytic Activity Concentration","5d0e15f9-fc2d-4f2c-95ca-0643c3da3a7b","NCI Thesaurus","Code","","Code_298"
"C70713","Biospecimen Type","a9deb13b-d609-48ce-9b95-f263ad503898","NCI Thesaurus","Code","","Code_299"
"C64433","Alanine Aminotransferase Measurement","8782409c-7ab1-459b-90d8-f56c7c43b48c","NCI Thesaurus","Code","","Code_295"
"C36292","Laboratory Test Result","99aa2547-7ce2-4733-9173-314bc067c789","NCI Thesaurus","Code","","Code_301"
"C83309","Laboratory Test Fasting Status","683309e1-8a31-480b-9c72-8e56ad428bb7","NCI Thesaurus","Code","","Code_302"
"C48207","Unit of Concentration","4919b78b-7f92-4a35-85ec-3b94d47c1067","NCI Thesaurus","Code","","Code_303"
"C70713","Biospecimen Type","928ef314-760a-4762-b4cc-f817db7ea8b6","NCI Thesaurus","Code","","Code_304"
"C64431","Albumin Measurement","8c0bf09c-8755-4494-938c-c286711c3b5b","NCI Thesaurus","Code","","Code_300"
"C36292","Laboratory Test Result","37944656-0b31-4531-a946-c9569916bc67","NCI Thesaurus","Code","","Code_306"
"C83309","Laboratory Test Fasting Status","74c2e977-6bab-4ab3-8db1-2f33bc4c6efb","NCI Thesaurus","Code","","Code_307"
"C67365","Unit of Catalytic Activity Concentration","dcbcb5f9-603b-4ee4-9c4a-1732c8033f99","NCI Thesaurus","Code","","Code_308"
"C70713","Biospecimen Type","6c68cf21-a815-46bd-b16f-6523b7f95fc7","NCI Thesaurus","Code","","Code_309"
"C64432","Alkaline Phosphatase Measurement","6776f398-509e-4a87-acaf-8b7de91ccbc1","NCI Thesaurus","Code","","Code_305"
"C36292","Laboratory Test Result","936e2d34-0acb-490e-aa73-19ac24d301d7","NCI Thesaurus","Code","","Code_311"
"C83309","Laboratory Test Fasting Status","774e41e7-8a0c-46f3-b04c-38780fb53e99","NCI Thesaurus","Code","","Code_312"
"C67365","Unit of Catalytic Activity Concentration","3fa4b46b-1d3c-4ea3-bf08-c13f5ae3636f","NCI Thesaurus","Code","","Code_313"
"C70713","Biospecimen Type","25715d29-7c55-4c2b-87b3-f254cb675c10","NCI Thesaurus","Code","","Code_314"
"C64467","Aspartate Aminotransferase Measurement","f61b46a8-f411-4ef7-98b8-a6692f78b9df","NCI Thesaurus","Code","","Code_310"
