"description","label","uuid:ID","name","instanceType","id"
"Screening encounter","Screening 1","ea0c4dc2-fa82-4816-9aea-473650806197","E1","Encounter","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","6fa54819-e799-4a3e-8a7c-e0ed0828fd57","E2","Encounter","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","2af3893d-8f34-4f29-bef4-3a2fc8da9cf2","E3","Encounter","Encounter_3"
"Day 14","Week 2","817aec2d-2f58-4a55-bdc3-a1bfd54c50ce","E4","Encounter","Encounter_4"
"Day 28","Week 4","939fe605-7b81-4ba7-abf2-c4b9bc1d00a8","E5","Encounter","Encounter_5"
"Day 42","Week 6","fdf4b6f3-a65a-4866-beea-9e01456fc5a1","E7","Encounter","Encounter_6"
"Day 56","Week 8","3ba02440-204e-41ae-a706-cd6b70f73407","E8","Encounter","Encounter_7"
"Day 84","Week 12","76e2e692-25f8-4cd8-a1b4-2523d0c6a842","E9","Encounter","Encounter_8"
"Day 112","Week 16","15c17217-5724-4fcc-b0e6-d4088967a83d","E10","Encounter","Encounter_9"
"Day 140","Week 20","b9adccc7-a69f-47eb-8083-69e3a72f773c","E11","Encounter","Encounter_10"
"Day 168","Week 24","63d9f8c1-e429-4db4-aea7-c2feaf151632","E12","Encounter","Encounter_11"
"Day 182","Week 26","ee7efb7f-7399-4adb-b2de-d616aa99a915","E13","Encounter","Encounter_12"
