"sectionNumber","name","uuid:ID","sectionTitle","instanceType","text","id"
"0","ROOT","68d35940-f27f-49c8-8723-53739a619fed","Root","NarrativeContent","","NarrativeContent_1"
"0","SECTION 0","d2283e90-cff1-45c7-b424-e27ea30624de","TITLE PAGE","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2"
"1","SECTION 1","ff1a9239-d5ad-4480-9a4b-03e0242e47a8","PROTOCOL SUMMARY","NarrativeContent","<div></div>","NarrativeContent_3"
"1.1","SECTION 1.1","8b550b04-9bbf-44e6-aa82-d8fc3c1e419c","Protocol Synopsis","NarrativeContent","<div></div>","NarrativeContent_4"
"1.2","SECTION 1.2","170744fc-c555-4fc8-9d7e-1ace0941f8cf","Trial Schema","NarrativeContent","<div></div>","NarrativeContent_5"
"1.3","SECTION 1.3","333bc20f-7597-4f80-b6f0-05f1a3cc761c","Schedule of Activities","NarrativeContent","<div></div>","NarrativeContent_6"
"2","SECTION 2","994278a5-2207-42ea-a6e4-11444f166bc9","INTRODUCTION","NarrativeContent","<div></div>","NarrativeContent_7"
"2.1","SECTION 2.1","2e45412c-c008-4aa6-ba1d-8f66fc83d44c","Purpose of Trial","NarrativeContent","<div></div>","NarrativeContent_8"
"2.2","SECTION 2.2","daf6f3ae-0fdd-45f1-ab1a-e6555643e2c8","Summary of Benefits and Risks","NarrativeContent","<div></div>","NarrativeContent_9"
"3","SECTION 3","e9dbd48b-6a24-4573-a3e1-06f04bad4b33","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent","<div></div>","NarrativeContent_10"
"3.1","SECTION 3.1","2f076b80-495e-45eb-9a56-af4de5be094c","Primary Objectives","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11"
"4","SECTION 4","b93671e1-ba4d-43bc-b061-42fa715b392f","TRIAL DESIGN","NarrativeContent","<div></div>","NarrativeContent_12"
"4.1","SECTION 4.1","a1c6feee-e31d-4662-9a45-2d842ccacb89","Description of Trial Design","NarrativeContent","<div></div>","NarrativeContent_13"
"4.1.1","SECTION 4.1.1","17abf61f-daa9-432c-ba93-4e7902178ecf","Participant Input into Design","NarrativeContent","<div></div>","NarrativeContent_14"
"4.2","SECTION 4.2","d642eef3-fa4d-461a-b51a-1ebd4629813a","Rationale for Trial Design","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15"
"4.2.1","SECTION 4.2.1","384e0522-2945-40f4-90fd-19d512a6e6a4","Rationale for Comparator","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16"
"4.2.2","SECTION 4.2.2","33484ec6-0b01-4afc-bc77-f5557726caea","Rationale for Adaptive or Novel Trial Design","NarrativeContent","<div></div>","NarrativeContent_17"
"4.2.3","SECTION 4.2.3","cc739e9f-c56a-40db-b2d7-2dc1bd5e41bf","Other Trial Design Considerations","NarrativeContent","<div></div>","NarrativeContent_18"
"4.3","SECTION 4.3","9e857e61-c317-4f53-b9a6-d1ac0b8edf9e","Access to Trial Intervention After End of Trial","NarrativeContent","<div></div>","NarrativeContent_19"
"4.4","SECTION 4.4","69f90ff3-155b-4a2f-ab7d-e0aa7ba2ff8a","Start of Trial and End of Trial","NarrativeContent","<div></div>","NarrativeContent_20"
"5","SECTION 5","dabd9107-3fab-4418-8a0f-2bf561d18461","TRIAL POPULATION","NarrativeContent","<div></div>","NarrativeContent_21"
"5.1","SECTION 5.1","6b6cbfa4-6a65-41c5-9791-746f832da93d","Selection of Trial Population","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22"
"5.2","SECTION 5.2","7b123322-2648-4173-a0bb-169a8dc9344d","Rationale for Trial Population","NarrativeContent","<div></div>","NarrativeContent_23"
"5.3","SECTION 5.3","ee3d4166-166f-4e01-b3f9-328bf1d99ec7","Inclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24"
"5.4","SECTION 5.4","f4b609c9-bc72-4c12-9c49-a301a0566353","Exclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25"
"5.5","SECTION 5.5","ff03d4e0-9369-4948-9c12-3512e8d3c544","Lifestyle Considerations","NarrativeContent","<div></div>","NarrativeContent_26"
"5.5.1","SECTION 5.5.1","60c18b65-cfd4-45c9-8dd4-04a3e7069a49","Meals and Dietary Restrictions","NarrativeContent","<div></div>","NarrativeContent_27"
"5.5.2","SECTION 5.5.2","043200d8-6ea2-470f-aa85-798c8ce804c6","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent","<div><p>Not applicable</p></div>","NarrativeContent_28"
"5.5.3","SECTION 5.5.3","eaa29bf8-86f9-4872-8570-5c88dd4347bd","Physical Activity","NarrativeContent","<div></div>","NarrativeContent_29"
"5.5.4","SECTION 5.5.4","a3baf9ca-4bd9-4d7d-93f1-d0502c48a34f","Other Activity","NarrativeContent","<div></div>","NarrativeContent_30"
"5.6","SECTION 5.6","0d13b537-0023-4581-9381-b730debcc882","Screen Failures","NarrativeContent","<div></div>","NarrativeContent_31"
"6","SECTION 6","09bdd7eb-5222-4468-86b5-6c1028c850da","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent","<div></div>","NarrativeContent_32"
"6.1","SECTION 6.1","9a8b79f3-7fd6-4874-bfb8-70a9ba08e2df","Description of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_33"
"6.2","SECTION 6.2","417029d8-2270-4ca8-a092-54ee383b88b0","Rationale for Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_34"
"6.3","SECTION 6.3","16c38714-2443-4d9b-b9a5-a036fdad2d10","Dosing and Administration","NarrativeContent","<div></div>","NarrativeContent_35"
"6.3.1","SECTION 6.3.1","cd5f5009-d35a-4b8d-9b27-5560d7ce6117","Trial Intervention Dose Modification","NarrativeContent","<div></div>","NarrativeContent_36"
"6.4","SECTION 6.4","fd3da6bf-7128-455d-bce0-4276f5db4e0c","Treatment of Overdose","NarrativeContent","<div></div>","NarrativeContent_37"
"6.5","SECTION 6.5","b47c0d0b-cae3-47f7-acec-a892d0be18df","Preparation, Handling, Storage and Accountability","NarrativeContent","<div></div>","NarrativeContent_38"
"6.5.1","SECTION 6.5.1","8a747bac-28c5-4188-814d-76d9e175efd7","Preparation of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_39"
"6.5.2","SECTION 6.5.2","a1589734-cfb4-4ce9-a5ad-a18ab310eb78","Handling and Storage of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_40"
"6.5.3","SECTION 6.5.3","b2617a2c-cf69-408b-95d5-1e7de6d9c889","Accountability of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_41"
"6.6","SECTION 6.6","f8c167c5-77fa-4945-b530-174cf3887eee","Participant Assignment, Randomisation and Blinding","NarrativeContent","<div></div>","NarrativeContent_42"
"6.6.1","SECTION 6.6.1","7fb55268-fd57-4fab-afaa-b9ad62c3f511","Participant Assignment","NarrativeContent","<div></div>","NarrativeContent_43"
"6.6.2","SECTION 6.6.2","28c2ebca-65ab-4bc9-a426-41c69115b1e8","Randomisation","NarrativeContent","<div></div>","NarrativeContent_44"
