"label","instanceType","name","uuid:ID","description","id"
"Informed consent","Activity","Informed consent","3cd53162-8000-417b-8255-71350bee86e7","","Activity_1"
"Inclusion and exclusion criteria","Activity","Inclusion/exclusion criteria","5e74e43a-f92e-4edc-ad1c-596c433c0145","","Activity_2"
"Patient number assigned","Activity","Patient number assigned","b5405f8c-9452-476d-9d6e-eda39a9f4fca","","Activity_3"
"Demographics","Activity","Demographics","167ecbf6-5b13-44af-bf66-5e9a0fbb1268","","Activity_4"
"Hachinski Ischemic Scale","Activity","Hachinski","1ab34286-10a8-4286-a59c-23b71c043dcb","","Activity_5"
"MMSE","Activity","MMSE","477f9dbe-e132-46d8-b454-a8dd8dfa2579","","Activity_6"
"Physical examination","Activity","Physical examination","6ddf483e-46f7-4c6e-ac25-0e8992ab0b22","","Activity_7"
"Medical history","Activity","Medical history","8eb7b3d3-1032-442c-b996-e6f90399a3d8","","Activity_8"
"Habits","Activity","Habits","0589fafc-aef2-46b1-ada6-d4ee75b745c2","","Activity_9"
"Chest X-ray","Activity","Chest X-ray","64a22e98-c077-44f0-978f-45ea72b031c4","","Activity_10"
"Apo E genotyping","Activity","Apo E genotyping","f0b18c1f-d7d2-455d-98d6-3e4ddce6f961","","Activity_11"
"Patient randomised","Activity","Patient randomised","3c9babd1-5844-43ba-b022-07ea883b14e9","","Activity_12"
"Vital Signs and Temperature","Activity","Vital signs / Temperature","cfab579c-6e93-4921-9a3b-bac46cb3d12d","","Activity_13"
"Ambulatory ECG placed","Activity","Ambulatory ECG placed","4b70fa78-a4fd-4c61-ba90-5d0ed88a347c","","Activity_14"
"Ambulatory ECG removed","Activity","Ambulatory ECG removed","41278c37-67fb-4ae8-8eb4-aaca78814371","","Activity_15"
"ECG","Activity","ECG","83190858-84bb-4e43-a431-3c3c612aab7c","","Activity_16"
"Placebo TTS test","Activity","Placebo TTS test","8f223015-45b3-4ceb-9e07-b71e39397369","","Activity_17"
"CT scan","Activity","CT scan","37bb676b-e4ab-48e3-951b-c810a0865276","","Activity_18"
"Concomitant medications","Activity","Concomitant medications","cd4f991a-fa9a-41dd-b07e-87835af38fce","","Activity_19"
"Hematology","Activity","Hematology","84c17714-f0d7-411b-9a79-e00bf80c4177","","Activity_20"
"Chemistry","Activity","Chemistry","9752eb95-95da-431d-9d53-42068798d970","","Activity_21"
"Uninalysis","Activity","Uninalysis","29a70543-5d2f-4c16-8705-0b2f2eca21d1","","Activity_22"
"Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","7f8c59c5-fcd2-40b7-a4f5-a9fcba256955","","Activity_23"
"Hemoglobin A1C","Activity","Hemoglobin A1C","e9eb6fa4-7451-4a00-9666-3276598c5893","","Activity_24"
"Study drug record , Medications dispensed, Medications returned","Activity","Study drug","c55e1e4b-7bf4-4a2c-a7ac-0b3876a7d62f","","Activity_25"
"TTS Acceptability Survey","Activity","TTS Acceptability Survey","a99cbcee-8e25-453d-9356-8b1224c3477b","","Activity_26"
"ADAS-Cog","Activity","ADAS-Cog","7845b33e-50dd-45dc-943b-cc77ba032919","","Activity_27"
"CIBIC+","Activity","CIBIC+","13bc0b09-3d93-4ad5-8ce3-667078707944","","Activity_28"
"DAD","Activity","DAD","9d07ecb4-fd50-486c-9c7a-bf892e723041","","Activity_29"
"NPI-X","Activity","NPI-X","b97120fc-cb42-446b-bac4-4a07fa103996","","Activity_30"
"Adverse events","Activity","Adverse events","81d401c0-e06f-4c41-8e67-65caabc5a6e7","","Activity_31"
"Check adverse events","Activity","Check adverse events","f00ccc25-58f9-4b12-a520-344e617d0dd3","","Activity_32"
"Subject supine","Activity","Supine","59277427-b1bc-47e1-a0b1-567f376ddfc1","","Activity_33"
"Vital signs while supine","Activity","Vital Signs Supine","2739da22-5a46-4761-a7b3-442994ba75e2","","Activity_34"
"Subject Standing","Activity","Stand","2dbb95c5-a15c-4f16-8f20-05391e7616b0","","Activity_35"
"Vital signs while standing","Activity","Vital Signs Standing","4b71d1d8-42eb-46e6-ac51-56370a990451","","Activity_36"
