"reference","synonyms","label","instanceType","name","uuid:ID","id"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","Sex","BiomedicalConcept","Sex","aef14850-11ea-4e80-96a3-78ef88faab01","BiomedicalConcept_20"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","Race","BiomedicalConcept","Race","455ceb02-fc59-45d0-9ec5-15db5b489f01","BiomedicalConcept_21"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept","Temperature","8a5d731f-c7bb-47f7-9272-a4bab2ac604b","BiomedicalConcept_22"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","Weight","BiomedicalConcept","Weight","90f7f83e-53d4-4a8a-aa0a-82d809b94b0d","BiomedicalConcept_23"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","Height","BiomedicalConcept","Height","4b314ffe-6889-4c73-8ea5-b6817d1b9f7a","BiomedicalConcept_24"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","9d33f399-e6ff-4746-a140-6737de6fb01d","BiomedicalConcept_25"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","4d43c0e3-52a4-4628-a625-90fdf4c79d8f","BiomedicalConcept_26"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","2a675573-be62-4680-ab2b-e102ef393ff6","BiomedicalConcept_27"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","38316a7d-fe3c-4829-a292-fdd53feee641","BiomedicalConcept_28"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","2c2c63d7-5da3-4223-98ef-342d85cc627f","BiomedicalConcept_29"
