"label","instanceType","name","uuid:ID","description","id"
"Screen One","ScheduledActivityInstance","SCREEN1","f95df7a3-6255-4357-bdce-169f39d21e8b","-","ScheduledActivityInstance_9"
"Screen Two","ScheduledActivityInstance","SCREEN2","8063f5dd-f6ec-49eb-89a0-9e17d663aa5b","-","ScheduledActivityInstance_10"
"Dose","ScheduledActivityInstance","DOSE","f2b420e4-4e38-42b8-820d-107724edf89d","-","ScheduledActivityInstance_11"
"Week 2","ScheduledActivityInstance","WK2","23ff57b1-2525-485f-8cdb-34d5bdb34c86","-","ScheduledActivityInstance_12"
"Week 4","ScheduledActivityInstance","WK4","0d1b2e8f-4cb3-4e8e-8ad6-5e397af44e87","-","ScheduledActivityInstance_13"
"Week 6","ScheduledActivityInstance","WK6","ab4e7605-7aa2-47e0-8919-24024f104b64","-","ScheduledActivityInstance_14"
"Week 8","ScheduledActivityInstance","WK8","2e3241d5-2b84-44df-b0b9-05a854b6d437","-","ScheduledActivityInstance_15"
"Week NPI","ScheduledActivityInstance","WK8N","e625ec00-be80-4bc7-b8e1-dcb19bdba895","-","ScheduledActivityInstance_16"
"Week 12","ScheduledActivityInstance","WK12","4b700b6a-b8a5-4afe-9b02-a0cc29f112cf","-","ScheduledActivityInstance_17"
"Week 12 NPI","ScheduledActivityInstance","WK12N","5634011d-bc24-47ab-8cba-83461641de8e","-","ScheduledActivityInstance_18"
"Week 16","ScheduledActivityInstance","WK16","fb1ac2de-57b7-4cd0-86e4-4d2ac0f14647","-","ScheduledActivityInstance_19"
"Week 16 NPI","ScheduledActivityInstance","WK16N","d4a33df5-d84b-425d-8ba6-ccf8255fd61e","-","ScheduledActivityInstance_20"
"Week 20","ScheduledActivityInstance","WK20","48a67635-a5fb-4965-b954-33b929a45203","-","ScheduledActivityInstance_21"
"Week 20 NPI","ScheduledActivityInstance","WK20N","10e1dd89-c74c-4734-aef4-ab2f492b65df","-","ScheduledActivityInstance_22"
"Week 24","ScheduledActivityInstance","WK24","e1660ad1-ae70-432a-8ee2-ffbb10435754","-","ScheduledActivityInstance_23"
"Week 26","ScheduledActivityInstance","WK26","e58b611f-cc67-4cd1-a6f0-f6b1a9a4cf85","-","ScheduledActivityInstance_24"
"Adevers Event","ScheduledActivityInstance","AE","91b61c8f-9c49-44bc-930d-c303edd48ac4","-","ScheduledActivityInstance_1"
"Early Termination","ScheduledActivityInstance","ET","c318d310-83ff-4365-ab59-9c5380b1a1cc","-","ScheduledActivityInstance_2"
"5 minute supine","ScheduledActivityInstance","VS_5MIN","24c42c2b-26da-432a-ac31-251519bd8b02","","ScheduledActivityInstance_3"
"Vital signs supine","ScheduledActivityInstance","VS_SUPINE","ff28ee90-74e2-49e2-8156-9eeff750f15c","","ScheduledActivityInstance_4"
"1 minute standing","ScheduledActivityInstance","VS_1MIN","3a4e4081-ffa9-44b4-8cd2-11521e7eaa83","","ScheduledActivityInstance_5"
"Vital signs after 1 min standing","ScheduledActivityInstance","VS_STAND1","cedce3cc-5160-40fa-8e22-a508f6883a31","","ScheduledActivityInstance_6"
"2 minute standing","ScheduledActivityInstance","VS_2MIN","16049600-0aa7-47f4-a94e-0e30b292eaf6","","ScheduledActivityInstance_7"
"Vital signs after 3 min standing","ScheduledActivityInstance","VS_STAND3","b6cd4703-3c4f-4c59-ab63-b38d07a3ed80","","ScheduledActivityInstance_8"
