"code","codeSystem","codeSystemVersion","instanceType","uuid:ID","id","decode"
"C98388","http://www.cdisc.org","2023-12-15","Code","14fcb902-fd64-4e08-b57b-cd94c717fd85","Code_1","Interventional Study"
"C15601","http://www.cdisc.org","2023-12-15","Code","468cde4d-48c0-4bc9-92b8-408318e16ed6","Code_2","Phase II Trial"
"C132352","http://www.cdisc.org","2023-12-15","Code","34c9a555-2033-4ee0-ac26-6f5bb8971e75","Code_9","Sponsor Approval Date"
"C68846","http://www.cdisc.org","2023-12-15","Code","7e328b2f-d747-469e-bc04-80f0e9486e23","Code_10","Global"
"C99904x3","http://www.cdisc.org","2023-12-15","Code","0891ca73-888d-44bd-beb7-8d56240ec0b8","Code_72","IRB/IEC Feedback"
"C17649","http://www.cdisc.org","2023-12-15","Code","b79d38e8-73b9-4ae2-80d0-5bf3e76cbf74","Code_73","Other"
"C41129","http://www.cdisc.org","2023-12-15","Code","7c2e07d2-5885-4c33-b43a-73b0848490cf","Code_75","Region"
"150","ISO 3166 1 alpha3","2020-08","Code","eaa4cc3b-6132-4c93-97b2-16bf9ec45187","Code_74","Europe"
"PHARMA","SPONSOR","12","Code","90e70619-4068-41ae-b42e-e22d5e55ee50","Code_4","Eli Lilly"
"C70793","http://www.cdisc.org","2023-12-15","Code","76f820ee-1262-42b2-aecf-38cdaaaf39da","Code_76","Clinical Study Sponsor"
"USA","ISO 3166 1 alpha3","2020-08","Code","e4ace287-5501-4b25-8229-1aea4f3d103e","Code_77","United States of America"
"C93453","http://www.cdisc.org","2023-12-15","Code","fd81a03c-7954-42fa-bbdd-3f802e488abe","Code_78","Study Registry"
"USA","ISO 3166 1 alpha3","2020-08","Code","275baba8-2e68-4480-8e3b-4b9cc0f03c26","Code_79","United States of America"
"C49656","http://www.cdisc.org","2023-12-15","Code","2e1a5537-453c-407d-b4f2-96b1f0f8a557","Code_137","Treatment Study"
"C49666","http://www.cdisc.org","2023-12-15","Code","650e9625-52d5-4427-9725-ceedabe80f7c","Code_138","Efficacy Study"
"C49667","http://www.cdisc.org","2023-12-15","Code","4e970ff1-ab32-4a9d-95f4-e8e236bb5a00","Code_139","Safety Study"
"C49663","http://www.cdisc.org","2023-12-15","Code","f6aae379-747d-4424-8841-7a78ad4fe381","Code_140","Pharmacokinetic Study"
"MILD_MOD_ALZ","SPONSOR","12","Code","9adff569-cb54-4ad9-8703-9f09c6fb720c","Code_134","Mild to Moderate Alzheimer's Disease"
"26929004","SNOMED","January 31, 2018","Code","9ccc32b7-60fc-441d-8ee8-3bf70813b815","Code_135","Alzheimer's disease"
"C99907x1","http://www.cdisc.org","2023-12-15","Code","a1a6ea28-247e-4195-9245-87ecfd517a37","Code_143","EXTENSION"
"C98704","http://www.cdisc.org","2023-12-15","Code","d6eab5d4-600f-45d8-8820-4e293d74aaff","Code_144","ADAPTIVE"
"C82639","http://www.cdisc.org","2023-12-15","Code","c6c088c2-22d4-424b-bac2-a185b8a55567","Code_141","Parallel Study"
"C25716","http://www.cdisc.org","2023-12-15","Code","e6f68edd-06d4-4f15-9a1d-31a64fc8031d","Code_83","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","c8b0e7cd-ffaf-47f4-b9ed-d198b7f8bc42","Code_84","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","6ca59d07-b998-4cc5-bda0-edd71a712036","Code_85","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","b11955c4-c607-4fa1-a48c-f619723f1b3d","Code_86","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","a0617624-e3c9-4e32-9ce3-ed2033222ecd","Code_87","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","d44b4629-dc3f-409c-859b-a995417a7d9d","Code_88","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","d5aad9c0-7044-44b1-a262-cca5d63db98c","Code_89","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","13478712-8492-489e-88ce-2e8d243fa57e","Code_90","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","57e145a1-e1c6-4739-8459-c9d573b335bd","Code_91","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","8b12a721-74a0-4024-b113-8d58d66570e8","Code_92","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","4b795eb7-aaee-42c0-bd59-08cddbe0ccac","Code_93","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","8e0f09db-0a78-418e-bbfb-0b0810cdeeba","Code_94","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","d873a1b6-c1cf-4566-add8-83083e9809d9","Code_95","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","4488404a-06d8-4d32-84dc-ac7c9d4cdd0b","Code_96","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","c76a41f7-b0e2-4429-9a90-cd3b21ba09ba","Code_97","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","969e026b-e787-4a81-8bb6-cdbd71a87ee4","Code_98","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","65dd2276-52f6-4cdc-a05a-92b7c0e2aae5","Code_99","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","4da52514-481d-400c-ac85-e8e84fd7c231","Code_100","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","06eff79c-a603-4ead-96cb-3e23eeefdec4","Code_101","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","c92a537d-4cfa-4f00-855c-81827706155d","Code_102","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","15ee592a-5fbc-4ae7-ba8f-b808964f462d","Code_103","In Person"
"C171537","http://www.cdisc.org","2023-12-15","Code","907aa631-ec62-433b-95e8-c74819e907a6","Code_104","Telephone Call"
"C25716","http://www.cdisc.org","2023-12-15","Code","59957250-1a3f-4b5b-a211-7e3e7e1d4958","Code_105","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","ec8b325e-188a-407e-9a31-2eb02f8f8b9f","Code_106","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","30741073-afe9-448d-bfa5-4017b08cae64","Code_107","In Person"
"C171537","http://www.cdisc.org","2023-12-15","Code","c677986c-b4c6-4dc9-af5d-cc72a4e2ee4f","Code_108","Telephone Call"
"C25716","http://www.cdisc.org","2023-12-15","Code","56734e65-c87b-4212-9089-7000db50a8b5","Code_109","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","66746813-be02-44c0-827b-0aad97da4d7e","Code_110","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","93a32aae-457f-4a38-b2b5-3fdf852b38f0","Code_111","In Person"
"C171537","http://www.cdisc.org","2023-12-15","Code","d1d5d875-8484-4bec-abdf-27e0775e1822","Code_112","Telephone Call"
"C25716","http://www.cdisc.org","2023-12-15","Code","9ad6d415-0cf6-4eae-93ae-d5e0a02ab83a","Code_113","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","7b6e09b7-fff2-460c-9082-0b8e4e84f300","Code_114","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","b0eaf894-ab66-4ed4-b402-6d15730d6ddd","Code_115","In Person"
"C171537","http://www.cdisc.org","2023-12-15","Code","46ab6b02-a3b5-4a72-9431-8933a321bd71","Code_116","Telephone Call"
"C25716","http://www.cdisc.org","2023-12-15","Code","5a216c81-4dc9-4495-9c0b-795e228b78fd","Code_117","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","f3ea23d4-b309-405a-89d7-6bea0696f245","Code_118","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","2caa74d0-faf1-4f41-bc13-e1bd8250b294","Code_119","In Person"
"C25716","http://www.cdisc.org","2023-12-15","Code","1deb5d90-9167-441a-8417-1c24c3b4c07d","Code_120","Visit"
"C51282","http://www.cdisc.org","2023-12-15","Code","51f39cdb-302e-423b-94b3-bf393d3e5519","Code_121","Clinic"
"C175574","http://www.cdisc.org","2023-12-15","Code","0a7a470d-4333-47ea-a9f1-9b2a56985f8e","Code_122","In Person"
"383371000119108","SNOMED","January 31, 2018","Code","2ca4e171-3f1e-435c-8c73-dc63e5ad028f","Code_80","CT of head without contrast"
"123","SPONSOR","12","Code","14a20811-d22c-4b54-a93a-fdf17bce7490","Code_81","Subject Supine"
"124","SPONSOR","12","Code","32315381-fcbd-43c1-8463-17fb0f17387e","Code_82","Subject Standing"
"C20197","http://www.cdisc.org","2023-12-15","Code","e699bea6-55e8-424f-a268-b8ffebb3446b","Code_429","Male"
"C16576","http://www.cdisc.org","2023-12-15","Code","d65bd976-3626-4dd3-990d-f3bf5793eec2","Code_430","Female"
"C28421","http://www.cdisc.org","2023-12-15","Code","0654e63d-d693-4dfc-8243-e43978d8c5ca","Code_431","Sex"
"C28421","http://www.cdisc.org","2023-12-15","Code","fab1b157-4b1b-4205-ac85-3f3d524f2907","Code_432","Sex"
