"purpose","text","label","instanceType","name","uuid:ID","description","id"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","END1","e23b0a96-1f25-4ce0-a2e1-6228dc71ed7a","","Endpoint_1"
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","END2","f53a7b57-fd1b-4925-8c05-a3f7fac8f867","","Endpoint_2"
"","Adverse events","","Endpoint","END3","08662c4e-7384-43aa-a52f-c9a0a8e7cee6","","Endpoint_3"
"","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","END4","a1aa0483-123a-48d6-b1d4-d6ae15f842de","","Endpoint_4"
"","Laboratory evaluations (Change from Baseline)","","Endpoint","END5","0222b59a-7608-418c-b9e9-0faccb01e676","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","END6","968459ea-9536-47af-9dda-70d0e6ab6ba5","","Endpoint_6"
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","END7","1b4e2a2e-1c9a-49c8-bea3-b630b1b49c74","","Endpoint_7"
"","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","END8","4ace0dc5-30b5-4cdd-a4f6-e136de8b601b","","Endpoint_8"
"","*** To be determined from protocol ***","","Endpoint","END9","4e72c465-c394-4ab2-892e-8f4f9f335bc3","","Endpoint_9"
"","*** To be determined from protocol ***","","Endpoint","END10","a16bc532-6f15-428d-857c-1deb7faea618","","Endpoint_10"
"","*** To be determined from protocol ***","","Endpoint","END11","fd38f5f9-a9a4-49c3-b7c0-a90e4868cfed","","Endpoint_11"
