"value","valueLabel","windowLower","windowUpper","label","instanceType","name","uuid:ID","description","windowLabel","id"
"P2W","2 weeks","","","Screening","Timing","TIM1","38e669b9-1b96-483c-9bae-cd6c04055292","Screening timing","","Timing_1"
"P2D","2 days","PT4H","PT0H","Pre dose","Timing","TIM2","1f19ee5f-078b-46eb-baf9-35b3d3693cfe","Pre dose timing","-4..0 hours","Timing_2"
"P1D","1 Day","","","Dosing","Timing","TIM3","b1a8cde3-595e-4aa5-9377-00bd943dd813","Dosing anchor","","Timing_3"
"P2W","2 Weeks","P3D","P3D","Week 2","Timing","TIM4","188df71f-02a0-4b31-a112-1bb9d8180174","Week 2 timing","-3..3 days","Timing_4"
"P4W","4 Weeks","P3D","P3D","Week 4","Timing","TIM5","2e16bb66-26b3-4c87-a9a6-9befe856fb4c","Week 4 timing","-3..3 days","Timing_5"
"P6W","6 Weeks","P3D","P3D","Week 6","Timing","TIM6","28f0e858-7197-46aa-af63-a14da7e170f1","Week 6 timing","-3..3 days","Timing_6"
"P8W","8 Weeks","P3D","P3D","Week 8","Timing","TIM7","1e93fd73-46ec-442a-a4a0-0b82d7ae9610","Week 8 timing","-3..3 days","Timing_7"
"P12W","12 Weeks","P4D","P4D","Week 12","Timing","TIM9","639276b6-2bb6-4426-809d-2c9bb50c25e5","Week 12 timing","-4..4 days","Timing_9"
"P16W","16 Weeks","P4D","P4D","Week 16","Timing","TIM11","26d8b3e9-308b-4f51-8673-3d50ee35f12e","Week 16 timing","-4..4 days","Timing_11"
"P20W","20 Weeks","P4D","P4D","Week 20","Timing","TIM13","7f137f9c-3cb3-4fb8-bec4-a6d266c583f9","Week 20 timing","-4..4 days","Timing_13"
"P24W","24 Weeks","P4D","P4D","Week 24","Timing","TIM15","3fd0eec0-f0e9-4243-b960-68da4b15d102","Week 24 timing","-4..4 days","Timing_15"
"P26W","26 Weeks","P3D","P3D","Week 26","Timing","TIM16","7caf642c-9c8c-40e6-9844-88a9029bf2ec","Week 26 timing","-3..3 days","Timing_16"
"P2W","2 Weeks","","","Week 8 Home","Timing","TIM8","3fd4ad91-595e-47ab-944c-dd44ac943bbe","Week 8 at home timing","","Timing_8"
"P2W","2 Weeks","","","Week 12 Home","Timing","TIM10","69580193-863e-4efc-95e4-222e106b8fe9","Week 12 at home timing","","Timing_10"
"P2W","2 Weeks","","","Week 16 Home","Timing","TIM12","8801e069-cd8d-4720-971e-d6f94e66dd09","Week 16 at home timing","","Timing_12"
"P2W","2 Weeks","","","Week 20 Home","Timing","TIM14","4c223438-f550-4601-aff5-2f091fe85323","Week 20 at home timing","","Timing_14"
"P1D","1 Day","","","Adverse Event","Timing","TIM17","eaeefdc2-5e6a-4e1e-805e-8beaf88c742e","Adverse Event","","Timing_17"
"P1D","1 Day","","","Early Termination","Timing","TIM18","13bf2965-7528-43f4-aa92-274da9512b1c","Early Termination","","Timing_18"
"PT0M","0 mins","","","Supine","Timing","TIM19","b5ebbaf3-8360-4cc9-8176-cbd5d4bc44c3","Supine","","Timing_19"
"PT5M","5 mins","","","VS while supine","Timing","TIM20","7fa356b9-b65c-47eb-9ac6-65ff54254f16","VS while supine","","Timing_20"
"PT0M","0 min","","","Standing","Timing","TIM21","7a32d643-a7d8-4114-9d66-8c64b9c9594a","Standing","","Timing_21"
"PT1M","1 min","","","VS while standing","Timing","TIM22","118cbf03-f926-484d-96a3-6e002eabe2d2","VS while standing","","Timing_22"
"PT0M","0 min","","","Standing","Timing","TIM23","50db5b9a-0919-46d7-a0cc-7bcad974a80d","Standing","","Timing_23"
"PT2M","2 min","","","VS while standing","Timing","TIM24","2f8b6ef7-7bf2-49a0-982e-82122fef4d12","VS while standing","","Timing_24"
