"uuid:ID","instanceType","label","id","name","synonyms","reference"
"79d97f1a-23e8-4688-8bec-1d19f0b75fad","BiomedicalConcept","Sex","BiomedicalConcept_20","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"54946018-e7c2-4cfc-a64e-f938ba77b77f","BiomedicalConcept","Race","BiomedicalConcept_21","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"d768501a-c729-4f56-9d4d-b5b5d13a2830","BiomedicalConcept","Temperature","BiomedicalConcept_22","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"3c143947-6450-4d0e-9067-60db600c60a9","BiomedicalConcept","Weight","BiomedicalConcept_23","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"31674038-c748-49b8-af81-7b63546ad739","BiomedicalConcept","Height","BiomedicalConcept_24","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"70f657ad-6e66-4e2a-87e1-12e390306bab","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"9d52e6eb-11d7-49ca-9b02-108961bf35c5","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_26","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"197a87dd-a0a6-402a-b745-489c81e54ea5","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"da0888d9-f876-49a9-8807-5e040d10c884","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"4fd06be7-b833-4608-b74e-cba20277dce5","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_29","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
