"text","uuid:ID","instanceType","description","label","id","name","purpose"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","b4dda1cb-4203-4822-9863-76a16c817c8c","Endpoint","","","Endpoint_1","END1",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","a7084e68-a21b-4636-b1f2-59df38f95c22","Endpoint","","","Endpoint_2","END2",""
"Adverse events","c7ba0715-3c4e-4f09-9050-fea47fc85f39","Endpoint","","","Endpoint_3","END3",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","23425222-906d-4c21-9bfe-1aa2594448ae","Endpoint","","","Endpoint_4","END4",""
"Laboratory evaluations (Change from Baseline)","b11b0bf6-8bb1-4b15-8dd1-aeaa2ed834d9","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5","END5",""
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","18c897c5-1321-4fe8-9299-7a6f94d5e43c","Endpoint","","","Endpoint_6","END6",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","5391f6a2-7489-4d46-ace8-143e504d807f","Endpoint","","","Endpoint_7","END7",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","e13b9915-97c5-45b5-81ce-0373af28af1d","Endpoint","","","Endpoint_8","END8",""
"*** To be determined from protocol ***","3ed12f15-af4d-4cad-96eb-eb3d5f5b4c4b","Endpoint","","","Endpoint_9","END9",""
"*** To be determined from protocol ***","df990e70-9c33-4350-b7cb-267c0560aabc","Endpoint","","","Endpoint_10","END10",""
"*** To be determined from protocol ***","0286db18-9818-427a-b440-02b95eb66743","Endpoint","","","Endpoint_11","END11",""
