"uuid:ID","decode","instanceType","codeSystemVersion","code","id","codeSystem"
"f3058251-ad03-436d-a50b-4a8759467bf4","Interventional Study","Code","2023-12-15","C98388","Code_1","http://www.cdisc.org"
"bea88958-5c34-492d-ba71-e3d6dbc8edc2","Phase II Trial","Code","2023-12-15","C15601","Code_2","http://www.cdisc.org"
"32174ff1-1b94-4f91-9ae8-e4de0602c26e","Sponsor Approval Date","Code","2023-12-15","C132352","Code_9","http://www.cdisc.org"
"205a18be-c837-4520-9a7a-1771bfd06c13","Global","Code","2023-12-15","C68846","Code_10","http://www.cdisc.org"
"aa4cdee3-ba78-4e72-8a1f-575fdc91edfc","IRB/IEC Feedback","Code","2023-12-15","C99904x3","Code_72","http://www.cdisc.org"
"793c246d-5197-43d2-8713-8115337e1150","Other","Code","2023-12-15","C17649","Code_73","http://www.cdisc.org"
"2905777c-f8e5-4bbc-a4c1-1c19b8481a67","Region","Code","2023-12-15","C41129","Code_75","http://www.cdisc.org"
"635e4879-a0c7-4ea8-a443-171e2965a75f","Europe","Code","2020-08","150","Code_74","ISO 3166 1 alpha3"
"1ade5570-389a-4e5b-a599-ddafaa1bfd41","Eli Lilly","Code","12","PHARMA","Code_4","SPONSOR"
"c0627b5d-1d23-4ac8-af61-45d003ff47eb","Clinical Study Sponsor","Code","2023-12-15","C70793","Code_76","http://www.cdisc.org"
"20c06a70-d070-4585-9f99-caf565effb12","United States of America","Code","2020-08","USA","Code_77","ISO 3166 1 alpha3"
"55ca2483-204a-4471-8947-0d0ca7617ae9","Study Registry","Code","2023-12-15","C93453","Code_78","http://www.cdisc.org"
"041635a5-6107-4317-9978-832e43d68871","United States of America","Code","2020-08","USA","Code_79","ISO 3166 1 alpha3"
"e030b628-2890-4a77-85fb-5e2101cfbecd","Treatment Study","Code","2023-12-15","C49656","Code_137","http://www.cdisc.org"
"72db792d-6a46-4168-8705-72f1570ce1e0","Efficacy Study","Code","2023-12-15","C49666","Code_138","http://www.cdisc.org"
"9f88cbd5-a43f-4a5a-ad9e-c47a3aab3962","Safety Study","Code","2023-12-15","C49667","Code_139","http://www.cdisc.org"
"d794746d-478a-4d01-9ead-cb3bb86f3728","Pharmacokinetic Study","Code","2023-12-15","C49663","Code_140","http://www.cdisc.org"
"5edd8c5b-fbb9-43d1-ab07-884bdb6461e5","Mild to Moderate Alzheimer's Disease","Code","12","MILD_MOD_ALZ","Code_134","SPONSOR"
"69779896-cb74-41c9-9921-6cf5f1a73da6","Alzheimer's disease","Code","January 31, 2018","26929004","Code_135","SNOMED"
"cd16b273-9b5d-492c-8a5b-2be1d1657fc7","EXTENSION","Code","2023-12-15","C99907x1","Code_143","http://www.cdisc.org"
