"uuid:ID","instanceType","description","label","id","name"
"b17e2c2a-b456-4a39-a5b1-c71aca37dbb7","ScheduledActivityInstance","-","Screen One","ScheduledActivityInstance_9","SCREEN1"
"b4646c86-1742-4fe7-9dc0-258c2edcdd79","ScheduledActivityInstance","-","Screen Two","ScheduledActivityInstance_10","SCREEN2"
"a2a0fce2-eadd-4e49-a46f-dfb915cacd36","ScheduledActivityInstance","-","Dose","ScheduledActivityInstance_11","DOSE"
"c3ea9580-845e-4691-926d-30cbf6757068","ScheduledActivityInstance","-","Week 2","ScheduledActivityInstance_12","WK2"
"1dc59042-e1f9-40d2-ab7a-7f6cb1fc29be","ScheduledActivityInstance","-","Week 4","ScheduledActivityInstance_13","WK4"
"c8886a11-aa41-4d4f-997f-0e836cbeaf73","ScheduledActivityInstance","-","Week 6","ScheduledActivityInstance_14","WK6"
"45e35dd7-1031-40af-abcb-a7c9aaa5276d","ScheduledActivityInstance","-","Week 8","ScheduledActivityInstance_15","WK8"
"147c5dd0-3454-420a-b4a4-5dd4bcb98177","ScheduledActivityInstance","-","Week NPI","ScheduledActivityInstance_16","WK8N"
"f584662b-2b81-4a39-ba5f-547868041fe4","ScheduledActivityInstance","-","Week 12","ScheduledActivityInstance_17","WK12"
"cc5ae2a6-1754-46eb-a797-6a10caa2fc29","ScheduledActivityInstance","-","Week 12 NPI","ScheduledActivityInstance_18","WK12N"
"087141fe-5f79-4619-8e3a-d67d047923ef","ScheduledActivityInstance","-","Week 16","ScheduledActivityInstance_19","WK16"
"d24245dc-4f08-416c-be8c-a2024e29d715","ScheduledActivityInstance","-","Week 16 NPI","ScheduledActivityInstance_20","WK16N"
"4027ac0b-a9bf-4cbe-aea0-c1542fb7a898","ScheduledActivityInstance","-","Week 20","ScheduledActivityInstance_21","WK20"
"659cf8ed-334f-4b04-9f3d-221d21cd35fe","ScheduledActivityInstance","-","Week 20 NPI","ScheduledActivityInstance_22","WK20N"
"7fe904ba-77d8-4124-a7f3-6fd20027fae4","ScheduledActivityInstance","-","Week 24","ScheduledActivityInstance_23","WK24"
"0bc83445-4de5-4d3a-a7d6-248f70f527f4","ScheduledActivityInstance","-","Week 26","ScheduledActivityInstance_24","WK26"
"e0e321d6-ff04-4c52-a762-78d30b52d173","ScheduledActivityInstance","-","Adevers Event","ScheduledActivityInstance_1","AE"
"717c96d9-b0a7-4996-979a-a7db073e766e","ScheduledActivityInstance","-","Early Termination","ScheduledActivityInstance_2","ET"
"190e3f14-0d1b-4001-8e88-7bafdc28d8e9","ScheduledActivityInstance","","5 minute supine","ScheduledActivityInstance_3","VS_5MIN"
"d7e7cb08-9abd-4f21-86da-0462fb2488e9","ScheduledActivityInstance","","Vital signs supine","ScheduledActivityInstance_4","VS_SUPINE"
"59c6a8a5-633b-4032-ba2c-95c788cd0ff8","ScheduledActivityInstance","","1 minute standing","ScheduledActivityInstance_5","VS_1MIN"
"feb8c1f6-9fbc-46ff-9050-8a41afc8e33b","ScheduledActivityInstance","","Vital signs after 1 min standing","ScheduledActivityInstance_6","VS_STAND1"
"4c4837de-b571-4a3f-a8bd-dd96f81ea569","ScheduledActivityInstance","","2 minute standing","ScheduledActivityInstance_7","VS_2MIN"
"d576bc3c-f31c-408e-a455-f5a2c7da7b13","ScheduledActivityInstance","","Vital signs after 3 min standing","ScheduledActivityInstance_8","VS_STAND3"
