"text","uuid:ID","instanceType","id","name"
"Subject identifier","2745b0a1-a394-4c9e-b0be-72d73677072d","TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","03c4fcb4-336a-4a1c-967c-9c45eb01a12d","TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","2eb1c7b6-4aff-4c4c-a35c-d2cb615eaa33","TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","24dedcbf-1302-47de-a282-d3286cdc81ca","TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","c1b3660d-0c79-4549-aaef-c4aa9c7e80f4","TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","91a7aa59-fda1-4bfe-a614-a98997db6bd6","TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","efc495ad-4076-4b80-828a-faab707478d0","TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","4d87daa1-a16a-482d-ac68-598870d180bf","TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","2154459d-3bee-4189-8981-9e789558888d","TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","12584186-ce6f-4246-a9bb-ff58b4edb598","TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","65a2b625-7f1c-4da1-b930-9861507d0490","TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","279d59b9-4aa9-4963-9800-4588ee160759","TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","5012f78a-68db-4d46-8cd0-627994fb3dc8","TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","4b0f418d-2998-47ce-84b2-444767bfc93f","TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","91317808-3abf-48ee-addb-6b5153d369c4","TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6"
