"description","label","id","name","value","windowLower","windowUpper","instanceType","windowLabel","uuid:ID","valueLabel"
"Screening timing","Screening","Timing_1","TIM1","P2W","","","Timing","","5fa8a09a-c43f-4d43-b704-a00f8f070d75","2 weeks"
"Pre dose timing","Pre dose","Timing_2","TIM2","P2D","PT4H","PT0H","Timing","-4..0 hours","ad472338-c561-47d6-a283-5937332b3812","2 days"
"Dosing anchor","Dosing","Timing_3","TIM3","P1D","","","Timing","","e550d475-cb5d-461a-bf38-b9af9994a2c1","1 Day"
"Week 2 timing","Week 2","Timing_4","TIM4","P2W","P3D","P3D","Timing","-3..3 days","a5990bdb-684b-48eb-8989-84dbd9b34fc2","2 Weeks"
"Week 4 timing","Week 4","Timing_5","TIM5","P4W","P3D","P3D","Timing","-3..3 days","553f4f5b-7baa-446c-84be-87fcd08eed70","4 Weeks"
"Week 6 timing","Week 6","Timing_6","TIM6","P6W","P3D","P3D","Timing","-3..3 days","90addf86-aa51-45f3-b53a-b5be7ef1ad48","6 Weeks"
"Week 8 timing","Week 8","Timing_7","TIM7","P8W","P3D","P3D","Timing","-3..3 days","4220c412-51a1-463d-90af-ea4d01baaa57","8 Weeks"
"Week 12 timing","Week 12","Timing_9","TIM9","P12W","P4D","P4D","Timing","-4..4 days","045b850e-7310-4302-9200-a4fcbd4fd41b","12 Weeks"
"Week 16 timing","Week 16","Timing_11","TIM11","P16W","P4D","P4D","Timing","-4..4 days","a6e640e7-3e26-455c-b2ce-1f1609445c2f","16 Weeks"
"Week 20 timing","Week 20","Timing_13","TIM13","P20W","P4D","P4D","Timing","-4..4 days","c93ad197-d5ce-4327-9639-e0aafcac2eab","20 Weeks"
"Week 24 timing","Week 24","Timing_15","TIM15","P24W","P4D","P4D","Timing","-4..4 days","ce3da8b9-1752-4909-96e1-cb1179ed8c9a","24 Weeks"
"Week 26 timing","Week 26","Timing_16","TIM16","P26W","P3D","P3D","Timing","-3..3 days","c22ac9f5-1a06-4060-94f5-b9a776cc87c3","26 Weeks"
"Week 8 at home timing","Week 8 Home","Timing_8","TIM8","P2W","","","Timing","","989b0eda-1ca7-4d55-b154-b57a80b57188","2 Weeks"
"Week 12 at home timing","Week 12 Home","Timing_10","TIM10","P2W","","","Timing","","5f911d14-e5ff-4e81-aa03-a68851035a1a","2 Weeks"
"Week 16 at home timing","Week 16 Home","Timing_12","TIM12","P2W","","","Timing","","c67f6307-cb7d-4e27-9745-105e78cf5a59","2 Weeks"
"Week 20 at home timing","Week 20 Home","Timing_14","TIM14","P2W","","","Timing","","767e8372-c3d3-4ec9-95c5-561754797c5a","2 Weeks"
"Adverse Event","Adverse Event","Timing_17","TIM17","P1D","","","Timing","","c63f0e9e-072b-4c6a-859e-7bc1f6ec35ab","1 Day"
"Early Termination","Early Termination","Timing_18","TIM18","P1D","","","Timing","","b9469434-453f-4588-b7b3-044ad9ca9499","1 Day"
"Supine","Supine","Timing_19","TIM19","PT0M","","","Timing","","5a553913-ba50-4abf-ad9c-1caf6f5bdb30","0 mins"
"VS while supine","VS while supine","Timing_20","TIM20","PT5M","","","Timing","","72372781-0a3c-48fe-9190-2ff872760bf3","5 mins"
"Standing","Standing","Timing_21","TIM21","PT0M","","","Timing","","c75bfa88-0fc9-4bc9-aae8-64d948505dac","0 min"
"VS while standing","VS while standing","Timing_22","TIM22","PT1M","","","Timing","","3f3a6fbc-c8c4-421e-b7b2-8fc82527790e","1 min"
"Standing","Standing","Timing_23","TIM23","PT0M","","","Timing","","4783e105-7479-4f29-a238-3f5f5dc7fe1f","0 min"
"VS while standing","VS while standing","Timing_24","TIM24","PT2M","","","Timing","","7352d4a9-0578-4c10-aa01-ec9f27930260","2 min"
