"id","name","text","instanceType","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule","abf396e9-f653-4401-85c8-008ff5b91893"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule","2bbbba2b-9f6d-43b8-9d2d-c58636ab704d"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","4c572606-c47b-441c-a12c-9bdf5e442575"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule","1c1e312b-2d7b-4883-b1b5-144833cc3617"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","TransitionRule","ac28b758-24eb-41fa-8cce-9ddfb7eff821"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule","85a30d9e-95a6-4835-8c4a-5b45fbd45ad0"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","TransitionRule","26420b98-d841-489f-9b10-3d83105f8460"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","a1b9d254-3eba-4943-935c-d9ec69ae6064"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule","b1fb7b6e-8e13-41a9-9be8-2d1e3ebea97f"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule","6c669d20-0783-4b9c-a7ac-da91b4c34a7d"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","e2d2da78-f386-4a92-9700-534c9621a4f3"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule","82b681ec-51ac-4d86-9580-4e951481a9a5"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","TransitionRule","98a920f6-1afd-4b5d-b6d4-e3d56fee4ffb"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","102627ab-c92c-4650-ac3d-06843e88812a"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","da4e7d8a-921d-4522-98f8-5c604da6603b"
