"description","label","id","name","instanceType","uuid:ID"
"-","Screen One","ScheduledActivityInstance_9","SCREEN1","ScheduledActivityInstance","b6fc6c3a-5420-43a2-9044-311413846214"
"-","Screen Two","ScheduledActivityInstance_10","SCREEN2","ScheduledActivityInstance","424ac1f2-0bd8-4261-9a14-6e791143cb9b"
"-","Dose","ScheduledActivityInstance_11","DOSE","ScheduledActivityInstance","3b04fa11-257f-435b-9ce1-b9d960691cf4"
"-","Week 2","ScheduledActivityInstance_12","WK2","ScheduledActivityInstance","069859dc-a213-4a13-a691-94d146c7b7ef"
"-","Week 4","ScheduledActivityInstance_13","WK4","ScheduledActivityInstance","329318da-5344-4a19-ac9a-ebd235f4f8d7"
"-","Week 6","ScheduledActivityInstance_14","WK6","ScheduledActivityInstance","c3c33128-2aac-4d1d-a1a2-20012e7299b6"
"-","Week 8","ScheduledActivityInstance_15","WK8","ScheduledActivityInstance","4cf4ec77-a030-4122-8898-7b20dfc25819"
"-","Week NPI","ScheduledActivityInstance_16","WK8N","ScheduledActivityInstance","7f00dca8-6946-4586-be38-0e76155ee1af"
"-","Week 12","ScheduledActivityInstance_17","WK12","ScheduledActivityInstance","bf5b561b-b504-4fc6-a787-8aa77d175eb1"
"-","Week 12 NPI","ScheduledActivityInstance_18","WK12N","ScheduledActivityInstance","d26ca9b2-cc40-40a9-a1f1-eef365263c95"
"-","Week 16","ScheduledActivityInstance_19","WK16","ScheduledActivityInstance","5f7602f8-d522-4840-8778-e71b87b7269a"
"-","Week 16 NPI","ScheduledActivityInstance_20","WK16N","ScheduledActivityInstance","a358d3e0-93fd-4802-b024-e4557bacb36d"
"-","Week 20","ScheduledActivityInstance_21","WK20","ScheduledActivityInstance","8b06689f-b765-4c1e-a6da-96206573c3ec"
"-","Week 20 NPI","ScheduledActivityInstance_22","WK20N","ScheduledActivityInstance","be147511-9e8b-40f8-8fb0-ed10245267f4"
"-","Week 24","ScheduledActivityInstance_23","WK24","ScheduledActivityInstance","eac7e202-98ae-4baa-b6f3-6e3e14779192"
"-","Week 26","ScheduledActivityInstance_24","WK26","ScheduledActivityInstance","f33e4c57-64c8-4f65-962c-8f1a79035d8c"
"-","Adevers Event","ScheduledActivityInstance_1","AE","ScheduledActivityInstance","431a7a17-9aa0-4503-8568-2199f0113ef8"
"-","Early Termination","ScheduledActivityInstance_2","ET","ScheduledActivityInstance","1f89f25b-5f43-4ee2-88d1-e4d392d9d371"
"","5 minute supine","ScheduledActivityInstance_3","VS_5MIN","ScheduledActivityInstance","1ee6162f-c35f-44f9-a25c-f417c8569ba8"
"","Vital signs supine","ScheduledActivityInstance_4","VS_SUPINE","ScheduledActivityInstance","b7c2031a-5149-4168-bd48-10b4c9672809"
"","1 minute standing","ScheduledActivityInstance_5","VS_1MIN","ScheduledActivityInstance","ed5c8d38-8251-4d32-8029-994648a41962"
"","Vital signs after 1 min standing","ScheduledActivityInstance_6","VS_STAND1","ScheduledActivityInstance","557075a5-5a43-42ce-b872-9b3ee51a4f3a"
"","2 minute standing","ScheduledActivityInstance_7","VS_2MIN","ScheduledActivityInstance","5195c4e0-69c0-429b-8ae4-1bee450fdb90"
"","Vital signs after 3 min standing","ScheduledActivityInstance_8","VS_STAND3","ScheduledActivityInstance","192c34df-9716-49f9-8aa5-5d50a929c3c8"
