"description","label","id","name","text","instanceType","uuid:ID","purpose"
"","","Endpoint_1","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","a56a8f4b-f186-41c5-a8d3-aeb3e7597613",""
"","","Endpoint_2","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","68429089-d2ab-45c9-a00b-aa829be90ac6",""
"","","Endpoint_3","END3","Adverse events","Endpoint","1b347442-6d6b-47aa-b3a0-675e10c240c1",""
"","","Endpoint_4","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","83b0969a-a0ae-438c-a478-968fcf754f6c",""
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5","END5","Laboratory evaluations (Change from Baseline)","Endpoint","45fe7a73-fc31-4a85-be28-31d39a30a77e",""
"","","Endpoint_6","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","7425371c-4c30-4f78-8920-da91f5f4b173",""
"","","Endpoint_7","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","5e0b4007-8028-46c4-a33a-204554ad8739",""
"","","Endpoint_8","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","0c17a2de-d367-4b47-b41a-b38e29b85d29",""
"","","Endpoint_9","END9","*** To be determined from protocol ***","Endpoint","76ba5504-76bb-4903-b70e-a9af8e728d55",""
"","","Endpoint_10","END10","*** To be determined from protocol ***","Endpoint","15bf7aa1-5b8a-4143-ace7-a3b8a4a571cf",""
"","","Endpoint_11","END11","*** To be determined from protocol ***","Endpoint","00276ada-cd20-41fa-9c65-6572ebdc1de5",""
