"label","id","name","synonyms","reference","instanceType","uuid:ID"
"Informed Consent Obtained","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","78d0b7bf-221b-43ad-a981-14cfa7b427b3"
"Sex","BiomedicalConcept_21","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","d5a86fd0-e0bc-4499-b016-b0fc55a8be91"
"Race","BiomedicalConcept_22","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","a053c8c8-235c-4c1f-8d0f-1e0b428e9afb"
"Temperature","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","77904df0-e294-4f9f-ac85-d8c0f70157f0"
"Weight","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","bcfe1838-2f93-46f1-a2e5-f5c797fca1ac"
"Height","BiomedicalConcept_25","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","6e2b382f-69ac-4438-ba7c-26370bf97c27"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","32ccd234-126e-4329-8fc2-1aa92da396dc"
"Albumin Presence in Urine","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","35465d6b-f694-4ad2-8e62-d347a4bb58b0"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","387996d8-bacc-41af-905f-68dbc092527b"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","0ceb40e1-e03c-40e6-b958-e7680cc5a70a"
"Creatinine Concentration in Urine","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","68bd8784-06da-4ce8-b736-e81005607123"
"Potassium Concentration in Urine","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","b7fa250c-dea5-497f-8b07-e8a948999440"
"Sodium Concentration in Urine","BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","3f0d8ff8-a4f8-4fe8-87ea-55e9f020d07f"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","720dd9a9-1aae-4f2b-b0de-1b3b90d950bc"
"Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","071611b1-3635-4d30-bb43-ac113b301ae6"
"Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","cb3d9ef2-4aa2-484e-8c3f-7ff970c70574"
"Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","0b793aff-9e88-49f6-a30f-0f884d7e716f"
