"description","label","id","name","instanceType","uuid:ID"
"Screening encounter","Screening 1","Encounter_1","E1","Encounter","47428e8b-5ebb-4afa-9310-f5793d8c39af"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","E2","Encounter","201c28bb-0c77-4ada-b730-bb348ec59901"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","E3","Encounter","bd70a8a7-be91-4fa1-acd0-83080ea31a2a"
"Day 14","Week 2","Encounter_4","E4","Encounter","371124b9-5cdf-49fc-953e-3511f6fa3462"
"Day 28","Week 4","Encounter_5","E5","Encounter","c29a83e3-96a2-494f-9be2-22466f9d485d"
"Day 42","Week 6","Encounter_6","E7","Encounter","abf182a7-52b7-45f7-9d04-3203c821769d"
"Day 56","Week 8","Encounter_7","E8","Encounter","19a80938-f493-4e9b-9d82-e63416e6897b"
"Day 84","Week 12","Encounter_8","E9","Encounter","3ec6efe7-9ab8-4e9d-9cd8-2d80eb5e4fc0"
"Day 112","Week 16","Encounter_9","E10","Encounter","b1356642-f695-4672-ad18-f073559796bb"
"Day 140","Week 20","Encounter_10","E11","Encounter","c87f6f85-61c3-445e-8e4c-703b0714e830"
"Day 168","Week 24","Encounter_11","E12","Encounter","9a091953-6ab0-4b6a-8f13-25750ac3fe01"
"Day 182","Week 26","Encounter_12","E13","Encounter","3effae1a-e8b0-4f7f-bfcd-87bfc4899f72"
