"description","uuid:ID","id","instanceType","name","label"
"Screening encounter","ee8ea2bd-fc2f-41ab-b7e6-98a8498b18d8","Encounter_1","Encounter","E1","Screening 1"
"Screening encounter - Ambulatory ECG Placement","eec73c8f-4e70-4d15-8a96-d1f66025343f","Encounter_2","Encounter","E2","Screening 2"
"Baseline encounter - Ambulatory ECG Removal","b3299705-0b94-4e73-ba91-b058d8026f68","Encounter_3","Encounter","E3","Baseline"
"Day 14","60cf5421-3228-44a8-960a-b413ced5dafb","Encounter_4","Encounter","E4","Week 2"
"Day 28","7c5355e0-11e7-4bbc-ab6c-6d6db407c036","Encounter_5","Encounter","E5","Week 4"
"Day 42","42ef510e-0780-4133-8e29-5bc5ec141b41","Encounter_6","Encounter","E7","Week 6"
"Day 56","133d774b-e0be-4106-9c56-7e5e62c1f8a9","Encounter_7","Encounter","E8","Week 8"
"Day 84","50f3965c-d0f1-4d5a-af37-0fb109dcd278","Encounter_8","Encounter","E9","Week 12"
"Day 112","18670d88-20f3-4f25-b0a5-e2f7fdfe967d","Encounter_9","Encounter","E10","Week 16"
"Day 140","a9090ed3-2e86-4c63-b957-42c659e892ad","Encounter_10","Encounter","E11","Week 20"
"Day 168","52070ac1-11bf-4d61-81f3-074fc279c905","Encounter_11","Encounter","E12","Week 24"
"Day 182","3cb09b14-2242-446c-905e-cb1efe3089d9","Encounter_12","Encounter","E13","Week 26"
