"description","purpose","text","uuid:ID","id","instanceType","name","label"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","def0d6f8-5bdb-4618-a465-3d9dad159664","Endpoint_1","Endpoint","END1",""
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","1db6e9b3-8b7f-453e-9ffb-20d6552a1798","Endpoint_2","Endpoint","END2",""
"","","Adverse events","a1f2c968-fa64-4aa8-9dc3-4f09f2d0a801","Endpoint_3","Endpoint","END3",""
"","","Vital signs (weight, standing and supine blood pressure, heart rate)","bfdb9704-05f4-40b7-98d6-e9e9a79156d7","Endpoint_4","Endpoint","END4",""
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","8c1a11b3-d3fb-4929-a8c1-6878d5577626","Endpoint_5","Endpoint","END5",""
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","61acfe4d-2dcb-4aed-b663-56652a588eb0","Endpoint_6","Endpoint","END6",""
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","6db8a8e2-dea1-4cab-b13e-285689a96dcd","Endpoint_7","Endpoint","END7",""
"","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","71805d90-8822-46c2-b98b-c767b20bf527","Endpoint_8","Endpoint","END8",""
"","","*** To be determined from protocol ***","44f848f2-3e7e-404a-8f6a-9d10f0c44c52","Endpoint_9","Endpoint","END9",""
"","","*** To be determined from protocol ***","ff290fb4-4ea8-4b7c-9ad8-8f93d4504e33","Endpoint_10","Endpoint","END10",""
"","","*** To be determined from protocol ***","9879a5d9-7e89-422f-a0a4-1d13b507c5b2","Endpoint_11","Endpoint","END11",""
