"uuid:ID","reference","id","instanceType","name","label","synonyms"
"c9ebca4d-2d3b-4cb0-afbc-edad197d4f95","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_20","BiomedicalConcept","Sex","Sex",""
"786a5b5c-73f6-40be-9408-cc1a377cf2d0","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_21","BiomedicalConcept","Race","Race","['Racial Group']"
"71c776cd-f0af-40d8-8bbe-2e8808b99bcf","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_22","BiomedicalConcept","Temperature","Temperature","['Temperature', 'Body Temperature']"
"7cdffe2a-e468-414b-b41e-120874c8dd52","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_23","BiomedicalConcept","Weight","Weight","['Weight', 'Body Weight']"
"1a23ed2e-2819-4b9c-8d4e-38a1733c8ab3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_24","BiomedicalConcept","Height","Height","['Height', 'Body Height']"
"fdf9325a-69f0-4e88-b708-4006443ba076","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_25","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"b9842202-facf-4304-918a-8484a3fe930a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_26","BiomedicalConcept","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"5838bfd3-a627-475a-8c09-55e1b85e2f10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_27","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"7a4a2dcc-9a9e-460c-af51-57a111468f6d","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_28","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"f64f3f3b-7e3d-4455-a58e-c151169047c5","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_29","BiomedicalConcept","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
