"windowLabel","description","windowUpper","valueLabel","value","uuid:ID","id","windowLower","instanceType","name","label"
"","Screening timing","","2 weeks","P2W","4c6cf011-b33f-40d3-8e12-58efeba7b1d9","Timing_1","","Timing","TIM1","Screening"
"-4..0 hours","Pre dose timing","PT0H","2 days","P2D","b4178831-323c-47a4-9f73-e208cea37243","Timing_2","PT4H","Timing","TIM2","Pre dose"
"","Dosing anchor","","1 Day","P1D","8efec79b-93b8-441e-83cc-e59d237b5b36","Timing_3","","Timing","TIM3","Dosing"
"-3..3 days","Week 2 timing","P3D","2 Weeks","P2W","6e66d953-26e0-417c-9266-518d36111083","Timing_4","P3D","Timing","TIM4","Week 2"
"-3..3 days","Week 4 timing","P3D","4 Weeks","P4W","ff65ffa7-020d-40cf-9280-9cf629b1bcd6","Timing_5","P3D","Timing","TIM5","Week 4"
"-3..3 days","Week 6 timing","P3D","6 Weeks","P6W","31b2c7dc-866a-4f27-94fa-bbc009d5ad1e","Timing_6","P3D","Timing","TIM6","Week 6"
"-3..3 days","Week 8 timing","P3D","8 Weeks","P8W","344dd895-d174-4f5a-b0c6-3c3fb26cd089","Timing_7","P3D","Timing","TIM7","Week 8"
"-4..4 days","Week 12 timing","P4D","12 Weeks","P12W","04ec0f0f-c589-494e-af00-ba8b77447275","Timing_9","P4D","Timing","TIM9","Week 12"
"-4..4 days","Week 16 timing","P4D","16 Weeks","P16W","5a95cb83-c1cb-4a14-9fcb-452171ddf055","Timing_11","P4D","Timing","TIM11","Week 16"
"-4..4 days","Week 20 timing","P4D","20 Weeks","P20W","6f922107-9fe0-4de3-9bc5-3126ca8a44f8","Timing_13","P4D","Timing","TIM13","Week 20"
"-4..4 days","Week 24 timing","P4D","24 Weeks","P24W","d906217d-78bc-4867-8a4b-f41098dc306c","Timing_15","P4D","Timing","TIM15","Week 24"
"-3..3 days","Week 26 timing","P3D","26 Weeks","P26W","f9dd4168-5273-4170-828b-8490378740e8","Timing_16","P3D","Timing","TIM16","Week 26"
"","Week 8 at home timing","","2 Weeks","P2W","a9998319-82de-48bd-94cb-481658a2cffe","Timing_8","","Timing","TIM8","Week 8 Home"
"","Week 12 at home timing","","2 Weeks","P2W","205aaa31-9a51-4913-9a11-2f2795419af4","Timing_10","","Timing","TIM10","Week 12 Home"
"","Week 16 at home timing","","2 Weeks","P2W","46e1df96-e185-4207-aaa4-684df6da27cc","Timing_12","","Timing","TIM12","Week 16 Home"
"","Week 20 at home timing","","2 Weeks","P2W","dc241071-a474-425a-859a-d8f31bd417f2","Timing_14","","Timing","TIM14","Week 20 Home"
"","Adverse Event","","1 Day","P1D","709a87c0-7191-4af6-aba1-36c269d9b9a1","Timing_17","","Timing","TIM17","Adverse Event"
"","Early Termination","","1 Day","P1D","2d201777-d95d-48a2-b587-b7ded918b8ca","Timing_18","","Timing","TIM18","Early Termination"
"","Supine","","0 mins","PT0M","ab5406c8-c5c7-4c37-aec8-84963bfb3d76","Timing_19","","Timing","TIM19","Supine"
"","VS while supine","","5 mins","PT5M","87fd5598-1576-4f5f-af7a-1cc3d4c81f11","Timing_20","","Timing","TIM20","VS while supine"
"","Standing","","0 min","PT0M","4f368f91-d0bc-465c-9009-b47a434c2f60","Timing_21","","Timing","TIM21","Standing"
"","VS while standing","","1 min","PT1M","6531312f-e56f-48ed-9e9f-605f89eb98cd","Timing_22","","Timing","TIM22","VS while standing"
"","Standing","","0 min","PT0M","4edd596d-d3b1-4ebe-a9e2-925951778586","Timing_23","","Timing","TIM23","Standing"
"","VS while standing","","2 min","PT2M","b7fd296c-6d88-462c-b8be-289aa5a89493","Timing_24","","Timing","TIM24","VS while standing"
