"text","uuid:ID","id","instanceType","name"
"Subject identifier","86101fe1-318a-4ec2-9300-98180007b6bb","TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1"
"completion of screening activities","3bcdb33b-db7e-4717-b804-bb75c844f5d0","TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","c66a04a2-c276-416f-982d-f655193c3902","TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","b7dd809e-ecda-4976-bf86-4761ee60125e","TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3"
"Radomized","a7315e3d-e720-42df-9029-c62c81d21582","TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3"
"End of treatment","6f396975-5cfa-4100-b0ea-77850cbcef24","TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12"
"Informed consent","4ccb49da-eb68-45ab-b5b6-be549209415e","TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","e535f271-845d-47ea-95a3-db443964e0c9","TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1"
"Administration of first dose","0678dc28-9745-49d6-b405-13dc22c0ea8d","TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","5f414d4e-34a0-4030-8b7a-d107b9448d36","TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","2130775e-0b96-4c0c-8e16-d17d7454cdb5","TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7"
"Administration of first dose","d8bba428-f7f1-4e44-9f79-9157db49e112","TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3"
"Randomized","79561932-828d-4309-99c8-8292f8459b44","TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","a3a24719-fb33-4eb6-95b9-a93d21768090","TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","2b4b92eb-9dc7-4874-88c6-244f5e49a4be","TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6"
