"instanceType","code","uuid:ID","codeSystem","id","decode","codeSystemVersion"
"Code","C98388","14910955-6d17-4159-9847-b718ffa07677","http://www.cdisc.org","Code_1","Interventional Study","2023-12-15"
"Code","C15601","1b96199c-0be7-4066-96b6-235495ded1a2","http://www.cdisc.org","Code_2","Phase II Trial","2023-12-15"
"Code","C132352","a9bd6410-7129-40b1-a966-7a64b64b8f45","http://www.cdisc.org","Code_9","Sponsor Approval Date","2023-12-15"
"Code","C68846","36304411-de46-482c-b1bd-9aa83edb53f4","http://www.cdisc.org","Code_10","Global","2023-12-15"
"Code","C99904x3","2d4ee3bd-b89f-4d92-a458-dd18856f8eb2","http://www.cdisc.org","Code_72","IRB/IEC Feedback","2023-12-15"
"Code","C17649","fb2977e8-92c8-49c0-8768-e6e5ea6d8100","http://www.cdisc.org","Code_73","Other","2023-12-15"
"Code","C41129","bea22530-be01-4831-bb0c-5dcd680910d2","http://www.cdisc.org","Code_75","Region","2023-12-15"
"Code","150","222ad7e6-e84c-4fad-a123-5fc01516b40c","ISO 3166 1 alpha3","Code_74","Europe","2020-08"
"Code","PHARMA","5dd13826-dcab-4c27-811a-1174f5684e62","SPONSOR","Code_4","Eli Lilly","12"
"Code","C70793","15e47e04-7f27-4d09-8131-796ae1de6fb6","http://www.cdisc.org","Code_76","Clinical Study Sponsor","2023-12-15"
"Code","USA","b8fce56b-04f7-4f38-9b8d-43935eb893ad","ISO 3166 1 alpha3","Code_77","United States of America","2020-08"
"Code","C93453","def8de49-61e4-4079-83c9-c201cc858309","http://www.cdisc.org","Code_78","Study Registry","2023-12-15"
"Code","USA","0e37375e-662d-4556-8ece-c968ccd5248d","ISO 3166 1 alpha3","Code_79","United States of America","2020-08"
"Code","C49656","0f1010e3-4a47-46dd-aa56-6a40bdff392f","http://www.cdisc.org","Code_137","Treatment Study","2023-12-15"
"Code","C49666","43baea75-286f-4f7f-b816-7fbc2b9176bc","http://www.cdisc.org","Code_138","Efficacy Study","2023-12-15"
"Code","C49667","4616927c-15df-45ef-bfc7-67add2ac77ca","http://www.cdisc.org","Code_139","Safety Study","2023-12-15"
"Code","C49663","8553da14-b7a4-4558-bf3a-7f1d268323d5","http://www.cdisc.org","Code_140","Pharmacokinetic Study","2023-12-15"
"Code","MILD_MOD_ALZ","ab23c02f-a938-4dbc-be09-abbd5ba085d4","SPONSOR","Code_134","Mild to Moderate Alzheimer's Disease","12"
"Code","26929004","2d021fbd-9e12-4791-bc13-f4d3cff05f24","SNOMED","Code_135","Alzheimer's disease","January 31, 2018"
"Code","C99907x1","5e6aae10-d786-4d69-835e-cff6f69d39fd","http://www.cdisc.org","Code_143","EXTENSION","2023-12-15"
"Code","C98704","68e8600b-f675-4210-8773-75fa03d0558b","http://www.cdisc.org","Code_144","ADAPTIVE","2023-12-15"
"Code","C82639","eb4f7ef0-65fa-4b2c-b77f-2313915d674b","http://www.cdisc.org","Code_141","Parallel Study","2023-12-15"
"Code","C25716","9b4c6191-1ddc-4f70-bdf5-1706947b1cfc","http://www.cdisc.org","Code_83","Visit","2023-12-15"
"Code","C51282","46e5b3fb-2468-44e7-8639-e320fb34dc8b","http://www.cdisc.org","Code_84","Clinic","2023-12-15"
"Code","C175574","f9618a46-ca9e-456c-bc68-a7a77da47564","http://www.cdisc.org","Code_85","In Person","2023-12-15"
"Code","C25716","793beb2a-9f6a-4444-bd58-fde26cc9b652","http://www.cdisc.org","Code_86","Visit","2023-12-15"
"Code","C51282","a17d4876-6f73-431a-a857-3aee7ef4bfb9","http://www.cdisc.org","Code_87","Clinic","2023-12-15"
"Code","C175574","3be3e0ea-70ae-48ee-9e07-30f44558ee73","http://www.cdisc.org","Code_88","In Person","2023-12-15"
"Code","C25716","f56d52ee-25cf-4e96-952c-0b7bac0732a1","http://www.cdisc.org","Code_89","Visit","2023-12-15"
"Code","C51282","af5bf754-3d28-4862-839d-fd9c14897ae7","http://www.cdisc.org","Code_90","Clinic","2023-12-15"
"Code","C175574","ae3a8f62-cbd1-4199-8cae-0751342b6f0b","http://www.cdisc.org","Code_91","In Person","2023-12-15"
"Code","C25716","feebbdb5-1dbe-4b4b-a777-c0615665bb7d","http://www.cdisc.org","Code_92","Visit","2023-12-15"
"Code","C51282","8e453d2c-7742-46b7-acf4-9cccb4d839de","http://www.cdisc.org","Code_93","Clinic","2023-12-15"
"Code","C175574","b5db7d4b-173c-43af-b07e-1e24246611d7","http://www.cdisc.org","Code_94","In Person","2023-12-15"
"Code","C25716","f0663a2a-a655-48f7-a9f9-b3e4f05531a7","http://www.cdisc.org","Code_95","Visit","2023-12-15"
"Code","C51282","ba14f1fb-8eb3-4c1a-a895-729ea8281acb","http://www.cdisc.org","Code_96","Clinic","2023-12-15"
"Code","C175574","13649528-ed85-4868-b53c-463c3ca3d319","http://www.cdisc.org","Code_97","In Person","2023-12-15"
"Code","C25716","55d9507e-dad7-4802-9169-dd157f1ec024","http://www.cdisc.org","Code_98","Visit","2023-12-15"
"Code","C51282","fa4c0e01-46d1-48a5-9017-fc073501380b","http://www.cdisc.org","Code_99","Clinic","2023-12-15"
"Code","C175574","b9d13163-1337-4195-87fd-0323c8c6568c","http://www.cdisc.org","Code_100","In Person","2023-12-15"
"Code","C25716","2de7b8cf-5ee7-48d3-ab2a-9d22013d07e6","http://www.cdisc.org","Code_101","Visit","2023-12-15"
"Code","C51282","05231e0f-752b-4bfe-a92a-16cc120ec20d","http://www.cdisc.org","Code_102","Clinic","2023-12-15"
"Code","C175574","9f2a030a-a643-4145-bde9-58b0993e3264","http://www.cdisc.org","Code_103","In Person","2023-12-15"
"Code","C171537","fc9106b7-5a46-4c55-bbcd-705fbdec9200","http://www.cdisc.org","Code_104","Telephone Call","2023-12-15"
"Code","C25716","237be436-6e6d-4e8c-bb90-d1258d3ff442","http://www.cdisc.org","Code_105","Visit","2023-12-15"
"Code","C51282","41544fcb-a440-4284-9659-df5fee0bbee4","http://www.cdisc.org","Code_106","Clinic","2023-12-15"
"Code","C175574","6b54acb9-440d-4424-ac99-b0f44d5a43d6","http://www.cdisc.org","Code_107","In Person","2023-12-15"
"Code","C171537","e869e914-4772-4319-b953-5af2a981d837","http://www.cdisc.org","Code_108","Telephone Call","2023-12-15"
"Code","C25716","0987d476-729f-4360-b40d-ae340ef24fa3","http://www.cdisc.org","Code_109","Visit","2023-12-15"
"Code","C51282","280ba21b-18fe-4a56-869d-b2ad45aea6c2","http://www.cdisc.org","Code_110","Clinic","2023-12-15"
"Code","C175574","ec209977-7523-488a-8419-2f84007b5cf0","http://www.cdisc.org","Code_111","In Person","2023-12-15"
"Code","C171537","cbe3b45c-7286-420b-a2db-e7d5a8cb5d64","http://www.cdisc.org","Code_112","Telephone Call","2023-12-15"
"Code","C25716","59d11216-8ac9-413d-b671-c8467d050ab1","http://www.cdisc.org","Code_113","Visit","2023-12-15"
"Code","C51282","9e6b783b-9a4f-412e-a10a-b960d2c2ba8a","http://www.cdisc.org","Code_114","Clinic","2023-12-15"
"Code","C175574","ad8e31db-0beb-4b55-8712-75f7170ac862","http://www.cdisc.org","Code_115","In Person","2023-12-15"
"Code","C171537","56c035df-4bd8-47e8-9502-197dfb2354a1","http://www.cdisc.org","Code_116","Telephone Call","2023-12-15"
"Code","C25716","4b86d805-9d4d-4bda-8729-1f1a621d0a09","http://www.cdisc.org","Code_117","Visit","2023-12-15"
"Code","C51282","f604167f-68d8-4611-9cf1-49fd6a8009c5","http://www.cdisc.org","Code_118","Clinic","2023-12-15"
"Code","C175574","0d8ba05b-b584-4e11-92e3-478090e72e0c","http://www.cdisc.org","Code_119","In Person","2023-12-15"
"Code","C25716","04e828f4-c093-46a2-89c7-9c4ca7f09e95","http://www.cdisc.org","Code_120","Visit","2023-12-15"
"Code","C51282","63589008-71a3-4136-a5a8-9ebb0bff4daf","http://www.cdisc.org","Code_121","Clinic","2023-12-15"
"Code","C175574","b65e9469-763b-4cc3-84d4-e84205e48577","http://www.cdisc.org","Code_122","In Person","2023-12-15"
"Code","383371000119108","3aeb6e8a-a907-4bfb-9c49-977d94176671","SNOMED","Code_80","CT of head without contrast","January 31, 2018"
"Code","123","6070f206-5fff-4fa6-8126-0bae626c5c09","SPONSOR","Code_81","Subject Supine","12"
"Code","124","b4c30196-cea9-4db8-9d75-5bc0299fabb8","SPONSOR","Code_82","Subject Standing","12"
"Code","C20197","342d8352-c5e6-408d-a3a1-08a0aab87be1","http://www.cdisc.org","Code_429","Male","2023-12-15"
"Code","C16576","50ce1554-8411-424c-b4e2-6b5a741daaf9","http://www.cdisc.org","Code_430","Female","2023-12-15"
"Code","C28421","78baf83e-1c6b-441c-afc0-295e45248c16","http://www.cdisc.org","Code_431","Sex","2023-12-15"
"Code","C28421","7ef9608d-b25a-4c33-9fda-8d02a3a80724","http://www.cdisc.org","Code_432","Sex","2023-12-15"
"Code","C17049","19fe38c8-5124-47f6-9be7-df114c14a3d8","http://www.cdisc.org","Code_433","Race","2023-12-15"
"Code","C17049","37e7916c-d1d2-4c49-b6d7-caadf9c8f587","http://www.cdisc.org","Code_434","Race","2023-12-15"
"Code","C174446","4464ec7b-4a6f-4aa8-b343-14c9379f2abf","http://www.cdisc.org","Code_435","TEMP","2023-12-15"
"Code","C77140","3ca2f729-bed2-4c53-904c-292b806007a0","http://www.cdisc.org","Code_436","Clinical Test Result","2023-12-15"
"Code","C42559","e14c7394-3616-4e19-ad9d-bda934b7bc3b","http://www.cdisc.org","Code_437","Degree Celsius","2023-12-15"
"Code","C44277","e93fbfbe-0362-4d8c-ba1a-da8006c39c3a","http://www.cdisc.org","Code_438","Degree Fahrenheit","2023-12-15"
"Code","C42537","5fdb0174-7f66-4f64-846c-6dbabb80e559","http://www.cdisc.org","Code_439","Kelvin","2023-12-15"
"Code","C44276","e0931935-0593-4cae-b7cd-898ec580aa25","http://www.cdisc.org","Code_440","Unit of Temperature","2023-12-15"
"Code","C12674","aaa50928-d0f2-44ae-8639-2b6080ce9141","http://www.cdisc.org","Code_441","Axilla","2023-12-15"
"Code","C12394","3e4c43bc-210a-4dc7-a2c0-c52c3b18fed9","http://www.cdisc.org","Code_442","Ear","2023-12-15"
"Code","C89803","1406620d-79bf-4ad3-808b-f860c7d109e9","http://www.cdisc.org","Code_443","Forehead","2023-12-15"
"Code","C12421","3c37cd9a-07ad-425b-93b6-2fa5c808cdfc","http://www.cdisc.org","Code_444","Oral Cavity","2023-12-15"
