"name","description","instanceType","uuid:ID","id","label"
"Informed consent","","Activity","a659b621-fec0-4cb7-8230-0e5d46e93c4b","Activity_1","Informed consent"
"Inclusion/exclusion criteria","","Activity","3866b187-8d27-44c8-bbfc-1b87f5f480d2","Activity_2","Inclusion and exclusion criteria"
"Patient number assigned","","Activity","897d09ea-df9e-4d35-9785-371f2b15804b","Activity_3","Patient number assigned"
"Demographics","","Activity","7429004a-76bb-4c89-9de2-de3517564ab3","Activity_4","Demographics"
"Hachinski","","Activity","88f70559-0501-4b09-9915-6eea52f701f6","Activity_5","Hachinski Ischemic Scale"
"MMSE","","Activity","dd764864-b0b0-44bd-bc9b-2782491bca6e","Activity_6","MMSE"
"Physical examination","","Activity","bfbcb1fe-7961-441e-b7de-067a1d932e27","Activity_7","Physical examination"
"Medical history","","Activity","07dc892f-78c5-4d7c-8a43-db49a69c3bd2","Activity_8","Medical history"
"Habits","","Activity","7c5593da-1489-46e4-a42c-7e804ccdb6aa","Activity_9","Habits"
"Chest X-ray","","Activity","11bbbd65-cac1-43f0-a45c-0d8475430b26","Activity_10","Chest X-ray"
"Apo E genotyping","","Activity","db4d8f83-78ce-46ca-825a-ad005d2e710c","Activity_11","Apo E genotyping"
"Patient randomised","","Activity","1c76cf9e-534f-4176-a0d1-b0b955370120","Activity_12","Patient randomised"
"Vital signs / Temperature","","Activity","18360719-3a4f-41d7-be17-92a98fa46a39","Activity_13","Vital Signs and Temperature"
"Ambulatory ECG placed","","Activity","c1c3c840-47d7-449a-b77d-24080b62eab8","Activity_14","Ambulatory ECG placed"
"Ambulatory ECG removed","","Activity","193ef4e0-b383-43a0-aba5-789c69e071e2","Activity_15","Ambulatory ECG removed"
"ECG","","Activity","d7bd8fa4-2f92-4f8c-a2c8-85ddaf03a2b7","Activity_16","ECG"
"Placebo TTS test","","Activity","5b3312dc-e348-4fde-b445-5b3bc0d83e3f","Activity_17","Placebo TTS test"
"CT scan","","Activity","1e3c82fa-8fe5-4f38-bc6e-a3d0c42b7c9e","Activity_18","CT scan"
"Concomitant medications","","Activity","b8411e87-254f-4698-83ee-d6b31b9398db","Activity_19","Concomitant medications"
"Hematology","","Activity","99b4c20c-e510-4326-949b-a800a6f8c9a0","Activity_20","Hematology"
"Chemistry","","Activity","ece80dbc-c483-4bfe-a4d6-f6fa555ff7f0","Activity_21","Chemistry"
"Uninalysis","","Activity","3dd6076d-d372-4d72-83d8-bdc48579ba8a","Activity_22","Uninalysis"
"Plasma Specimen (Xanomeline)","","Activity","0e35edfd-f1da-462b-8b5d-79bd9bd73ca7","Activity_23","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","","Activity","35c77bbf-3362-4d65-9697-42d73311a44e","Activity_24","Hemoglobin A1C"
"Study drug","","Activity","151eb2af-48ad-4797-9e45-37cadd99c8fe","Activity_25","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","","Activity","42f04208-a3b6-4a5c-b81d-f1b2274de80d","Activity_26","TTS Acceptability Survey"
"ADAS-Cog","","Activity","f2d632f2-82e6-47c3-862c-e8f2ac8367bb","Activity_27","ADAS-Cog"
"CIBIC+","","Activity","a5c303a9-ebcf-4998-b552-1e7b48258457","Activity_28","CIBIC+"
"DAD","","Activity","52f52226-cf2a-4779-ae17-615d6419a9eb","Activity_29","DAD"
"NPI-X","","Activity","4a44cf96-6ae9-4111-a692-480ca6ef8b21","Activity_30","NPI-X"
"Adverse events","","Activity","130cabdc-be76-4245-90fb-9b81945ce57e","Activity_31","Adverse events"
"Check adverse events","","Activity","641755cc-7abe-4dd2-8988-f8e1c0994053","Activity_32","Check adverse events"
"Supine","","Activity","38ee6e2c-a6af-4be3-8a03-8b3978db3f04","Activity_33","Subject supine"
"Vital Signs Supine","","Activity","4ba7a29c-168d-4f2b-9ccd-7495e9fdf98c","Activity_34","Vital signs while supine"
"Stand","","Activity","4ad136a1-b14d-41bd-bd6c-5ce0a261ddc6","Activity_35","Subject Standing"
"Vital Signs Standing","","Activity","387b8f01-4502-4eef-a394-f7492abe07ed","Activity_36","Vital signs while standing"
