"name","instanceType","uuid:ID","id","text"
"ENCOUNTER_START_RULE_1","TransitionRule","5470f017-a440-4f10-8624-bc13371b2644","TransitionRule_1","Subject identifier"
"ENCOUNTER_START_RULE_1","TransitionRule","a6a21ea9-6f14-4ed0-98d2-f6ed972ba910","TransitionRule_2","completion of screening activities"
"ENCOUNTER_START_RULE_2","TransitionRule","ef9f8a6f-cb02-417d-89fb-6e4a2e26d18c","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","TransitionRule","c2656080-4b8d-46d9-94e9-e7c088a5654f","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","TransitionRule","c3386a7c-0368-4d8b-86d0-9e09c0992943","TransitionRule_5","Radomized"
"ENCOUNTER_START_RULE_12","TransitionRule","0e9e2048-1841-4dc0-91be-7f4ea6434700","TransitionRule_6","End of treatment"
"ELEMENT_START_RULE_1","TransitionRule","ebbadac7-4a87-4a2d-8aeb-b88dea17b2b3","TransitionRule_7","Informed consent"
"ELEMENT_END_RULE_1","TransitionRule","efe37ef2-5a4c-4d76-b9ed-21abcab34897","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","TransitionRule","b2f73c59-5105-417b-8a23-204df680d931","TransitionRule_9","Administration of first dose"
"ELEMENT_START_RULE_7","TransitionRule","9e9b1128-0fb8-41a4-b326-1e1134e16034","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","TransitionRule","f3386633-f198-4378-9159-d4dae1d6d33b","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","TransitionRule","56b429a1-afe4-41fd-abb6-5f7ae566cfdf","TransitionRule_10","Administration of first dose"
"ELEMENT_START_RULE_4","TransitionRule","b39d2663-b64c-4b15-9498-e2c9de73dfb5","TransitionRule_11","Randomized"
"ELEMENT_START_RULE_5","TransitionRule","22feb5c8-6deb-4e3e-93b2-86cdef188c44","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","TransitionRule","37d0db81-5724-4f1d-9c88-46d129b22707","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
