"name","reference","instanceType","uuid:ID","id","label","synonyms"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","eed8310b-7fa4-4573-b2ef-de494469483e","BiomedicalConcept_20","Sex",""
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","618bb389-e7cf-4ccb-bcfb-1d236ba40eaf","BiomedicalConcept_21","Race","['Racial Group']"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","2ed82f24-a6f7-45ec-8396-08f45ca46821","BiomedicalConcept_22","Temperature","['Temperature', 'Body Temperature']"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","154fa693-bc98-4c6d-8786-0ed2f1c85533","BiomedicalConcept_23","Weight","['Weight', 'Body Weight']"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","e3d31c1f-f7f4-475e-ac92-0927e41c7e44","BiomedicalConcept_24","Height","['Height', 'Body Height']"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","606d5b0e-0614-43bd-a730-ef8e070a261d","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","7f2bea6c-3437-458a-84e0-c83b75a5a0de","BiomedicalConcept_26","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","57aeb0bf-b6ed-416d-995c-23224a738c9f","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","830b4a2f-bda2-4815-b391-60894ed051c1","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","ad100480-bb43-4ffe-9c7e-df7e2e3789bf","BiomedicalConcept_29","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","d546374d-d6c7-42e5-9338-c2a093ddb87d","BiomedicalConcept_30","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","fdc8cf63-4bfd-4325-83bf-f67c677297c5","BiomedicalConcept_31","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","0211003e-1902-4ff3-b532-d94e7157a870","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","ed370de0-1b70-4648-9ed1-4fa5d5d4ec5a","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","bb536ebe-61d4-4a8d-8253-93a941688a65","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","c956ecec-165a-4bf7-b1a1-17e6f868fb0e","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
