"name","description","instanceType","uuid:ID","id","label","text","purpose"
"END1","","Endpoint","b36d558e-68e7-4c82-8fbc-ff344d528e89","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"END2","","Endpoint","617c77c2-844c-42d6-adf3-b74ff438d835","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"END3","","Endpoint","b189ca76-68df-490a-93f1-5a9349b9a39f","Endpoint_3","","Adverse events",""
"END4","","Endpoint","c0c9bde8-14e7-42a5-a8fd-34cc7f118724","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","c2f6eb94-953b-4368-936c-7da9bbd148d1","Endpoint_5","","Laboratory evaluations (Change from Baseline)",""
"END6","","Endpoint","118773a9-c2a9-4836-9236-c2ec48f85af4","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"END7","","Endpoint","20b63ae4-6455-44c1-a445-d588c15f789b","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"END8","","Endpoint","3aa590ef-c2d6-4f76-9ff8-8897411136b9","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"END9","","Endpoint","423d23ec-0604-4731-8d31-bacb85cd2dfb","Endpoint_9","","*** To be determined from protocol ***",""
"END10","","Endpoint","5593e429-34ee-4b72-a661-641f4b470066","Endpoint_10","","*** To be determined from protocol ***",""
"END11","","Endpoint","60d85d54-cce7-42e6-a07e-5b8bddbd1def","Endpoint_11","","*** To be determined from protocol ***",""
