"decode","instanceType","codeSystem","uuid:ID","id","code","codeSystemVersion"
"Interventional Study","Code","http://www.cdisc.org","b0503984-fe40-40d4-a8d8-7f490fb2185f","Code_1","C98388","2023-12-15"
"Phase II Trial","Code","http://www.cdisc.org","7d3ea04e-6a48-41f8-871d-416923f33860","Code_2","C15601","2023-12-15"
"Sponsor Approval Date","Code","http://www.cdisc.org","59551ef9-6dbf-4e51-aebb-38bdd5d0a382","Code_9","C132352","2023-12-15"
"Global","Code","http://www.cdisc.org","99e7bd74-d24e-4801-9ce1-75083bee8874","Code_10","C68846","2023-12-15"
"IRB/IEC Feedback","Code","http://www.cdisc.org","241f31f3-df33-4ff1-9716-63e164f41791","Code_72","C99904x3","2023-12-15"
"Other","Code","http://www.cdisc.org","b404aa41-6f72-4583-b896-a8ef113512c9","Code_73","C17649","2023-12-15"
"Region","Code","http://www.cdisc.org","a6740186-bf15-4bc1-a642-a72390277956","Code_75","C41129","2023-12-15"
"Europe","Code","ISO 3166 1 alpha3","d498cd8f-6e01-4722-b9cc-a806cc0e1e05","Code_74","150","2020-08"
"Eli Lilly","Code","SPONSOR","15002ffa-fa65-4daa-8d8d-c90973df49c6","Code_4","PHARMA","12"
"Clinical Study Sponsor","Code","http://www.cdisc.org","e7eb16e3-01f1-41b6-b3e8-508639cda30e","Code_76","C70793","2023-12-15"
"United States of America","Code","ISO 3166 1 alpha3","833e0569-b9e5-4e55-8a6a-2fbaa47efbfc","Code_77","USA","2020-08"
"Study Registry","Code","http://www.cdisc.org","32dca652-40af-4d1f-9726-d86c52465e9a","Code_78","C93453","2023-12-15"
"United States of America","Code","ISO 3166 1 alpha3","e500090b-7da3-4db6-9608-5a59f8fd0418","Code_79","USA","2020-08"
"Treatment Study","Code","http://www.cdisc.org","81258501-f294-4fda-b02a-b0c7d99a06f5","Code_137","C49656","2023-12-15"
"Efficacy Study","Code","http://www.cdisc.org","8cd0cbfb-469c-4868-95c9-fb10d854cdb7","Code_138","C49666","2023-12-15"
"Safety Study","Code","http://www.cdisc.org","058e8de4-ff30-449f-97d8-9c97a014916e","Code_139","C49667","2023-12-15"
"Pharmacokinetic Study","Code","http://www.cdisc.org","2cdd6a4c-48ee-4cbe-b71b-d82b0f245c2d","Code_140","C49663","2023-12-15"
"Mild to Moderate Alzheimer's Disease","Code","SPONSOR","7bdcd3b6-f7bc-4268-913f-159f86df5332","Code_134","MILD_MOD_ALZ","12"
"Alzheimer's disease","Code","SNOMED","09d0d022-2a6d-45a8-aa87-daf01f152417","Code_135","26929004","January 31, 2018"
"EXTENSION","Code","http://www.cdisc.org","1d240f69-1f69-4095-86ca-710701f9207d","Code_143","C99907x1","2023-12-15"
"ADAPTIVE","Code","http://www.cdisc.org","cc0b5647-5a89-45f6-a209-0ba4d70c337a","Code_144","C98704","2023-12-15"
"Parallel Study","Code","http://www.cdisc.org","579a8c7b-3d72-4448-b721-344e9a1de301","Code_141","C82639","2023-12-15"
"Visit","Code","http://www.cdisc.org","3b7f1d0c-a138-4091-866a-e9db5f5b252d","Code_83","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","5ff7687b-4f70-434c-8774-9aa88ceaa436","Code_84","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","4d12b4d5-43f0-4869-bcdf-63eed15049f0","Code_85","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","b35aa2fb-71e5-4115-b8cd-4e0e97da516d","Code_86","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","4cb7730e-883b-451e-9084-1924d48f9e65","Code_87","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","ed5bd829-537c-4804-9750-03a8450c8869","Code_88","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","af67d646-0d21-4e8e-bc3b-d4b68e44af75","Code_89","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","f872ef86-1b9f-4b9e-907a-2df9ad7b681e","Code_90","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","37a4a601-15e2-4b63-9ffc-ff42b2f5fb4b","Code_91","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","7e003346-b0f3-41ee-b7ed-8953e79d8e3f","Code_92","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","48366b60-2808-4529-81d4-cd03f5016d56","Code_93","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","cffd4822-c415-4a4f-af96-b67fd9a9d505","Code_94","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","9fc4bb31-531a-40f1-b01b-baf3ebbe1479","Code_95","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","6575ff4f-c89f-4253-9c24-5509310c8f24","Code_96","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","e678e769-1ac5-48fe-85a3-80933018cc28","Code_97","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","69465151-ede6-4fa5-bb5a-af70fdaad850","Code_98","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","b5c44c39-49c0-46f3-8b42-d465c1945ff7","Code_99","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","09be3222-4739-4eb8-a4d0-41808cbc08ad","Code_100","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","afa205a5-ca4f-4c23-a80d-b2c85924ecdd","Code_101","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","ce4a9807-75d0-47f7-9cd8-b7c66dc2a96b","Code_102","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","4bcb72b8-dab6-41bc-b1a5-dc784263aad9","Code_103","C175574","2023-12-15"
"Telephone Call","Code","http://www.cdisc.org","3609299f-946c-4122-89d5-e245468f34a4","Code_104","C171537","2023-12-15"
"Visit","Code","http://www.cdisc.org","70b4f911-9656-4936-96bd-8a8d25c27998","Code_105","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","fb4eb47a-c8fd-40f8-a044-a7b267d153e6","Code_106","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","bd8ff3d4-d129-48d7-b726-15d5210b4dcf","Code_107","C175574","2023-12-15"
"Telephone Call","Code","http://www.cdisc.org","b7bf91c2-5a4f-43a9-ba55-76b19982953b","Code_108","C171537","2023-12-15"
"Visit","Code","http://www.cdisc.org","04cb0062-1b2e-4630-9f4b-541616f54bad","Code_109","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","081c5eb8-2f63-4684-8f0d-4d77eee7fa2a","Code_110","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","9828e947-290f-46d1-b657-1c64cb569a2f","Code_111","C175574","2023-12-15"
"Telephone Call","Code","http://www.cdisc.org","f2f7c887-6ce9-453b-bea8-a93964a201d8","Code_112","C171537","2023-12-15"
"Visit","Code","http://www.cdisc.org","ccaccecc-6828-41e1-a25d-3a091eae3df7","Code_113","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","89d423ae-d2e3-40ff-a175-2d1bbb3235cb","Code_114","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","fdddcfae-369a-4bc8-9eed-4b9c93ed8aaa","Code_115","C175574","2023-12-15"
"Telephone Call","Code","http://www.cdisc.org","627cd67d-659f-4149-82f4-2a2c78af9a1f","Code_116","C171537","2023-12-15"
"Visit","Code","http://www.cdisc.org","cb8c6c7b-adb1-456c-a940-92fc99441bd2","Code_117","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","90ad366f-83d7-40bc-a90e-4ddf58c98eed","Code_118","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","2f138c06-ea09-4488-a81d-cf721e506046","Code_119","C175574","2023-12-15"
"Visit","Code","http://www.cdisc.org","b85656b9-1ea9-4f30-bfa7-964072f56ed4","Code_120","C25716","2023-12-15"
"Clinic","Code","http://www.cdisc.org","051b6690-3f5e-408b-8851-68d6518fca95","Code_121","C51282","2023-12-15"
"In Person","Code","http://www.cdisc.org","906de647-c2f5-46f3-b2cf-683800ce3007","Code_122","C175574","2023-12-15"
"CT of head without contrast","Code","SNOMED","53afdacf-e257-460b-a156-6c1ef874f6f5","Code_80","383371000119108","January 31, 2018"
"Subject Supine","Code","SPONSOR","d15d96dd-ab27-4f2b-9497-3ed0cc4a0c3f","Code_81","123","12"
"Subject Standing","Code","SPONSOR","2ada2e5d-4457-42b0-83f0-353b3a2a86ad","Code_82","124","12"
"Male","Code","http://www.cdisc.org","9f6aaf45-7074-46f3-9a3f-a55ea8d0d979","Code_429","C20197","2023-12-15"
"Female","Code","http://www.cdisc.org","fde478af-2190-4ba4-ae3f-3d8c55bece00","Code_430","C16576","2023-12-15"
"Sex","Code","http://www.cdisc.org","f8dd0357-3316-4dca-a8ba-faea7edff93c","Code_431","C28421","2023-12-15"
"Sex","Code","http://www.cdisc.org","794321b5-f3cb-40c6-af41-138d7c1518a2","Code_432","C28421","2023-12-15"
"Race","Code","http://www.cdisc.org","f39d2ea4-e999-42ad-920c-eb61997cdb5b","Code_433","C17049","2023-12-15"
"Race","Code","http://www.cdisc.org","b5f0b92d-53ac-428c-be8c-6b9762d37bea","Code_434","C17049","2023-12-15"
"TEMP","Code","http://www.cdisc.org","6d9bf511-4bba-4797-8227-ad168f90e6c6","Code_435","C174446","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","bc11db05-0711-4ae6-b7c0-694d7fac755e","Code_436","C77140","2023-12-15"
"Degree Celsius","Code","http://www.cdisc.org","674a17e3-4630-43ac-8a69-3d82f7cd3dde","Code_437","C42559","2023-12-15"
"Degree Fahrenheit","Code","http://www.cdisc.org","cfe9f643-6ffe-4d67-9e64-d1760aefd3f5","Code_438","C44277","2023-12-15"
"Kelvin","Code","http://www.cdisc.org","d8a4b4c2-0ec8-4f42-815e-5d5cc1ed668e","Code_439","C42537","2023-12-15"
"Unit of Temperature","Code","http://www.cdisc.org","4aa4223d-b9d3-4a30-9598-7d8efe5a6e62","Code_440","C44276","2023-12-15"
"Axilla","Code","http://www.cdisc.org","8140a7b7-e83b-4f53-848b-268a970bc43a","Code_441","C12674","2023-12-15"
"Ear","Code","http://www.cdisc.org","2d0c8219-a5ab-4ea0-bfaa-af9a98b11b12","Code_442","C12394","2023-12-15"
"Forehead","Code","http://www.cdisc.org","723cc9fe-03a3-47e5-b47a-f019d54dcd51","Code_443","C89803","2023-12-15"
"Oral Cavity","Code","http://www.cdisc.org","4d048943-6b9f-4b1c-9100-2416546055e4","Code_444","C12421","2023-12-15"
"Rectum","Code","http://www.cdisc.org","971f7d31-84b3-40e3-9e5a-3e8267df7b22","Code_445","C12390","2023-12-15"
"Anatomic Site","Code","http://www.cdisc.org","2d0a3d9a-6112-4677-9a7e-fd600ae5416f","Code_446","C13717","2023-12-15"
"TEMP","Code","http://www.cdisc.org","8633cefb-5ef7-4081-ba26-2821f818892d","Code_447","C174446","2023-12-15"
"WEIGHT","Code","http://www.cdisc.org","7227a06b-ec33-44ad-aa01-1f6d8513ccbe","Code_448","C25208","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","6f6ef5c6-3b85-4e34-ad61-1b5ec79bfe06","Code_449","C77140","2023-12-15"
"Pound","Code","http://www.cdisc.org","95ccaeb3-2724-49b1-9892-37d6e7093dbb","Code_450","C48531","2023-12-15"
"Gram","Code","http://www.cdisc.org","c91d19f0-f0ba-4607-9b6f-c8cbac32eb1a","Code_451","C48155","2023-12-15"
"Kilogram","Code","http://www.cdisc.org","f42cac78-3212-4aef-86b5-813c5501a78a","Code_452","C28252","2023-12-15"
"Unit of Weight","Code","http://www.cdisc.org","b28c9a54-4a3b-43fd-a9bd-bebee696044d","Code_453","C48208","2023-12-15"
"WEIGHT","Code","http://www.cdisc.org","78f82614-49ed-4dfc-a008-f00d4a4a549a","Code_454","C25208","2023-12-15"
"HEIGHT","Code","http://www.cdisc.org","cd9cbe27-7ed4-4c98-a9f0-30dd41de17f5","Code_455","C25347","2023-12-15"
"Clinical Test Result","Code","http://www.cdisc.org","fc0e52ca-e834-4513-9090-238960f150cc","Code_456","C77140","2023-12-15"
"Centimeter","Code","http://www.cdisc.org","63b7b8a7-3124-46f5-bc42-0714735f3aa3","Code_457","C49668","2023-12-15"
"Inch","Code","http://www.cdisc.org","5ef0d092-bcab-4bb3-ba61-8dcbd53abb8c","Code_458","C48500","2023-12-15"
"Meter","Code","http://www.cdisc.org","b0393c92-27ff-4c7f-a5a2-d42f3a4086ed","Code_459","C41139","2023-12-15"
"Unit of Height","Code","http://www.cdisc.org","8fe5be2d-53ac-4bab-83cf-0acfaedc421c","Code_460","C168688","2023-12-15"
"HEIGHT","Code","http://www.cdisc.org","b9adcf50-b9ec-45d1-9bfe-7909cd04cc8a","Code_461","C25347","2023-12-15"
"ALT","Code","http://www.cdisc.org","6669f342-7ed1-4156-b5d8-2e43136955f1","Code_462","C64433","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","2c6058cf-60b7-4ae9-bd99-747d1e17ea79","Code_463","C36292","2023-12-15"
"Unit per Liter","Code","http://www.cdisc.org","c22af364-75f2-44e7-ab41-0f1a51d4623b","Code_464","C67456","2023-12-15"
"Microkatal per Liter","Code","http://www.cdisc.org","a4136327-3ade-4a80-b47b-8ca7b91b5b82","Code_465","C67397","2023-12-15"
"International Unit per Liter","Code","http://www.cdisc.org","cbc8e814-4f75-4eca-9d50-1ecda88dbc01","Code_466","C67376","2023-12-15"
"Nanokatal per Liter","Code","http://www.cdisc.org","01f0d3a7-4000-48e6-a186-afa0cd7182c7","Code_467","C70510","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","http://www.cdisc.org","cb6dbac6-32db-4982-8bcc-fe714beb79bf","Code_468","C67365","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","26ebe644-945e-439a-b8b8-0b2fbbad5a74","Code_469","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","27c71310-a21a-47e2-ad99-b13a1de466f3","Code_470","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","5b018289-d100-4fd0-905c-14ae133a2f64","Code_471","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","9f657370-a91c-4a8b-99f8-19eed6c5feba","Code_472","C83309","2023-12-15"
"ALT","Code","http://www.cdisc.org","55d8c147-a71c-44b1-b96f-28d025f96f98","Code_473","C64433","2023-12-15"
"ALB","Code","http://www.cdisc.org","2736b8a6-26a0-46ef-b0b3-8cd48b91ac20","Code_474","C64431","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","1d063daf-cd37-42e4-b652-7395b38bf9ea","Code_475","C36292","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","9b1ab934-6a2f-4d89-a079-183bd6edd7b2","Code_476","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","6cc78ac5-4511-40e1-8210-70e4ccb68b7c","Code_477","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","14ab9cca-e031-4033-b63e-89ab7bc9ddb9","Code_478","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","268846c7-5221-41ea-90b5-b007fb60d8b7","Code_479","C83309","2023-12-15"
"ALB","Code","http://www.cdisc.org","98eda521-c76a-4780-a5c8-0dad50c45a83","Code_480","C64431","2023-12-15"
"ALP","Code","http://www.cdisc.org","0cbcc497-1609-4f00-9e38-9d791db68683","Code_481","C64432","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","4d08181b-85b5-4b5d-8797-9ad42aaca2ca","Code_482","C36292","2023-12-15"
"Unit per Liter","Code","http://www.cdisc.org","79fb17b8-6b12-4f61-bafa-fc6dd211edbd","Code_483","C67456","2023-12-15"
"Microkatal per Liter","Code","http://www.cdisc.org","113d4186-36fd-4ad7-9890-5d173cb94f29","Code_484","C67397","2023-12-15"
"International Unit per Liter","Code","http://www.cdisc.org","dfa56838-bc88-47d2-9f09-d11c92834bb3","Code_485","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","http://www.cdisc.org","532e02ce-8534-41e5-bd0f-20624df9f408","Code_486","C67365","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","d1fa46f4-37cd-409a-8bed-ff1bf3682bdb","Code_487","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","39b91661-2557-4cdc-979c-a6a4ac78c21b","Code_488","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","ca7f64eb-923c-4f08-af57-f80a0b08aa1e","Code_489","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","c2cabf63-7f82-4cec-a634-59c7b6abe4a7","Code_490","C83309","2023-12-15"
"ALP","Code","http://www.cdisc.org","ecc82ad0-c85c-4b79-b702-55dfb7fdea16","Code_491","C64432","2023-12-15"
"AST","Code","http://www.cdisc.org","2db507b1-f389-4bd9-934c-74b273081e6e","Code_492","C64467","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","93564501-fc03-4ed3-bf23-f8c466e7f6d9","Code_493","C36292","2023-12-15"
"Unit per Liter","Code","http://www.cdisc.org","010083e1-44ca-4712-b654-4094a9e7cc3b","Code_494","C67456","2023-12-15"
"Microkatal per Liter","Code","http://www.cdisc.org","0f42f708-aff2-4780-9c99-f50825ac92a5","Code_495","C67397","2023-12-15"
"International Unit per Liter","Code","http://www.cdisc.org","bf9eaaef-0c40-42f3-835a-54b7a274b737","Code_496","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","http://www.cdisc.org","df93a2e0-3ccf-46cb-b283-0aeac678f1c3","Code_497","C67365","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","88734047-ac18-4748-a5ff-4315211a4576","Code_498","C70713","2023-12-15"
