"valueLabel","value","name","description","windowLabel","windowLower","instanceType","uuid:ID","id","label","windowUpper"
"2 weeks","P2W","TIM1","Screening timing","","","Timing","8ddc423c-08e4-47e7-8224-f7933b64c22c","Timing_1","Screening",""
"2 days","P2D","TIM2","Pre dose timing","-4..0 hours","PT4H","Timing","9af5d8b5-3586-4498-b81f-54cafb5aea3f","Timing_2","Pre dose","PT0H"
"1 Day","P1D","TIM3","Dosing anchor","","","Timing","b0a8873d-2753-4765-9143-cfd3b113b35f","Timing_3","Dosing",""
"2 Weeks","P2W","TIM4","Week 2 timing","-3..3 days","P3D","Timing","6bf490eb-8ecc-4614-b700-b80e010bb271","Timing_4","Week 2","P3D"
"4 Weeks","P4W","TIM5","Week 4 timing","-3..3 days","P3D","Timing","1a52bf9f-c53e-4a39-8435-5a47df3f92f3","Timing_5","Week 4","P3D"
"6 Weeks","P6W","TIM6","Week 6 timing","-3..3 days","P3D","Timing","be01d3b7-a57f-4859-9471-21da7a0ee257","Timing_6","Week 6","P3D"
"8 Weeks","P8W","TIM7","Week 8 timing","-3..3 days","P3D","Timing","81aea42f-dace-4311-ab3e-4c362d6eb621","Timing_7","Week 8","P3D"
"12 Weeks","P12W","TIM9","Week 12 timing","-4..4 days","P4D","Timing","5d3a0b1b-84e5-4518-8ee6-cc86dafa9073","Timing_9","Week 12","P4D"
"16 Weeks","P16W","TIM11","Week 16 timing","-4..4 days","P4D","Timing","8de3a404-68d3-4759-8299-a9168962d9ca","Timing_11","Week 16","P4D"
"20 Weeks","P20W","TIM13","Week 20 timing","-4..4 days","P4D","Timing","cf0389f4-ab06-4dd9-b385-2b7ee6fbd6ed","Timing_13","Week 20","P4D"
"24 Weeks","P24W","TIM15","Week 24 timing","-4..4 days","P4D","Timing","4790a44a-a2db-4d13-aa0a-7536415f6eab","Timing_15","Week 24","P4D"
"26 Weeks","P26W","TIM16","Week 26 timing","-3..3 days","P3D","Timing","2fcc4920-1dee-42fc-b9ff-cbe0f61d61b7","Timing_16","Week 26","P3D"
"2 Weeks","P2W","TIM8","Week 8 at home timing","","","Timing","0e34bb55-3bca-4f9d-9786-6c0a42a60af5","Timing_8","Week 8 Home",""
"2 Weeks","P2W","TIM10","Week 12 at home timing","","","Timing","17702b39-26b7-4081-bacb-5e46c7de6d4c","Timing_10","Week 12 Home",""
"2 Weeks","P2W","TIM12","Week 16 at home timing","","","Timing","4aab9106-2c61-424a-94d4-c9d4e91fdfde","Timing_12","Week 16 Home",""
"2 Weeks","P2W","TIM14","Week 20 at home timing","","","Timing","ebc4e134-a5c8-44b2-a5b6-3385d23adecc","Timing_14","Week 20 Home",""
"1 Day","P1D","TIM17","Adverse Event","","","Timing","0bb2b6d2-9598-4563-8ae5-bae3a2b74d89","Timing_17","Adverse Event",""
"1 Day","P1D","TIM18","Early Termination","","","Timing","f2a61d91-bdcc-4110-b66d-2cef60c26edc","Timing_18","Early Termination",""
"0 mins","PT0M","TIM19","Supine","","","Timing","addedb3a-c85d-4f67-8ca7-03382e01ba71","Timing_19","Supine",""
"5 mins","PT5M","TIM20","VS while supine","","","Timing","b10cabd1-d719-433d-83c7-6da910a78ff8","Timing_20","VS while supine",""
"0 min","PT0M","TIM21","Standing","","","Timing","b5883c2f-bdd3-49be-8f49-70bc1e2b6f92","Timing_21","Standing",""
"1 min","PT1M","TIM22","VS while standing","","","Timing","f2fd0cd4-4105-4beb-a25d-c1a03eb86842","Timing_22","VS while standing",""
"0 min","PT0M","TIM23","Standing","","","Timing","583c7839-b0ed-4a22-af0b-b53568f63f91","Timing_23","Standing",""
"2 min","PT2M","TIM24","VS while standing","","","Timing","f6e0ad09-0bc9-4b62-9541-6c55650e32f2","Timing_24","VS while standing",""
