"name","description","instanceType","uuid:ID","id","label"
"E1","Screening encounter","Encounter","9f194f5d-d7c4-48e2-b524-0dfdeeda6fe2","Encounter_1","Screening 1"
"E2","Screening encounter - Ambulatory ECG Placement","Encounter","37d190a4-9675-4a24-bfc0-028f6bf395ab","Encounter_2","Screening 2"
"E3","Baseline encounter - Ambulatory ECG Removal","Encounter","a0d31065-b69b-42fc-ab88-70325c08f751","Encounter_3","Baseline"
"E4","Day 14","Encounter","07124701-60a4-42a2-a73d-897310850aa6","Encounter_4","Week 2"
"E5","Day 28","Encounter","7bf3d451-c641-45bd-a20e-f5556ae6a07a","Encounter_5","Week 4"
"E7","Day 42","Encounter","70838d43-2ed0-4995-be7f-e941ae78c684","Encounter_6","Week 6"
"E8","Day 56","Encounter","5b95fbf3-a34d-4ae4-9279-e7c851464a80","Encounter_7","Week 8"
"E9","Day 84","Encounter","483bf862-738f-468a-a116-34c8b09cad76","Encounter_8","Week 12"
"E10","Day 112","Encounter","13ca72f5-e3e3-4e4c-b410-57e1e8c999be","Encounter_9","Week 16"
"E11","Day 140","Encounter","eee2a296-ef2a-4422-a9d9-be7f6c110fc8","Encounter_10","Week 20"
"E12","Day 168","Encounter","c3af5869-6ade-458c-88ed-0ed358dbd458","Encounter_11","Week 24"
"E13","Day 182","Encounter","c570c942-7088-422c-ba5b-465d2994cc82","Encounter_12","Week 26"
