"name","description","instanceType","uuid:ID","id","label"
"SCREEN1","-","ScheduledActivityInstance","90192da5-4a51-4082-b858-76efb3efc7e0","ScheduledActivityInstance_9","Screen One"
"SCREEN2","-","ScheduledActivityInstance","ca750c4e-5884-4ec3-baa3-2cce9588623c","ScheduledActivityInstance_10","Screen Two"
"DOSE","-","ScheduledActivityInstance","78b7f0d4-4586-49ee-832b-a79acdd386ab","ScheduledActivityInstance_11","Dose"
"WK2","-","ScheduledActivityInstance","5e9e80fc-22c1-4ad6-8c00-bdf977c5cb65","ScheduledActivityInstance_12","Week 2"
"WK4","-","ScheduledActivityInstance","70e756b9-446c-42f7-aac0-d8b0637f3667","ScheduledActivityInstance_13","Week 4"
"WK6","-","ScheduledActivityInstance","8bbea807-c0e8-4602-9d49-2fc3878a5b7c","ScheduledActivityInstance_14","Week 6"
"WK8","-","ScheduledActivityInstance","e9be57b7-6b2f-4952-a1a3-6309697129cf","ScheduledActivityInstance_15","Week 8"
"WK8N","-","ScheduledActivityInstance","01b683e5-1ea7-40a3-be7e-f64f21bbb61b","ScheduledActivityInstance_16","Week NPI"
"WK12","-","ScheduledActivityInstance","12e8f37b-548c-4163-9198-05fd07d94a6c","ScheduledActivityInstance_17","Week 12"
"WK12N","-","ScheduledActivityInstance","4ef25093-320c-4da0-9d79-bb39709f6e59","ScheduledActivityInstance_18","Week 12 NPI"
"WK16","-","ScheduledActivityInstance","be6d36da-2926-46a8-bf39-f23bc1b9908d","ScheduledActivityInstance_19","Week 16"
"WK16N","-","ScheduledActivityInstance","773e0cfe-0ffb-4994-8693-00ef1b024208","ScheduledActivityInstance_20","Week 16 NPI"
"WK20","-","ScheduledActivityInstance","7bfa8252-2f6c-4ea9-8071-e3a545045639","ScheduledActivityInstance_21","Week 20"
"WK20N","-","ScheduledActivityInstance","bb2caf91-28da-4890-b80c-0566b2aca119","ScheduledActivityInstance_22","Week 20 NPI"
"WK24","-","ScheduledActivityInstance","ef3b84f5-4826-4259-980f-e60777c5ea10","ScheduledActivityInstance_23","Week 24"
"WK26","-","ScheduledActivityInstance","cbb38bf5-606f-4797-81ba-ac3115c044c4","ScheduledActivityInstance_24","Week 26"
"AE","-","ScheduledActivityInstance","3ead6969-fb7d-4284-b22c-7377007565e7","ScheduledActivityInstance_1","Adevers Event"
"ET","-","ScheduledActivityInstance","7e23f50c-ed49-46cb-8878-27520a5b4c2e","ScheduledActivityInstance_2","Early Termination"
"VS_5MIN","","ScheduledActivityInstance","726ba133-4668-42a0-a167-e44fc18efc0f","ScheduledActivityInstance_3","5 minute supine"
"VS_SUPINE","","ScheduledActivityInstance","3472fd20-a154-490f-b41c-f8685f7418ee","ScheduledActivityInstance_4","Vital signs supine"
"VS_1MIN","","ScheduledActivityInstance","c3326157-38c8-4a61-8a1b-ab8d86e2df58","ScheduledActivityInstance_5","1 minute standing"
"VS_STAND1","","ScheduledActivityInstance","ac0d00de-d210-4aa2-8e60-7fb2017c84e1","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"VS_2MIN","","ScheduledActivityInstance","a3f092a0-7ffd-4469-b697-8ad292662a24","ScheduledActivityInstance_7","2 minute standing"
"VS_STAND3","","ScheduledActivityInstance","b8a7051d-377b-4015-9ba8-4e1bb4b2b457","ScheduledActivityInstance_8","Vital signs after 3 min standing"
