"uuid:ID","label","purpose","name","description","id","text","instanceType"
"b6e739e5-50c4-4630-acdb-77cdbf5212b2","","","END1","","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint"
"5a609c79-27f4-42f4-8afa-0110fc8fed9c","","","END2","","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint"
"859fe52a-4506-4aab-83d8-5a25ec8bafd8","","","END3","","Endpoint_3","Adverse events","Endpoint"
"76dc0cde-78d3-400b-8244-b1b547693c7d","","","END4","","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint"
"3ac21b99-bc6d-4cea-a88e-129109cf98d2","","","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","Laboratory evaluations (Change from Baseline)","Endpoint"
"f79855c5-174e-4415-8d1a-3098086f448f","","","END6","","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint"
"9e9b0a27-e44d-40f3-bd76-3218c8c9fd1e","","","END7","","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint"
"8a758fe6-635f-4533-890c-fb1ece2c48ee","","","END8","","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint"
"379df137-d425-43ba-ab26-aafa8955c115","","","END9","","Endpoint_9","*** To be determined from protocol ***","Endpoint"
"99a7a228-71cb-4cec-85ee-7ded0de0f8fb","","","END10","","Endpoint_10","*** To be determined from protocol ***","Endpoint"
"f57ed56c-83c7-46f2-b015-2f16df775c24","","","END11","","Endpoint_11","*** To be determined from protocol ***","Endpoint"
