"uuid:ID","codeSystem","code","id","instanceType","codeSystemVersion","decode"
"7b643ef2-21db-45b7-8e16-055b96abdf25","http://www.cdisc.org","C98388","Code_1","Code","2023-12-15","Interventional Study"
"1e3d6f61-ad1c-49e5-8f79-02709b42e715","http://www.cdisc.org","C15601","Code_2","Code","2023-12-15","Phase II Trial"
"b834991c-bafe-4b15-bcea-f21e50a2c7bc","http://www.cdisc.org","C132352","Code_9","Code","2023-12-15","Sponsor Approval Date"
"68c33173-f530-4e45-8cd0-71d07ab8f9d1","http://www.cdisc.org","C68846","Code_10","Code","2023-12-15","Global"
"301b96b6-68b2-4f54-9035-fd024feac29e","http://www.cdisc.org","C99904x3","Code_72","Code","2023-12-15","IRB/IEC Feedback"
"88548338-ac8b-428b-80a1-5bb4e1f1ec5a","http://www.cdisc.org","C17649","Code_73","Code","2023-12-15","Other"
"0b0e01bb-c08b-4c0e-abf5-566a723cd67b","http://www.cdisc.org","C41129","Code_75","Code","2023-12-15","Region"
"5a0b2a70-395c-4b6b-98cb-31f5bd579808","ISO 3166 1 alpha3","150","Code_74","Code","2020-08","Europe"
"84e5fe4b-553c-494d-a5ff-7044de9a090e","SPONSOR","PHARMA","Code_4","Code","12","Eli Lilly"
"c898e6e0-82af-45aa-8fc7-2f7361548116","http://www.cdisc.org","C70793","Code_76","Code","2023-12-15","Clinical Study Sponsor"
"3bac1926-8a2e-4b00-b629-ff01ad4e0ccc","ISO 3166 1 alpha3","USA","Code_77","Code","2020-08","United States of America"
"3ffef2f8-1cb9-4ef4-984f-adecdcfc30d9","http://www.cdisc.org","C93453","Code_78","Code","2023-12-15","Study Registry"
"97ce8b61-1c2d-40d0-8b8f-020c8e4f5472","ISO 3166 1 alpha3","USA","Code_79","Code","2020-08","United States of America"
"a8bed350-1bfd-47e9-8278-abaf7cfa10ae","http://www.cdisc.org","C49656","Code_137","Code","2023-12-15","Treatment Study"
"e4030666-b3d0-4325-a18d-af5f6cfba0a3","http://www.cdisc.org","C49666","Code_138","Code","2023-12-15","Efficacy Study"
"99f57ce8-ef34-44f3-9edc-d54062af77bc","http://www.cdisc.org","C49667","Code_139","Code","2023-12-15","Safety Study"
"1dae379a-964a-40b4-860e-e7424c02e6c4","http://www.cdisc.org","C49663","Code_140","Code","2023-12-15","Pharmacokinetic Study"
"899d6dc9-908a-49c0-9f33-cc670ca615e5","SPONSOR","MILD_MOD_ALZ","Code_134","Code","12","Mild to Moderate Alzheimer's Disease"
"eea22002-f73f-4c0e-bd76-1348473a05f6","SNOMED","26929004","Code_135","Code","January 31, 2018","Alzheimer's disease"
"266eb382-ab52-4a0e-b1bb-1003e21c2af9","http://www.cdisc.org","C99907x1","Code_143","Code","2023-12-15","EXTENSION"
"993f4319-9af9-4b0b-b2ed-199f8d0a4120","http://www.cdisc.org","C98704","Code_144","Code","2023-12-15","ADAPTIVE"
"d972e973-7c62-43e7-81bc-06beca89023c","http://www.cdisc.org","C82639","Code_141","Code","2023-12-15","Parallel Study"
"8862a11c-82b5-40c4-8dd1-d73de3792fc3","http://www.cdisc.org","C25716","Code_83","Code","2023-12-15","Visit"
"d62759a2-3e51-4f82-b654-2fe90f48790b","http://www.cdisc.org","C51282","Code_84","Code","2023-12-15","Clinic"
"4fab4e18-20b4-4453-a338-99a367e4c4e3","http://www.cdisc.org","C175574","Code_85","Code","2023-12-15","In Person"
"d4798288-f4f8-4337-a9c3-399de4863c8b","http://www.cdisc.org","C25716","Code_86","Code","2023-12-15","Visit"
"791cf8bf-fd9a-4ee9-9c94-0602924c46bf","http://www.cdisc.org","C51282","Code_87","Code","2023-12-15","Clinic"
"0460eda4-b319-4f1e-8211-215e65f75101","http://www.cdisc.org","C175574","Code_88","Code","2023-12-15","In Person"
"4a537b61-206f-4c53-a6fe-40d456eb4b70","http://www.cdisc.org","C25716","Code_89","Code","2023-12-15","Visit"
"d048a7d4-c1e1-4d19-9ff4-fff2bf230f43","http://www.cdisc.org","C51282","Code_90","Code","2023-12-15","Clinic"
"3f6d23a3-fa71-4543-981d-58bab6ceba67","http://www.cdisc.org","C175574","Code_91","Code","2023-12-15","In Person"
"ab9d804c-74da-4107-a848-b374f973a913","http://www.cdisc.org","C25716","Code_92","Code","2023-12-15","Visit"
"18c98f20-d208-4bae-a1b6-167fd50d1765","http://www.cdisc.org","C51282","Code_93","Code","2023-12-15","Clinic"
"ac7efb53-65fd-4e68-8b99-f17c5c8c1bdd","http://www.cdisc.org","C175574","Code_94","Code","2023-12-15","In Person"
