"uuid:ID","label","name","description","id","instanceType"
"4bfd214d-227a-49cd-9e56-8cc3ba668c6a","Informed consent","Informed consent","","Activity_1","Activity"
"e7d65dd4-b982-4e6b-8884-defc60c4dbd0","Inclusion and exclusion criteria","Inclusion/exclusion criteria","","Activity_2","Activity"
"58553468-1729-47ef-a651-4518e30f097e","Patient number assigned","Patient number assigned","","Activity_3","Activity"
"cea5d807-0b90-4b04-b7bb-3d89c2675a04","Demographics","Demographics","","Activity_4","Activity"
"805f5f45-7ca7-4360-b200-43f5455a8291","Hachinski Ischemic Scale","Hachinski","","Activity_5","Activity"
"15f08e03-7e0c-4acf-b219-60f34bb45590","MMSE","MMSE","","Activity_6","Activity"
"cfa51a42-10fa-4a38-b079-97bd6e597088","Physical examination","Physical examination","","Activity_7","Activity"
"8b8b5365-f078-4604-9478-feb1f97ad8e3","Medical history","Medical history","","Activity_8","Activity"
"c45c5663-318e-4634-a435-3eaf0ec28427","Habits","Habits","","Activity_9","Activity"
"17b6d199-397a-4728-8692-b30cb80cafd0","Chest X-ray","Chest X-ray","","Activity_10","Activity"
"71bd8bea-3ddd-4504-8276-6ea5a71886d3","Apo E genotyping","Apo E genotyping","","Activity_11","Activity"
"8a16c9c5-3a00-49c3-a614-8fde8af49adc","Patient randomised","Patient randomised","","Activity_12","Activity"
"a73ae9dd-747d-41b0-89ad-c068e2008a30","Vital Signs and Temperature","Vital signs / Temperature","","Activity_13","Activity"
"d6dfac8e-4898-469e-b700-201205056d43","Ambulatory ECG placed","Ambulatory ECG placed","","Activity_14","Activity"
"e52ec363-d23f-4c87-ba6a-60a9d89938e1","Ambulatory ECG removed","Ambulatory ECG removed","","Activity_15","Activity"
"0141be02-3e93-4e90-881b-44b04b853448","ECG","ECG","","Activity_16","Activity"
"53aed77b-b1d9-4fc6-b879-ceffb6f09bfa","Placebo TTS test","Placebo TTS test","","Activity_17","Activity"
"ab1358ab-2c41-4e4d-b514-1b14ac88f2b2","CT scan","CT scan","","Activity_18","Activity"
"62a84faf-aafa-4e3d-94fd-8e3fad4612fa","Concomitant medications","Concomitant medications","","Activity_19","Activity"
"1fd22a8d-f3bd-4c83-be89-5fbbf284e38d","Hematology","Hematology","","Activity_20","Activity"
"d93537fa-a07c-4895-a18e-6b1cf78a6104","Chemistry","Chemistry","","Activity_21","Activity"
"670f0be6-6e2b-444a-84c7-36201c1079b1","Uninalysis","Uninalysis","","Activity_22","Activity"
"27d51950-8d5b-4008-8f62-4551aa229449","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity_23","Activity"
"56b0ba36-5e01-41bc-8ebd-7a1ef9d69625","Hemoglobin A1C","Hemoglobin A1C","","Activity_24","Activity"
"e6466c1c-cdcd-4685-acc8-6cfaef720b23","Study drug record , Medications dispensed, Medications returned","Study drug","","Activity_25","Activity"
"664cf48f-d3e8-4ede-9d2d-d516c2d89822","TTS Acceptability Survey","TTS Acceptability Survey","","Activity_26","Activity"
"bee9bd51-a52c-47ab-964f-8b98014313e0","ADAS-Cog","ADAS-Cog","","Activity_27","Activity"
"69dbde27-d24e-4dfc-9885-812a0d196755","CIBIC+","CIBIC+","","Activity_28","Activity"
"12c67942-a8c9-44c2-8c7c-7e80dc03e2db","DAD","DAD","","Activity_29","Activity"
"c14cf297-902b-4726-a5b4-21869924c99c","NPI-X","NPI-X","","Activity_30","Activity"
"135eb604-9a09-4551-854e-f6c7e1d3b830","Adverse events","Adverse events","","Activity_31","Activity"
"ef7ad85f-e1fd-48a8-8d7e-87feb8b7afd2","Check adverse events","Check adverse events","","Activity_32","Activity"
"5a43d7f8-73f7-411e-9385-33b0517f3ee8","Subject supine","Supine","","Activity_33","Activity"
"2ae2386f-7544-4f4a-bc9c-a130b553c50d","Vital signs while supine","Vital Signs Supine","","Activity_34","Activity"
"83bfdf83-65c6-4e04-8ac4-13acaba2d91f","Subject Standing","Stand","","Activity_35","Activity"
"a892102a-56db-4f7c-a946-f7ef8a95977e","Vital signs while standing","Vital Signs Standing","","Activity_36","Activity"
